Iter:0, max:2109.25732421875, mean:441.4835510253906, min:175.09127807617188, std:269.7715148925781
Iter:1, max:974.7848510742188, mean:384.6005859375, min:222.02517700195312, std:122.54853820800781
Iter:2, max:884.1663818359375, mean:391.6908874511719, min:231.03732299804688, std:111.87033081054688
Iter:3, max:940.9263916015625, mean:390.76715087890625, min:221.95962524414062, std:113.98685455322266
Iter:4, max:949.5274658203125, mean:378.23956298828125, min:212.3878631591797, std:110.37376403808594
Iter:5, max:1000.5330810546875, mean:389.34521484375, min:221.6581573486328, std:113.48631286621094
Iter:6, max:1118.25341796875, mean:391.4648132324219, min:212.69271850585938, std:124.11958312988281
Iter:7, max:921.72265625, mean:391.99420166015625, min:221.92733764648438, std:108.86555480957031
Iter:8, max:948.1946411132812, mean:393.3721618652344, min:212.30499267578125, std:109.53783416748047
Iter:9, max:1034.4144287109375, mean:402.98834228515625, min:212.57167053222656, std:125.19061279296875
Iter:10, max:1266.943603515625, mean:399.97467041015625, min:194.01260375976562, std:126.6256332397461
Iter:11, max:1325.3360595703125, mean:425.5517578125, min:212.36949157714844, std:138.8682861328125
Iter:12, max:1219.3834228515625, mean:432.81512451171875, min:231.36123657226562, std:141.9922332763672
Iter:13, max:1305.438232421875, mean:441.2408447265625, min:230.8417510986328, std:128.85958862304688
Iter:14, max:1757.0848388671875, mean:473.710693359375, min:258.80804443359375, std:162.99696350097656
Iter:15, max:1211.4776611328125, mean:503.8235778808594, min:240.4132080078125, std:156.28402709960938
Iter:16, max:1160.513916015625, mean:527.4354248046875, min:277.49072265625, std:153.2673797607422
Iter:17, max:1315.888427734375, mean:560.541748046875, min:268.07177734375, std:164.57965087890625
Iter:18, max:1521.1829833984375, mean:562.4697265625, min:295.65240478515625, std:171.09922790527344
Iter:19, max:1326.0966796875, mean:606.68896484375, min:295.73992919921875, std:172.6138916015625
Iter:20, max:1693.7237548828125, mean:676.759033203125, min:388.3066711425781, std:191.8421630859375
Iter:21, max:1408.0164794921875, mean:677.5479125976562, min:369.88751220703125, std:195.1619415283203
Iter:22, max:1689.5650634765625, mean:717.1697387695312, min:370.0818176269531, std:191.2755126953125
Iter:23, max:1708.0634765625, mean:758.4464111328125, min:407.0986022949219, std:196.1700897216797
Iter:24, max:1624.97509765625, mean:768.2140502929688, min:360.7474365234375, std:183.25636291503906
Iter:25, max:1454.094482421875, mean:799.132080078125, min:434.1690979003906, std:197.79063415527344
Iter:26, max:1641.7635498046875, mean:825.2682495117188, min:479.8861083984375, std:187.88656616210938
Iter:27, max:1593.3414306640625, mean:835.9059448242188, min:460.77813720703125, std:187.57681274414062
Iter:28, max:1708.62646484375, mean:867.4938354492188, min:488.783203125, std:169.77960205078125
Iter:29, max:1959.9368896484375, mean:880.8436279296875, min:565.2734985351562, std:168.48509216308594
Iter:30, max:1815.8443603515625, mean:914.5003662109375, min:546.495361328125, std:179.0807342529297
Iter:31, max:2096.3662109375, mean:920.6680908203125, min:592.5285034179688, std:168.85452270507812
Iter:32, max:1904.818115234375, mean:952.6064453125, min:555.7888793945312, std:207.8324737548828
Iter:33, max:2144.2509765625, mean:982.8312377929688, min:618.3286743164062, std:233.30096435546875
Iter:34, max:1598.1644287109375, mean:1004.0372314453125, min:619.9415893554688, std:162.1752471923828
Iter:35, max:1419.696533203125, mean:953.32177734375, min:591.943115234375, std:139.59861755371094
Iter:36, max:1389.956787109375, mean:934.5814208984375, min:629.925048828125, std:115.80802917480469
Iter:37, max:2095.596435546875, mean:1055.64013671875, min:609.4999389648438, std:239.03237915039062
Iter:38, max:1480.3941650390625, mean:896.47705078125, min:610.8952026367188, std:114.46891021728516
Iter:39, max:1820.30419921875, mean:1040.861328125, min:618.8756103515625, std:182.08795166015625
Iter:40, max:1324.546630859375, mean:849.9237060546875, min:582.0050659179688, std:104.20936584472656
Iter:41, max:1316.3797607421875, mean:914.0701904296875, min:608.9727783203125, std:113.97637176513672
Iter:42, max:1234.248779296875, mean:877.8529052734375, min:609.7981567382812, std:93.59346008300781
Iter:43, max:1214.6724853515625, mean:955.249755859375, min:637.8182983398438, std:104.47049713134766
Iter:44, max:2280.73291015625, mean:1090.6629638671875, min:671.052490234375, std:193.339599609375
Iter:45, max:1819.7724609375, mean:988.5997314453125, min:751.9116821289062, std:126.86381530761719
Iter:46, max:1959.6239013671875, mean:1051.2021484375, min:762.474609375, std:148.90382385253906
Iter:47, max:1754.0198974609375, mean:1002.3759155273438, min:727.3767700195312, std:145.4071502685547
Iter:48, max:1787.292236328125, mean:1085.60302734375, min:831.2929077148438, std:155.7393798828125
Iter:49, max:1022.4999389648438, mean:865.6478271484375, min:731.2664184570312, std:65.07597351074219
Iter:50, max:1733.9732666015625, mean:1068.4803466796875, min:811.4610595703125, std:180.051025390625
Iter:51, max:2313.29833984375, mean:1093.294921875, min:753.3369140625, std:257.244384765625
Iter:52, max:1552.9969482421875, mean:1000.72314453125, min:837.5054931640625, std:99.57587432861328
Iter:53, max:2233.783203125, mean:1130.857421875, min:759.5707397460938, std:246.06631469726562
Iter:54, max:1143.22265625, mean:920.51416015625, min:746.8790283203125, std:94.13705444335938
Iter:55, max:2009.7181396484375, mean:1057.83642578125, min:777.4561157226562, std:182.01976013183594
Iter:56, max:1969.37158203125, mean:1106.9193115234375, min:804.2533569335938, std:171.37144470214844
Iter:57, max:1961.272705078125, mean:982.852783203125, min:804.236083984375, std:145.16329956054688
Iter:58, max:1948.85888671875, mean:1080.593017578125, min:814.3607788085938, std:172.11605834960938
Iter:59, max:1830.5850830078125, mean:1081.39404296875, min:812.6146240234375, std:157.01502990722656
Iter:60, max:2240.420166015625, mean:1123.09619140625, min:779.400390625, std:173.3185577392578
Iter:61, max:1903.6900634765625, mean:1067.4180908203125, min:810.1387939453125, std:160.96470642089844
Iter:62, max:1938.46435546875, mean:1133.88671875, min:754.7778930664062, std:199.41903686523438
Iter:63, max:1720.7728271484375, mean:1002.6807250976562, min:734.767822265625, std:143.81834411621094
Iter:64, max:1962.2474365234375, mean:1142.1080322265625, min:775.764404296875, std:196.7137908935547
Iter:65, max:1767.5010986328125, mean:1095.947998046875, min:769.9729614257812, std:204.26699829101562
Iter:66, max:1873.534912109375, mean:1106.32373046875, min:752.1336669921875, std:205.54196166992188
Iter:67, max:1876.9815673828125, mean:1172.79541015625, min:786.156494140625, std:189.03121948242188
Iter:68, max:1310.4468994140625, mean:939.076171875, min:752.870361328125, std:88.81625366210938
Iter:69, max:1969.4310302734375, mean:1232.967041015625, min:789.17822265625, std:188.4556121826172
Iter:70, max:2151.837890625, mean:1227.6728515625, min:817.2850952148438, std:188.76918029785156
Iter:71, max:2219.71240234375, mean:1224.57177734375, min:818.3460083007812, std:247.15518188476562
Iter:72, max:1961.290283203125, mean:1232.39599609375, min:992.1763305664062, std:158.4332275390625
Iter:73, max:2407.268798828125, mean:1329.189697265625, min:873.7758178710938, std:241.80210876464844
Iter:74, max:2245.116943359375, mean:1434.427001953125, min:880.6464233398438, std:240.6850128173828
Iter:75, max:1961.4920654296875, mean:1178.890625, min:817.4609985351562, std:169.84352111816406
Iter:76, max:2159.1357421875, mean:1339.4381103515625, min:974.8367919921875, std:167.2277069091797
Iter:77, max:1909.0611572265625, mean:1224.5576171875, min:902.5204467773438, std:135.10531616210938
Iter:78, max:2027.2169189453125, mean:1328.8056640625, min:882.5814819335938, std:158.16481018066406
Iter:79, max:2167.543701171875, mean:1245.57666015625, min:957.606201171875, std:140.83041381835938
Iter:80, max:2027.4903564453125, mean:1222.027099609375, min:975.0030517578125, std:150.4440460205078
Iter:81, max:2092.42236328125, mean:1303.885009765625, min:929.0943603515625, std:169.2891387939453
Iter:82, max:2184.77587890625, mean:1077.88134765625, min:942.6677856445312, std:129.95767211914062
Iter:83, max:2487.4853515625, mean:1480.849609375, min:883.9092407226562, std:291.9903564453125
Iter:84, max:3054.018798828125, mean:1427.904541015625, min:865.097900390625, std:372.6722412109375
Iter:85, max:3445.46484375, mean:1466.715576171875, min:936.630859375, std:311.35235595703125
Iter:86, max:3662.08544921875, mean:1604.3292236328125, min:881.835205078125, std:356.0910339355469
Iter:87, max:3907.085205078125, mean:1631.8184814453125, min:882.7916870117188, std:516.5634765625
Iter:88, max:4737.55712890625, mean:1739.2989501953125, min:892.466552734375, std:485.59423828125
Iter:89, max:3776.16748046875, mean:1692.04052734375, min:995.36669921875, std:444.52313232421875
Iter:90, max:2645.504150390625, mean:1391.935302734375, min:911.157470703125, std:227.40185546875
Iter:91, max:3509.346435546875, mean:1653.6871337890625, min:941.7219848632812, std:358.7177429199219
Iter:92, max:2868.955810546875, mean:1449.2606201171875, min:969.5843505859375, std:252.80409240722656
Iter:93, max:1701.0889892578125, mean:1292.125244140625, min:948.03125, std:122.28377532958984
Iter:94, max:2276.0185546875, mean:1375.362060546875, min:911.3141479492188, std:177.24305725097656
Iter:95, max:4060.87841796875, mean:1512.756103515625, min:885.9765625, std:310.19342041015625
Iter:96, max:2308.30224609375, mean:1342.192626953125, min:997.6903686523438, std:157.6920623779297
Iter:97, max:2064.037109375, mean:1382.139404296875, min:994.9656372070312, std:176.0709991455078
Iter:98, max:2509.82373046875, mean:1444.761474609375, min:1026.7698974609375, std:223.03964233398438
Iter:99, max:5089.32470703125, mean:1518.7833251953125, min:1045.2117919921875, std:278.717041015625
Iter:100, max:3247.20068359375, mean:1500.4263916015625, min:895.61865234375, std:226.49098205566406
