Iter:0, max:1374.0147705078125, mean:373.84686279296875, min:138.19674682617188, std:226.99087524414062
Iter:1, max:939.7896728515625, mean:371.0415344238281, min:212.5157470703125, std:108.9709701538086
Iter:2, max:1109.1063232421875, mean:378.29803466796875, min:221.94308471679688, std:102.8637466430664
Iter:3, max:1240.520751953125, mean:381.8948669433594, min:212.4121551513672, std:122.94558715820312
Iter:4, max:1052.302978515625, mean:369.54730224609375, min:194.111328125, std:109.26290130615234
Iter:5, max:1006.06640625, mean:382.9366149902344, min:203.19577026367188, std:118.6178970336914
Iter:6, max:987.6917114257812, mean:380.698486328125, min:203.37088012695312, std:126.75138092041016
Iter:7, max:1127.712158203125, mean:376.58148193359375, min:184.57814025878906, std:117.62776184082031
Iter:8, max:1619.7052001953125, mean:385.8560791015625, min:203.22802734375, std:148.65866088867188
Iter:9, max:1046.466064453125, mean:375.625, min:184.75808715820312, std:131.20826721191406
Iter:10, max:1120.9482421875, mean:376.1083984375, min:193.90919494628906, std:124.7392578125
Iter:11, max:948.5831298828125, mean:411.1800537109375, min:203.25494384765625, std:147.38392639160156
Iter:12, max:1146.99951171875, mean:418.3153076171875, min:175.19915771484375, std:166.30812072753906
Iter:13, max:1248.0264892578125, mean:432.63458251953125, min:184.80712890625, std:162.93832397460938
Iter:14, max:1143.6650390625, mean:448.9601135253906, min:212.7024383544922, std:164.2419891357422
Iter:15, max:1660.2227783203125, mean:485.3330993652344, min:212.4802703857422, std:185.2109832763672
Iter:16, max:1425.2628173828125, mean:517.6397705078125, min:203.4132843017578, std:199.59701538085938
Iter:17, max:1313.9935302734375, mean:553.4417724609375, min:221.5124053955078, std:190.89776611328125
Iter:18, max:1607.4337158203125, mean:584.8973388671875, min:240.1696014404297, std:210.44119262695312
Iter:19, max:1524.693359375, mean:642.21923828125, min:249.59869384765625, std:192.85972595214844
Iter:20, max:1585.4591064453125, mean:683.8079833984375, min:258.92138671875, std:218.9652099609375
Iter:21, max:1814.052978515625, mean:699.4288940429688, min:295.8071594238281, std:205.70285034179688
Iter:22, max:1585.4814453125, mean:742.5621337890625, min:323.7618713378906, std:193.42645263671875
Iter:23, max:1592.054931640625, mean:787.4345703125, min:286.4565734863281, std:233.29757690429688
Iter:24, max:2196.974609375, mean:798.2803955078125, min:322.9891052246094, std:216.2530517578125
Iter:25, max:1865.873046875, mean:903.109619140625, min:444.2672119140625, std:255.4304962158203
Iter:26, max:1674.4718017578125, mean:891.92919921875, min:481.1769714355469, std:184.4766082763672
Iter:27, max:1772.9288330078125, mean:954.999267578125, min:535.4110717773438, std:186.9541015625
Iter:28, max:1911.263427734375, mean:903.912841796875, min:499.65802001953125, std:151.84066772460938
Iter:29, max:1784.5045166015625, mean:924.486083984375, min:481.0609130859375, std:159.87242126464844
Iter:30, max:1733.75732421875, mean:939.0093383789062, min:435.6088562011719, std:165.79159545898438
Iter:31, max:1873.302978515625, mean:888.6786499023438, min:564.8823852539062, std:135.9167938232422
Iter:32, max:1862.6243896484375, mean:1032.5474853515625, min:633.2612915039062, std:189.68630981445312
Iter:33, max:1962.72265625, mean:1023.0967407226562, min:626.1548461914062, std:203.10069274902344
Iter:34, max:2055.732666015625, mean:1039.52099609375, min:670.787353515625, std:199.52865600585938
Iter:35, max:1890.1474609375, mean:1036.052001953125, min:670.29345703125, std:193.86178588867188
Iter:36, max:1893.17236328125, mean:1023.8025512695312, min:647.083984375, std:191.16973876953125
Iter:37, max:1761.454833984375, mean:1026.0726318359375, min:733.0446166992188, std:180.63226318359375
Iter:38, max:1944.6043701171875, mean:1039.21484375, min:652.9100341796875, std:179.5594024658203
Iter:39, max:1706.66943359375, mean:967.4825439453125, min:690.0515747070312, std:168.08349609375
Iter:40, max:1946.771728515625, mean:1043.418212890625, min:680.5507202148438, std:176.07374572753906
Iter:41, max:1699.0723876953125, mean:1042.111083984375, min:668.7901611328125, std:177.88343811035156
Iter:42, max:1789.1275634765625, mean:1058.982177734375, min:742.0675048828125, std:167.36087036132812
Iter:43, max:1986.240966796875, mean:1077.2608642578125, min:756.9991455078125, std:178.0227813720703
Iter:44, max:1956.5343017578125, mean:1058.001708984375, min:678.047119140625, std:223.34326171875
Iter:45, max:1176.1448974609375, mean:872.2445068359375, min:669.4063720703125, std:78.49800872802734
Iter:46, max:1498.2744140625, mean:929.550537109375, min:651.5186157226562, std:119.4410171508789
Iter:47, max:1900.5526123046875, mean:1115.372802734375, min:694.2944946289062, std:189.8765411376953
Iter:48, max:2071.582763671875, mean:1049.13037109375, min:677.2265014648438, std:209.759033203125
Iter:49, max:2125.610107421875, mean:1066.09423828125, min:757.5617065429688, std:174.41781616210938
Iter:50, max:2326.275390625, mean:1145.7098388671875, min:713.2755126953125, std:247.44105529785156
