Iter:0, max:1808.4537353515625, mean:365.23199462890625, min:110.17289733886719, std:292.3265686035156
Iter:1, max:1023.2493286132812, mean:343.22747802734375, min:156.95590209960938, std:130.81593322753906
Iter:2, max:1007.4238891601562, mean:352.6083679199219, min:166.2586212158203, std:136.3631591796875
Iter:3, max:1399.452880859375, mean:358.24658203125, min:166.21722412109375, std:148.78961181640625
Iter:4, max:1200.221435546875, mean:357.5311279296875, min:165.9575958251953, std:159.82872009277344
Iter:5, max:1360.6729736328125, mean:375.10870361328125, min:147.55262756347656, std:186.72157287597656
Iter:6, max:1154.381103515625, mean:397.3343505859375, min:156.4722137451172, std:173.65017700195312
Iter:7, max:1536.64697265625, mean:465.10626220703125, min:156.82427978515625, std:230.06190490722656
Iter:8, max:1639.47607421875, mean:531.2489624023438, min:156.57632446289062, std:233.8505859375
Iter:9, max:1889.5113525390625, mean:597.1311645507812, min:184.75706481933594, std:232.69305419921875
Iter:10, max:1799.565185546875, mean:708.0554809570312, min:221.24159240722656, std:264.1224670410156
Iter:11, max:1610.047119140625, mean:735.3121337890625, min:184.2279815673828, std:211.26373291015625
Iter:12, max:2024.607666015625, mean:877.0980224609375, min:359.6905517578125, std:264.98431396484375
Iter:13, max:1805.51123046875, mean:908.45068359375, min:386.956787109375, std:225.4771270751953
Iter:14, max:1989.41748046875, mean:887.05078125, min:398.11187744140625, std:182.45106506347656
Iter:15, max:1957.496826171875, mean:968.5765380859375, min:451.69976806640625, std:203.699951171875
Iter:16, max:1778.8338623046875, mean:985.3731079101562, min:614.7649536132812, std:186.24012756347656
Iter:17, max:1932.08935546875, mean:989.618896484375, min:597.772216796875, std:208.24143981933594
Iter:18, max:1706.6995849609375, mean:1011.462158203125, min:596.4625244140625, std:196.5481414794922
Iter:19, max:2276.073486328125, mean:978.1781616210938, min:661.195556640625, std:178.46987915039062
Iter:20, max:2117.185791015625, mean:1043.1513671875, min:622.7439575195312, std:198.25416564941406
Iter:21, max:1786.076171875, mean:1065.555908203125, min:719.676025390625, std:195.11209106445312
Iter:22, max:2059.849853515625, mean:1091.3590087890625, min:736.6454467773438, std:188.99998474121094
Iter:23, max:2075.1064453125, mean:1154.550537109375, min:739.7100830078125, std:209.8422393798828
Iter:24, max:2262.782958984375, mean:1218.523681640625, min:781.9692993164062, std:222.36988830566406
Iter:25, max:2990.62841796875, mean:1259.5364990234375, min:776.1709594726562, std:254.8074493408203
Iter:26, max:2348.742919921875, mean:1213.681640625, min:769.0450439453125, std:200.47691345214844
Iter:27, max:2417.187255859375, mean:1339.096435546875, min:800.6246337890625, std:257.41851806640625
Iter:28, max:2426.025390625, mean:1255.6199951171875, min:773.955322265625, std:226.75469970703125
Iter:29, max:2797.953857421875, mean:1296.2523193359375, min:824.8582153320312, std:262.8768615722656
Iter:30, max:2778.656982421875, mean:1299.338623046875, min:782.145263671875, std:273.4251708984375
Iter:31, max:2748.638427734375, mean:1278.93017578125, min:802.9262084960938, std:256.665283203125
Iter:32, max:3403.8212890625, mean:1397.96533203125, min:789.682861328125, std:391.8009948730469
Iter:33, max:3585.392333984375, mean:1361.228759765625, min:680.2314453125, std:333.16558837890625
Iter:34, max:3723.8544921875, mean:1405.078369140625, min:654.5618286132812, std:373.6668395996094
Iter:35, max:3030.561279296875, mean:1399.7711181640625, min:608.449951171875, std:321.93011474609375
Iter:36, max:2928.395751953125, mean:1447.920654296875, min:490.75634765625, std:359.316162109375
Iter:37, max:2876.05859375, mean:1533.371826171875, min:508.7267150878906, std:378.5278625488281
Iter:38, max:4157.314453125, mean:1488.7177734375, min:499.866455078125, std:397.90179443359375
Iter:39, max:4381.22412109375, mean:1507.843017578125, min:472.53411865234375, std:399.107666015625
Iter:40, max:2980.51220703125, mean:1399.98779296875, min:495.10577392578125, std:345.6147766113281
Iter:41, max:3892.80078125, mean:1589.4190673828125, min:518.053466796875, std:426.4924621582031
Iter:42, max:3759.4482421875, mean:1474.16064453125, min:462.8824462890625, std:377.3583068847656
Iter:43, max:3888.605224609375, mean:1731.474853515625, min:526.9641723632812, std:493.3170471191406
Iter:44, max:3517.351318359375, mean:1711.65576171875, min:648.092041015625, std:452.67095947265625
Iter:45, max:3780.69189453125, mean:1600.7900390625, min:673.2290649414062, std:421.5942687988281
Iter:46, max:4331.2548828125, mean:1720.645751953125, min:453.8394470214844, std:443.124755859375
Iter:47, max:4010.50146484375, mean:1935.7745361328125, min:867.4926147460938, std:452.1439514160156
Iter:48, max:3813.5830078125, mean:1828.832275390625, min:886.7981567382812, std:407.1616516113281
Iter:49, max:3703.384765625, mean:1645.85595703125, min:720.8289794921875, std:408.38818359375
Iter:50, max:4333.64892578125, mean:2042.06298828125, min:736.6648559570312, std:484.4244079589844
Iter:51, max:9089.1630859375, mean:2120.6787109375, min:1038.678466796875, std:577.1759033203125
Iter:52, max:3662.775390625, mean:1652.1173095703125, min:836.943115234375, std:336.70208740234375
Iter:53, max:6275.57421875, mean:2270.235107421875, min:925.6749267578125, std:595.521240234375
Iter:54, max:5297.52880859375, mean:2114.814208984375, min:881.1370239257812, std:611.12158203125
Iter:55, max:6350.9033203125, mean:2266.28955078125, min:1015.5239868164062, std:637.5633544921875
Iter:56, max:9263.47265625, mean:2413.49853515625, min:920.1934814453125, std:780.8614501953125
Iter:57, max:9261.8623046875, mean:1945.236083984375, min:1159.7896728515625, std:863.503173828125
Iter:58, max:8038.3779296875, mean:2250.1767578125, min:1325.478515625, std:721.9239501953125
Iter:59, max:9279.4501953125, mean:2525.0322265625, min:1127.3642578125, std:1147.027587890625
Iter:60, max:9273.208984375, mean:2892.99951171875, min:1074.028076171875, std:1450.468505859375
Iter:61, max:9277.5146484375, mean:2678.694091796875, min:1210.7882080078125, std:1584.296630859375
Iter:62, max:9297.298828125, mean:3450.357421875, min:997.0638427734375, std:1929.1595458984375
Iter:63, max:9284.0888671875, mean:3677.0419921875, min:861.2996215820312, std:2216.19482421875
Iter:64, max:9283.5791015625, mean:4242.1748046875, min:825.2581787109375, std:2539.49658203125
Iter:65, max:9289.060546875, mean:4482.3720703125, min:997.2854614257812, std:2718.5390625
Iter:66, max:9295.1796875, mean:5377.009765625, min:907.5123291015625, std:2905.073486328125
Iter:67, max:9285.0791015625, mean:5445.84521484375, min:893.0746459960938, std:2983.22607421875
Iter:68, max:9294.3232421875, mean:6310.3828125, min:621.207275390625, std:2956.57470703125
Iter:69, max:9287.5966796875, mean:5963.08203125, min:889.5278930664062, std:2995.324462890625
Iter:70, max:9293.9228515625, mean:5956.67626953125, min:855.1322021484375, std:3010.773193359375
Iter:71, max:9290.625, mean:7372.8310546875, min:868.2852172851562, std:2634.1875
Iter:72, max:9285.8544921875, mean:6383.486328125, min:852.0419921875, std:2830.906982421875
Iter:73, max:9285.9423828125, mean:7510.4091796875, min:990.214111328125, std:2599.49658203125
Iter:74, max:9294.21875, mean:7599.3828125, min:1100.6329345703125, std:2499.552001953125
Iter:75, max:9299.0576171875, mean:8202.14453125, min:899.1748046875, std:2139.41455078125
Iter:76, max:9284.0810546875, mean:7455.638671875, min:861.24658203125, std:2419.2646484375
Iter:77, max:9285.6650390625, mean:7531.70654296875, min:845.0950927734375, std:2284.857421875
Iter:78, max:9287.640625, mean:7765.0947265625, min:786.0947875976562, std:2101.190673828125
Iter:79, max:9286.8056640625, mean:7786.6103515625, min:715.530029296875, std:2064.589111328125
Iter:80, max:9280.1572265625, mean:7878.94482421875, min:759.4053344726562, std:2175.47998046875
Iter:81, max:9285.0498046875, mean:8112.13330078125, min:1053.3900146484375, std:1986.780517578125
Iter:82, max:9281.791015625, mean:8135.3271484375, min:740.1400756835938, std:2050.167236328125
Iter:83, max:9287.2373046875, mean:8389.62109375, min:797.689453125, std:1806.1385498046875
Iter:84, max:9286.142578125, mean:8475.15234375, min:1239.5555419921875, std:1713.563232421875
Iter:85, max:9282.4541015625, mean:8539.263671875, min:987.5166015625, std:1679.9954833984375
Iter:86, max:9282.185546875, mean:8611.69140625, min:997.0064086914062, std:1610.9893798828125
Iter:87, max:9282.130859375, mean:8617.86328125, min:964.2108764648438, std:1647.1177978515625
Iter:88, max:9285.4111328125, mean:8634.763671875, min:1278.2960205078125, std:1633.92431640625
Iter:89, max:9290.146484375, mean:8526.5302734375, min:1090.27880859375, std:1829.302001953125
Iter:90, max:9285.046875, mean:8672.3720703125, min:1215.8133544921875, std:1666.0360107421875
Iter:91, max:9284.412109375, mean:8569.8935546875, min:719.4231567382812, std:1710.5439453125
Iter:92, max:9284.0263671875, mean:8518.6484375, min:1246.8387451171875, std:1826.71533203125
Iter:93, max:9280.05078125, mean:8637.1298828125, min:1169.513916015625, std:1608.189697265625
Iter:94, max:9284.0751953125, mean:8514.5341796875, min:1104.696044921875, std:1779.944580078125
Iter:95, max:9289.541015625, mean:8759.3203125, min:1167.0643310546875, std:1461.3699951171875
Iter:96, max:9281.01953125, mean:8423.765625, min:943.948486328125, std:1958.7640380859375
Iter:97, max:9282.66796875, mean:8620.537109375, min:1069.0765380859375, std:1688.6768798828125
Iter:98, max:9279.4970703125, mean:8629.7802734375, min:1382.0120849609375, std:1685.8548583984375
Iter:99, max:9281.4375, mean:8658.29296875, min:1068.605712890625, std:1648.643310546875
Iter:100, max:9282.3515625, mean:8641.1220703125, min:1158.3782958984375, std:1566.9554443359375
Iter:101, max:9282.5751953125, mean:8539.53515625, min:1038.638671875, std:1690.1414794921875
Iter:102, max:9285.1806640625, mean:8753.408203125, min:1373.8006591796875, std:1332.1982421875
Iter:103, max:9285.28125, mean:8542.64453125, min:862.834716796875, std:1582.94287109375
Iter:104, max:9280.9931640625, mean:8821.1689453125, min:1009.2509155273438, std:1226.428466796875
Iter:105, max:9282.1103515625, mean:8678.849609375, min:1708.4627685546875, std:1386.1417236328125
Iter:106, max:9285.1240234375, mean:8615.1865234375, min:1105.18701171875, std:1494.8743896484375
Iter:107, max:9280.9755859375, mean:8738.240234375, min:1280.0694580078125, std:1351.975341796875
Iter:108, max:9281.3017578125, mean:8519.1025390625, min:1137.6031494140625, std:1480.1671142578125
Iter:109, max:9286.33984375, mean:8563.44140625, min:1053.935546875, std:1402.3712158203125
Iter:110, max:9282.578125, mean:8723.92578125, min:1067.976806640625, std:1287.83984375
Iter:111, max:9283.6787109375, mean:8839.705078125, min:1285.66259765625, std:1158.0849609375
Iter:112, max:9282.99609375, mean:8824.4296875, min:2068.545654296875, std:1078.4552001953125
Iter:113, max:9281.1328125, mean:8746.02734375, min:1192.5439453125, std:1173.2430419921875
Iter:114, max:9282.8369140625, mean:8655.0224609375, min:1842.663330078125, std:1317.30224609375
Iter:115, max:9283.638671875, mean:8642.88671875, min:2288.673828125, std:1285.2291259765625
Iter:116, max:9282.7578125, mean:8580.96484375, min:1965.7509765625, std:1358.236572265625
Iter:117, max:9277.5546875, mean:8580.55859375, min:2659.858154296875, std:1239.7542724609375
Iter:118, max:9282.9150390625, mean:8754.0537109375, min:3104.436279296875, std:1141.489990234375
Iter:119, max:9283.8310546875, mean:8692.3427734375, min:1408.8988037109375, std:1264.1783447265625
Iter:120, max:9281.8310546875, mean:8489.322265625, min:2657.6376953125, std:1431.2491455078125
Iter:121, max:9282.9287109375, mean:8621.55859375, min:1881.518310546875, std:1325.87158203125
Iter:122, max:9281.84765625, mean:8318.20703125, min:2234.882568359375, std:1475.7010498046875
Iter:123, max:9279.2158203125, mean:8388.72265625, min:1573.990478515625, std:1542.0880126953125
Iter:124, max:9281.1484375, mean:8655.638671875, min:1748.441162109375, std:1230.3201904296875
Iter:125, max:9281.130859375, mean:8085.34521484375, min:1838.1954345703125, std:1650.02099609375
Iter:126, max:9280.580078125, mean:8311.154296875, min:1005.319091796875, std:1525.7252197265625
Iter:127, max:9282.7255859375, mean:8283.9072265625, min:1789.767822265625, std:1472.50390625
