Iter:0, max:1721.7232666015625, mean:435.00030517578125, min:175.3971710205078, std:241.4567108154297
Iter:1, max:976.5595703125, mean:381.7818603515625, min:221.8455810546875, std:114.92478942871094
Iter:2, max:986.4615478515625, mean:392.0791931152344, min:231.09230041503906, std:116.3430404663086
Iter:3, max:940.9056396484375, mean:391.98199462890625, min:231.09939575195312, std:114.34082794189453
Iter:4, max:922.1589965820312, mean:375.080078125, min:212.5383758544922, std:103.39344787597656
Iter:5, max:1019.60888671875, mean:386.37841796875, min:212.75413513183594, std:109.19222259521484
Iter:6, max:1017.045166015625, mean:382.6471252441406, min:212.74371337890625, std:113.42536926269531
Iter:7, max:1295.618896484375, mean:393.80029296875, min:221.6835479736328, std:122.0560073852539
Iter:8, max:929.3821411132812, mean:388.19085693359375, min:212.67144775390625, std:106.48516082763672
Iter:9, max:1055.7901611328125, mean:392.072265625, min:212.60391235351562, std:118.31587982177734
Iter:10, max:1124.4503173828125, mean:397.70794677734375, min:203.30606079101562, std:127.10921478271484
Iter:11, max:1287.84912109375, mean:415.44256591796875, min:194.1837158203125, std:128.78172302246094
Iter:12, max:1186.3365478515625, mean:423.633056640625, min:240.50648498535156, std:138.3973388671875
Iter:13, max:1089.4005126953125, mean:438.1241455078125, min:221.93109130859375, std:134.3456573486328
Iter:14, max:1105.2371826171875, mean:462.03778076171875, min:258.79742431640625, std:144.9677276611328
Iter:15, max:1232.693359375, mean:495.3525695800781, min:240.18594360351562, std:154.91000366210938
Iter:16, max:1443.4622802734375, mean:518.7459716796875, min:258.8395690917969, std:156.63381958007812
Iter:17, max:1278.8707275390625, mean:552.1856079101562, min:268.21673583984375, std:165.4027862548828
Iter:18, max:1620.8656005859375, mean:556.6138916015625, min:277.0055847167969, std:167.8472442626953
Iter:19, max:1550.0194091796875, mean:604.9218139648438, min:295.65728759765625, std:192.0480499267578
Iter:20, max:1797.851806640625, mean:670.5054931640625, min:369.69189453125, std:205.09046936035156
Iter:21, max:1417.8485107421875, mean:678.4443969726562, min:360.8349609375, std:184.12879943847656
Iter:22, max:1936.91943359375, mean:720.4502563476562, min:369.7037048339844, std:189.31719970703125
Iter:23, max:1493.7752685546875, mean:771.2177734375, min:370.23114013671875, std:200.4674072265625
Iter:24, max:1528.6597900390625, mean:768.8643798828125, min:360.62896728515625, std:197.44126892089844
Iter:25, max:2257.837646484375, mean:807.9041748046875, min:406.2250061035156, std:230.32785034179688
Iter:26, max:1659.6375732421875, mean:815.1310424804688, min:462.0352478027344, std:176.02635192871094
Iter:27, max:1423.58935546875, mean:829.9307861328125, min:522.577880859375, std:173.47479248046875
Iter:28, max:2303.31884765625, mean:870.2870483398438, min:488.5523681640625, std:182.21884155273438
Iter:29, max:1844.743408203125, mean:899.2508544921875, min:588.6063232421875, std:185.6055145263672
Iter:30, max:1683.636474609375, mean:902.0313720703125, min:546.197021484375, std:150.75367736816406
Iter:31, max:2130.2822265625, mean:890.942626953125, min:628.502685546875, std:149.88624572753906
Iter:32, max:1854.822509765625, mean:1024.54931640625, min:609.2630004882812, std:227.52310180664062
Iter:33, max:2035.4088134765625, mean:1043.4051513671875, min:591.805419921875, std:217.6634063720703
Iter:34, max:1866.521240234375, mean:1033.102294921875, min:663.4584350585938, std:189.79946899414062
Iter:35, max:1972.440673828125, mean:959.53466796875, min:637.32275390625, std:154.6504669189453
Iter:36, max:1350.5511474609375, mean:927.554443359375, min:629.09765625, std:102.05953216552734
Iter:37, max:1844.9400634765625, mean:1026.375732421875, min:626.6505126953125, std:210.64585876464844
Iter:38, max:1623.6807861328125, mean:899.1890258789062, min:616.4205322265625, std:127.90546417236328
Iter:39, max:1802.1556396484375, mean:1021.0789794921875, min:645.2974853515625, std:190.85816955566406
Iter:40, max:1165.72412109375, mean:842.9635009765625, min:590.1314086914062, std:111.39402770996094
Iter:41, max:2018.8953857421875, mean:946.6589965820312, min:625.184326171875, std:184.0961151123047
Iter:42, max:1260.27294921875, mean:895.89013671875, min:643.7120971679688, std:117.90764617919922
Iter:43, max:2214.598388671875, mean:1057.2783203125, min:654.7513427734375, std:217.4549102783203
Iter:44, max:1712.2391357421875, mean:1049.5206298828125, min:735.236572265625, std:169.7646942138672
Iter:45, max:1599.6064453125, mean:948.4090576171875, min:757.3074340820312, std:138.84262084960938
Iter:46, max:1912.4951171875, mean:994.8619995117188, min:783.345458984375, std:168.44200134277344
Iter:47, max:1858.71142578125, mean:1103.6163330078125, min:752.1123657226562, std:211.4665069580078
Iter:48, max:2096.491943359375, mean:1018.289794921875, min:813.5543212890625, std:144.60877990722656
Iter:49, max:1087.1966552734375, mean:887.3656616210938, min:730.7196044921875, std:83.84536743164062
Iter:50, max:1552.885986328125, mean:1000.7694702148438, min:796.6373901367188, std:141.45912170410156
Iter:51, max:2286.185302734375, mean:994.2760009765625, min:784.2832641601562, std:181.12643432617188
Iter:52, max:2010.442626953125, mean:1095.124267578125, min:786.453125, std:182.30979919433594
Iter:53, max:1998.53564453125, mean:985.6467895507812, min:732.915283203125, std:169.1541748046875
Iter:54, max:1412.35205078125, mean:878.2921142578125, min:720.6537475585938, std:120.28134155273438
Iter:55, max:1793.4498291015625, mean:968.656005859375, min:732.763916015625, std:197.37176513671875
Iter:56, max:1662.594482421875, mean:995.4564819335938, min:759.1383056640625, std:151.3086700439453
Iter:57, max:1728.73681640625, mean:1013.0679931640625, min:784.4481811523438, std:162.7974395751953
Iter:58, max:2210.3232421875, mean:1032.6717529296875, min:813.171875, std:158.77926635742188
Iter:59, max:1954.34765625, mean:1036.929931640625, min:796.6426391601562, std:145.83648681640625
Iter:60, max:1855.922607421875, mean:1037.92529296875, min:821.9989013671875, std:139.23731994628906
Iter:61, max:1944.52294921875, mean:1032.10009765625, min:802.1567993164062, std:159.1222381591797
Iter:62, max:2308.077392578125, mean:1093.801513671875, min:797.3399047851562, std:168.25918579101562
Iter:63, max:1866.4041748046875, mean:1134.044921875, min:759.8278198242188, std:207.8332977294922
Iter:64, max:1928.61767578125, mean:1010.4620971679688, min:809.9535522460938, std:130.9783935546875
Iter:65, max:1993.322265625, mean:1217.299560546875, min:798.55224609375, std:226.27316284179688
Iter:66, max:1875.0123291015625, mean:1180.126953125, min:849.0873413085938, std:152.6019744873047
Iter:67, max:1655.9212646484375, mean:1062.829345703125, min:839.4793090820312, std:112.74317169189453
Iter:68, max:1733.5694580078125, mean:1055.683837890625, min:790.29443359375, std:107.3590087890625
Iter:69, max:1860.195068359375, mean:1217.728271484375, min:869.4315795898438, std:137.81483459472656
Iter:70, max:1857.595947265625, mean:1154.549072265625, min:850.2608642578125, std:130.1910858154297
Iter:71, max:2721.43212890625, mean:1296.705078125, min:842.4945678710938, std:253.86874389648438
Iter:72, max:2409.114501953125, mean:1244.58251953125, min:932.3758544921875, std:180.0754852294922
Iter:73, max:2358.03369140625, mean:1199.5419921875, min:844.3170776367188, std:251.02346801757812
Iter:74, max:2105.6181640625, mean:1218.0185546875, min:880.1398315429688, std:227.7546844482422
Iter:75, max:1608.3203125, mean:1080.456298828125, min:812.3655395507812, std:113.36017608642578
Iter:76, max:2075.70654296875, mean:1224.127685546875, min:826.9550170898438, std:233.73097229003906
Iter:77, max:3005.20068359375, mean:1336.9287109375, min:854.2113037109375, std:269.1623840332031
Iter:78, max:2236.188720703125, mean:1217.061767578125, min:852.5374755859375, std:230.09690856933594
Iter:79, max:2711.050048828125, mean:1263.23388671875, min:789.4721069335938, std:264.5999450683594
Iter:80, max:2652.306396484375, mean:1320.081787109375, min:797.657470703125, std:277.1814880371094
Iter:81, max:2843.167724609375, mean:1340.560546875, min:912.6437377929688, std:284.2206726074219
Iter:82, max:2715.560546875, mean:1439.0283203125, min:981.02880859375, std:264.40875244140625
Iter:83, max:2649.527587890625, mean:1360.095458984375, min:883.709716796875, std:287.22210693359375
Iter:84, max:3371.79638671875, mean:1516.7242431640625, min:1015.4188232421875, std:351.1513977050781
Iter:85, max:3409.724365234375, mean:1565.1856689453125, min:945.6275024414062, std:356.6753234863281
