Iter:0, max:1821.5908203125, mean:398.7532653808594, min:137.9296417236328, std:269.0467834472656
Iter:1, max:1020.4004516601562, mean:358.60791015625, min:194.18692016601562, std:113.7219467163086
Iter:2, max:1053.5521240234375, mean:372.73114013671875, min:184.8212127685547, std:122.27740478515625
Iter:3, max:949.8206787109375, mean:371.144287109375, min:203.1187286376953, std:122.62887573242188
Iter:4, max:1260.3768310546875, mean:366.2198486328125, min:184.7696990966797, std:128.3694305419922
Iter:5, max:1088.1099853515625, mean:378.374267578125, min:193.85702514648438, std:136.2570343017578
Iter:6, max:1024.7811279296875, mean:398.5223083496094, min:175.55812072753906, std:154.35409545898438
Iter:7, max:1300.8492431640625, mean:425.13360595703125, min:175.47642517089844, std:172.74415588378906
Iter:8, max:1371.14404296875, mean:478.039306640625, min:194.22154235839844, std:201.57325744628906
Iter:9, max:2175.48388671875, mean:538.8436889648438, min:203.17189025878906, std:218.26747131347656
Iter:10, max:1872.87451171875, mean:585.3740234375, min:221.5931396484375, std:250.31040954589844
Iter:11, max:1687.794189453125, mean:650.5633544921875, min:203.01080322265625, std:199.5480194091797
Iter:12, max:1559.682861328125, mean:738.8899536132812, min:285.71990966796875, std:225.2144317626953
Iter:13, max:1942.6998291015625, mean:835.8939208984375, min:332.378662109375, std:245.74050903320312
Iter:14, max:1792.3861083984375, mean:842.1849975585938, min:443.05010986328125, std:184.14698791503906
Iter:15, max:2202.33837890625, mean:959.9063720703125, min:462.11273193359375, std:233.59793090820312
Iter:16, max:2447.0546875, mean:992.0482788085938, min:535.3232421875, std:218.73953247070312
Iter:17, max:1741.2818603515625, mean:958.05908203125, min:543.831298828125, std:185.61911010742188
Iter:18, max:2162.583740234375, mean:983.843017578125, min:534.2337646484375, std:215.85546875
Iter:19, max:1754.9056396484375, mean:890.6373291015625, min:591.265380859375, std:151.5199737548828
Iter:20, max:2048.174560546875, mean:996.0938720703125, min:696.379150390625, std:181.97613525390625
Iter:21, max:2013.2930908203125, mean:1026.418212890625, min:625.25732421875, std:203.4756317138672
Iter:22, max:1776.1368408203125, mean:1002.7264404296875, min:641.9114379882812, std:191.66561889648438
Iter:23, max:1773.2459716796875, mean:1009.4993896484375, min:667.4849853515625, std:170.8767852783203
Iter:24, max:1970.4163818359375, mean:1017.33837890625, min:669.2592163085938, std:186.17730712890625
Iter:25, max:1784.95947265625, mean:1015.3908081054688, min:705.4849243164062, std:171.0409698486328
Iter:26, max:1607.8956298828125, mean:985.7064208984375, min:711.5071411132812, std:175.5942840576172
Iter:27, max:1804.8521728515625, mean:1020.0369873046875, min:739.2568969726562, std:177.44833374023438
Iter:28, max:1862.560791015625, mean:1008.354248046875, min:731.37255859375, std:176.7388153076172
Iter:29, max:1836.85693359375, mean:1064.54150390625, min:703.8705444335938, std:197.26548767089844
Iter:30, max:1720.2833251953125, mean:1090.0513916015625, min:751.3281860351562, std:187.443603515625
Iter:31, max:1672.3057861328125, mean:1007.6163940429688, min:704.8988647460938, std:123.6274185180664
Iter:32, max:1733.5941162109375, mean:1135.072265625, min:756.7078857421875, std:166.15794372558594
Iter:33, max:2097.83349609375, mean:1147.55859375, min:763.98779296875, std:187.4535675048828
Iter:34, max:1936.8670654296875, mean:1182.976806640625, min:749.621826171875, std:216.02354431152344
Iter:35, max:2005.568603515625, mean:1155.81640625, min:768.2198486328125, std:214.39324951171875
Iter:36, max:1850.4010009765625, mean:1192.540771484375, min:743.2334594726562, std:204.0715789794922
