Iter:0, max:2126.97900390625, mean:401.4700012207031, min:137.97352600097656, std:285.8840637207031
Iter:1, max:902.5595703125, mean:358.2516174316406, min:203.31349182128906, std:105.90357971191406
Iter:2, max:1053.301025390625, mean:373.8597412109375, min:184.6815643310547, std:124.21135711669922
Iter:3, max:921.96044921875, mean:377.557373046875, min:194.0821075439453, std:129.8602294921875
Iter:4, max:919.1688842773438, mean:366.9051818847656, min:184.45333862304688, std:121.92843627929688
Iter:5, max:1135.6214599609375, mean:383.572509765625, min:193.98654174804688, std:142.37777709960938
Iter:6, max:1404.18017578125, mean:401.1027526855469, min:175.34129333496094, std:155.72361755371094
Iter:7, max:1229.9024658203125, mean:434.194580078125, min:193.85545349121094, std:170.96597290039062
Iter:8, max:1972.4447021484375, mean:482.4334716796875, min:184.70855712890625, std:200.65760803222656
Iter:9, max:1548.999267578125, mean:534.0416259765625, min:212.68310546875, std:199.3943634033203
Iter:10, max:1566.52099609375, mean:591.1181030273438, min:212.58241271972656, std:222.1429443359375
Iter:11, max:1445.9580078125, mean:661.7806396484375, min:212.07818603515625, std:178.2175750732422
Iter:12, max:1630.780517578125, mean:747.3837890625, min:322.7552185058594, std:230.9139404296875
Iter:13, max:2079.99072265625, mean:848.8375244140625, min:378.7156066894531, std:245.52215576171875
Iter:14, max:1519.404052734375, mean:841.87158203125, min:397.5730285644531, std:171.12109375
Iter:15, max:1882.4410400390625, mean:978.43505859375, min:516.4574584960938, std:233.404052734375
Iter:16, max:1726.04345703125, mean:993.6378173828125, min:544.156005859375, std:205.24925231933594
Iter:17, max:1803.4954833984375, mean:988.1949462890625, min:607.7908325195312, std:210.15194702148438
Iter:18, max:2326.422607421875, mean:980.31494140625, min:561.1965942382812, std:214.4662322998047
Iter:19, max:1456.1331787109375, mean:872.65966796875, min:535.2365112304688, std:127.266845703125
Iter:20, max:1882.99267578125, mean:992.7679443359375, min:641.7216186523438, std:173.8773651123047
Iter:21, max:1699.3995361328125, mean:1025.340576171875, min:625.3170776367188, std:208.7860870361328
Iter:22, max:1624.6754150390625, mean:997.8353271484375, min:642.2755737304688, std:179.29689025878906
Iter:23, max:1815.802001953125, mean:991.7853393554688, min:677.9976806640625, std:166.22726440429688
Iter:24, max:1998.133544921875, mean:1018.9951171875, min:721.9583129882812, std:199.98733520507812
Iter:25, max:1748.7808837890625, mean:977.6705322265625, min:685.87890625, std:153.46826171875
