Iter:0, max:2136.095947265625, mean:401.23297119140625, min:137.97352600097656, std:285.05572509765625
Iter:1, max:1071.3043212890625, mean:368.0823669433594, min:203.1212921142578, std:119.0530776977539
Iter:2, max:1135.47216796875, mean:369.2354736328125, min:203.27296447753906, std:123.37217712402344
Iter:3, max:937.2539672851562, mean:370.5777587890625, min:194.12571716308594, std:125.02241516113281
Iter:4, max:1024.1829833984375, mean:376.6477355957031, min:184.6084747314453, std:141.77398681640625
Iter:5, max:1069.197509765625, mean:389.6744079589844, min:175.53990173339844, std:153.75108337402344
Iter:6, max:1196.5084228515625, mean:426.929443359375, min:175.26766967773438, std:182.48146057128906
Iter:7, max:1416.0145263671875, mean:486.77099609375, min:165.96466064453125, std:209.14816284179688
Iter:8, max:1540.14697265625, mean:563.9462890625, min:165.81887817382812, std:216.92596435546875
Iter:9, max:1783.57373046875, mean:629.21337890625, min:166.01466369628906, std:193.59085083007812
Iter:10, max:1744.9432373046875, mean:752.2389526367188, min:184.59597778320312, std:241.68258666992188
Iter:11, max:1351.561279296875, mean:753.8770141601562, min:221.4275360107422, std:156.10203552246094
Iter:12, max:2036.881591796875, mean:902.0813598632812, min:240.03375244140625, std:228.17295837402344
Iter:13, max:1857.1014404296875, mean:951.6787109375, min:286.2862243652344, std:206.60072326660156
Iter:14, max:1697.6898193359375, mean:876.2537841796875, min:332.4533996582031, std:164.8957977294922
Iter:15, max:2170.810302734375, mean:974.044189453125, min:406.1626892089844, std:188.4205322265625
Iter:16, max:1654.3470458984375, mean:1004.9323120117188, min:526.3450927734375, std:178.57525634765625
Iter:17, max:1747.6558837890625, mean:1031.2637939453125, min:599.5574340820312, std:192.59144592285156
Iter:18, max:1788.5396728515625, mean:1013.915283203125, min:704.2129516601562, std:171.9884033203125
Iter:19, max:1806.3673095703125, mean:944.27001953125, min:700.3739013671875, std:148.56077575683594
Iter:20, max:1943.5394287109375, mean:1091.1781005859375, min:705.2203979492188, std:189.7687530517578
