Iter:0, max:2569.5810546875, mean:442.7835693359375, min:175.09127807617188, std:276.3046875
Iter:1, max:978.3217163085938, mean:385.39068603515625, min:212.74754333496094, std:113.24420166015625
Iter:2, max:1314.4708251953125, mean:393.07281494140625, min:221.91546630859375, std:127.4855728149414
Iter:3, max:1082.687255859375, mean:393.82574462890625, min:221.82089233398438, std:127.23265838623047
Iter:4, max:982.5731811523438, mean:389.580078125, min:212.54571533203125, std:118.26148223876953
Iter:5, max:1137.6143798828125, mean:391.7691345214844, min:212.5264129638672, std:127.05760192871094
Iter:6, max:1135.177734375, mean:388.57684326171875, min:212.43939208984375, std:125.48336791992188
Iter:7, max:1087.2564697265625, mean:380.1785888671875, min:212.43182373046875, std:110.59414672851562
Iter:8, max:1328.3974609375, mean:387.2179260253906, min:203.1085205078125, std:130.76942443847656
Iter:9, max:1251.165283203125, mean:407.9322509765625, min:194.16099548339844, std:151.9408721923828
Iter:10, max:1124.8052978515625, mean:424.54180908203125, min:175.27447509765625, std:158.23306274414062
Iter:11, max:1436.9827880859375, mean:472.4920654296875, min:166.18084716796875, std:175.94273376464844
Iter:12, max:1498.234619140625, mean:551.3604736328125, min:175.2490692138672, std:218.67758178710938
Iter:13, max:1901.04833984375, mean:645.2835693359375, min:175.3894805908203, std:235.00958251953125
Iter:14, max:1480.728271484375, mean:690.9088134765625, min:193.81427001953125, std:184.22079467773438
Iter:15, max:1669.2613525390625, mean:812.9075927734375, min:212.20928955078125, std:248.72735595703125
Iter:16, max:1752.350341796875, mean:873.3209228515625, min:230.6929473876953, std:237.11322021484375
Iter:17, max:1633.60107421875, mean:881.5921020507812, min:285.5201110839844, std:196.2274627685547
Iter:18, max:2219.3232421875, mean:984.1785888671875, min:447.2878723144531, std:247.8935089111328
Iter:19, max:1860.681884765625, mean:933.4396362304688, min:477.7681579589844, std:190.50282287597656
Iter:20, max:1759.2027587890625, mean:1019.617919921875, min:590.5245361328125, std:213.25579833984375
Iter:21, max:1940.74853515625, mean:1052.719482421875, min:671.359130859375, std:205.09054565429688
Iter:22, max:2166.605712890625, mean:1058.3720703125, min:697.388916015625, std:212.3260498046875
Iter:23, max:2023.758056640625, mean:1053.27685546875, min:670.6582641601562, std:200.89028930664062
Iter:24, max:2019.314697265625, mean:1061.470458984375, min:669.6323852539062, std:194.8157958984375
Iter:25, max:1908.420166015625, mean:1064.3365478515625, min:688.0955200195312, std:201.32534790039062
Iter:26, max:1930.581298828125, mean:1074.5689697265625, min:704.7559814453125, std:201.62875366210938
Iter:27, max:1706.3419189453125, mean:1085.135009765625, min:695.9027099609375, std:181.15252685546875
Iter:28, max:2077.576171875, mean:1100.854248046875, min:720.925537109375, std:195.52967834472656
Iter:29, max:1906.10107421875, mean:1144.4658203125, min:746.7551879882812, std:200.6299591064453
Iter:30, max:2118.261962890625, mean:1152.555419921875, min:715.19189453125, std:208.7804412841797
Iter:31, max:1944.364501953125, mean:1033.263671875, min:679.3304443359375, std:153.65419006347656
Iter:32, max:2680.383544921875, mean:1118.706298828125, min:734.1741333007812, std:238.2444305419922
