Iter:0, max:1530.00537109375, mean:374.3676452636719, min:138.19674682617188, std:228.85104370117188
Iter:1, max:873.931640625, mean:378.9729309082031, min:212.38658142089844, std:110.9554672241211
Iter:2, max:940.5596923828125, mean:384.70867919921875, min:203.26609802246094, std:120.4598159790039
Iter:3, max:916.3517456054688, mean:376.4971923828125, min:203.10501098632812, std:111.01605987548828
Iter:4, max:1056.2608642578125, mean:376.23486328125, min:193.94444274902344, std:130.35777282714844
Iter:5, max:1090.1129150390625, mean:367.5628356933594, min:184.75772094726562, std:125.20748138427734
Iter:6, max:1034.8548583984375, mean:357.9281311035156, min:175.576904296875, std:124.40800476074219
Iter:7, max:1294.61083984375, mean:348.5762023925781, min:175.26644897460938, std:131.19451904296875
Iter:8, max:1020.8240966796875, mean:348.9625244140625, min:175.13148498535156, std:135.14111328125
Iter:9, max:1558.8516845703125, mean:363.241943359375, min:166.03643798828125, std:160.76507568359375
Iter:10, max:1128.7291259765625, mean:373.9668273925781, min:156.94256591796875, std:185.5658416748047
Iter:11, max:1414.382568359375, mean:408.50555419921875, min:156.9171600341797, std:217.40818786621094
Iter:12, max:1466.6177978515625, mean:443.1186828613281, min:156.7716827392578, std:227.35386657714844
Iter:13, max:1578.803955078125, mean:525.813720703125, min:156.82980346679688, std:261.9659118652344
Iter:14, max:1314.66845703125, mean:585.8536376953125, min:165.92691040039062, std:226.31893920898438
Iter:15, max:1498.1663818359375, mean:681.6070556640625, min:175.11602783203125, std:244.04794311523438
Iter:16, max:1780.68408203125, mean:777.480224609375, min:221.7106475830078, std:245.8357391357422
Iter:17, max:2178.957763671875, mean:826.829833984375, min:249.53884887695312, std:225.8717498779297
Iter:18, max:1645.597412109375, mean:898.8531494140625, min:259.0177917480469, std:233.1221160888672
Iter:19, max:2321.25830078125, mean:866.9132080078125, min:295.9410095214844, std:187.23728942871094
Iter:20, max:1925.61962890625, mean:1007.31591796875, min:463.6904296875, std:223.9600372314453
Iter:21, max:2036.91015625, mean:976.3568115234375, min:445.13232421875, std:218.86524963378906
Iter:22, max:1820.6788330078125, mean:964.7713012695312, min:463.40643310546875, std:201.6765594482422
Iter:23, max:1796.502685546875, mean:1043.73681640625, min:509.3325500488281, std:223.3719024658203
Iter:24, max:1891.8607177734375, mean:1056.83251953125, min:536.85693359375, std:222.85581970214844
Iter:25, max:1906.514404296875, mean:1058.5574951171875, min:580.2028198242188, std:223.74188232421875
Iter:26, max:2440.169677734375, mean:1103.1978759765625, min:618.3976440429688, std:242.2995147705078
Iter:27, max:2106.47412109375, mean:1135.158447265625, min:672.0794067382812, std:218.46600341796875
Iter:28, max:2321.31689453125, mean:1159.4580078125, min:725.338623046875, std:217.9854736328125
Iter:29, max:2111.161865234375, mean:1187.9498291015625, min:751.4208984375, std:210.11175537109375
Iter:30, max:1937.3675537109375, mean:1183.404052734375, min:759.0590209960938, std:209.10903930664062
Iter:31, max:2104.951171875, mean:1159.64990234375, min:759.0154418945312, std:204.95204162597656
Iter:32, max:2513.24658203125, mean:1214.547607421875, min:751.0491333007812, std:244.8397216796875
Iter:33, max:2354.3076171875, mean:1217.694580078125, min:750.9439697265625, std:260.6538391113281
Iter:34, max:2805.272216796875, mean:1298.9149169921875, min:768.5913696289062, std:291.711669921875
Iter:35, max:2860.6962890625, mean:1318.396728515625, min:784.8112182617188, std:270.0554504394531
Iter:36, max:2543.70703125, mean:1352.931640625, min:794.1316528320312, std:300.4217834472656
Iter:37, max:2774.2099609375, mean:1341.32861328125, min:841.48486328125, std:268.75140380859375
Iter:38, max:2960.259521484375, mean:1434.34228515625, min:850.4086303710938, std:295.8145751953125
Iter:39, max:2401.4296875, mean:1296.7581787109375, min:888.7443237304688, std:199.60264587402344
Iter:40, max:2466.750244140625, mean:1428.93408203125, min:950.411376953125, std:261.07501220703125
Iter:41, max:3746.490478515625, mean:1594.4151611328125, min:959.2106323242188, std:320.1423645019531
Iter:42, max:3419.54833984375, mean:1508.6513671875, min:938.5840454101562, std:330.7666931152344
Iter:43, max:3291.448486328125, mean:1643.2718505859375, min:922.0565795898438, std:375.9098815917969
Iter:44, max:3413.699462890625, mean:1604.591796875, min:931.2647705078125, std:369.3008117675781
Iter:45, max:3321.251708984375, mean:1542.485595703125, min:913.661376953125, std:371.1745300292969
Iter:46, max:3356.3486328125, mean:1532.8173828125, min:903.751220703125, std:387.42596435546875
Iter:47, max:3341.0068359375, mean:1480.5296630859375, min:903.8721313476562, std:383.3265380859375
Iter:48, max:3535.42822265625, mean:1595.55517578125, min:941.8442993164062, std:404.163330078125
Iter:49, max:3512.218017578125, mean:1327.43115234375, min:941.58544921875, std:239.40830993652344
Iter:50, max:3969.613525390625, mean:1659.426025390625, min:997.7892456054688, std:455.5666809082031
Iter:51, max:4037.585693359375, mean:1715.5068359375, min:1025.59619140625, std:457.9172058105469
Iter:52, max:4130.3984375, mean:1760.608154296875, min:1120.8984375, std:494.8646240234375
Iter:53, max:4398.4365234375, mean:1886.83154296875, min:1101.6875, std:509.3630676269531
Iter:54, max:4969.802734375, mean:1902.350341796875, min:1092.5648193359375, std:499.39288330078125
Iter:55, max:4840.65380859375, mean:1999.39892578125, min:993.5914306640625, std:524.2433471679688
Iter:56, max:4348.56005859375, mean:1832.990234375, min:959.2534790039062, std:472.9360046386719
Iter:57, max:4534.4375, mean:1547.9537353515625, min:989.5151977539062, std:399.1389465332031
Iter:58, max:5340.31005859375, mean:1608.890869140625, min:978.3038940429688, std:431.32708740234375
Iter:59, max:5034.35009765625, mean:1624.153564453125, min:800.0934448242188, std:379.6886901855469
Iter:60, max:4863.53271484375, mean:1674.4915771484375, min:942.7203369140625, std:385.2591857910156
Iter:61, max:6740.984375, mean:1543.941650390625, min:1007.7157592773438, std:422.3489685058594
Iter:62, max:6407.8779296875, mean:1836.3343505859375, min:911.2219848632812, std:569.2284545898438
Iter:63, max:6467.33984375, mean:1844.946533203125, min:912.2528686523438, std:541.5131225585938
Iter:64, max:9261.2158203125, mean:1831.107177734375, min:976.3709716796875, std:747.3876342773438
Iter:65, max:5802.40576171875, mean:1924.8121337890625, min:989.497314453125, std:632.4585571289062
Iter:66, max:7272.71826171875, mean:2213.73291015625, min:958.2904663085938, std:905.0531616210938
Iter:67, max:9271.3515625, mean:2411.76708984375, min:1100.9219970703125, std:1236.6572265625
Iter:68, max:6894.94384765625, mean:1950.56103515625, min:1033.7015380859375, std:678.4660034179688
Iter:69, max:9212.78125, mean:2658.385498046875, min:1345.16357421875, std:1202.37451171875
Iter:70, max:8144.95654296875, mean:2586.369140625, min:1121.734375, std:1222.0557861328125
Iter:71, max:9194.771484375, mean:2329.32177734375, min:1278.06689453125, std:1149.935791015625
Iter:72, max:9233.314453125, mean:2298.19287109375, min:1260.335205078125, std:1213.2139892578125
Iter:73, max:9264.7265625, mean:2297.49560546875, min:1176.057861328125, std:1327.63818359375
Iter:74, max:9255.7783203125, mean:2213.8310546875, min:1225.2847900390625, std:1193.103515625
Iter:75, max:9199.6201171875, mean:2052.234619140625, min:1168.0023193359375, std:1075.3507080078125
Iter:76, max:9238.5546875, mean:2163.142578125, min:1213.6556396484375, std:1258.488525390625
Iter:77, max:9268.404296875, mean:2116.3525390625, min:1205.0960693359375, std:1229.927734375
Iter:78, max:9253.7099609375, mean:2272.28466796875, min:989.6815795898438, std:1473.4986572265625
Iter:79, max:9206.380859375, mean:2330.129150390625, min:1073.1824951171875, std:1446.40576171875
Iter:80, max:9261.7705078125, mean:2835.93017578125, min:1241.361328125, std:1958.5384521484375
Iter:81, max:9254.7783203125, mean:3250.0, min:1251.384765625, std:1895.6578369140625
Iter:82, max:9265.6513671875, mean:3487.712890625, min:1297.4564208984375, std:1888.1016845703125
Iter:83, max:9249.443359375, mean:4306.11328125, min:999.0682373046875, std:1943.7484130859375
Iter:84, max:9261.9775390625, mean:4709.146484375, min:1450.8514404296875, std:1768.45068359375
Iter:85, max:9271.484375, mean:4773.66455078125, min:1402.59716796875, std:1786.2222900390625
Iter:86, max:9286.27734375, mean:4549.0908203125, min:1500.130126953125, std:1703.736572265625
Iter:87, max:9246.005859375, mean:4243.490234375, min:1381.3409423828125, std:1727.2359619140625
Iter:88, max:9228.73046875, mean:3887.017333984375, min:1329.2659912109375, std:1670.816650390625
Iter:89, max:9210.708984375, mean:3752.144775390625, min:1376.1932373046875, std:1648.4361572265625
Iter:90, max:9227.2978515625, mean:3537.9755859375, min:1460.8856201171875, std:1555.3175048828125
Iter:91, max:9230.0048828125, mean:3656.2919921875, min:1360.8648681640625, std:1532.77001953125
Iter:92, max:9222.595703125, mean:3721.1669921875, min:1323.2803955078125, std:1696.52783203125
Iter:93, max:9239.3310546875, mean:3678.406005859375, min:1144.6641845703125, std:1738.818359375
Iter:94, max:9221.8359375, mean:4071.37109375, min:1077.7376708984375, std:1857.8394775390625
Iter:95, max:9240.9072265625, mean:4225.1015625, min:1539.8206787109375, std:1721.6834716796875
Iter:96, max:9234.1552734375, mean:4629.2138671875, min:1445.878173828125, std:1935.7308349609375
