Iter:0, max:1719.2418212890625, mean:363.8301086425781, min:110.17289733886719, std:286.71636962890625
Iter:1, max:1218.8282470703125, mean:358.0218505859375, min:175.2019500732422, std:147.65792846679688
Iter:2, max:1199.1309814453125, mean:366.8266296386719, min:166.16738891601562, std:164.75274658203125
Iter:3, max:1094.0291748046875, mean:362.063720703125, min:165.8877410888672, std:158.41668701171875
Iter:4, max:1405.5528564453125, mean:381.52374267578125, min:156.810302734375, std:185.61045837402344
Iter:5, max:1349.649658203125, mean:410.21343994140625, min:147.48703002929688, std:206.66607666015625
Iter:6, max:1377.630126953125, mean:474.78759765625, min:147.22836303710938, std:243.7237091064453
Iter:7, max:1581.443603515625, mean:570.2055053710938, min:138.2304229736328, std:246.32122802734375
Iter:8, max:1720.340087890625, mean:695.8057861328125, min:147.09188842773438, std:245.0030059814453
Iter:9, max:2001.285888671875, mean:779.9775390625, min:156.73178100585938, std:214.33740234375
Iter:10, max:1624.1051025390625, mean:865.171875, min:398.27618408203125, std:194.18368530273438
Iter:11, max:1683.25244140625, mean:911.63330078125, min:462.994873046875, std:182.71157836914062
Iter:12, max:1784.2901611328125, mean:938.5101318359375, min:425.5050964355469, std:190.97879028320312
Iter:13, max:1858.3837890625, mean:971.938232421875, min:434.5356750488281, std:197.84591674804688
Iter:14, max:1936.0203857421875, mean:931.32470703125, min:406.43572998046875, std:210.51048278808594
Iter:15, max:1812.6207275390625, mean:1033.442626953125, min:433.06292724609375, std:211.32167053222656
Iter:16, max:2073.262451171875, mean:1102.5433349609375, min:460.160888671875, std:221.83694458007812
Iter:17, max:2130.868408203125, mean:1159.170654296875, min:486.8283996582031, std:255.0854034423828
Iter:18, max:2087.25244140625, mean:1207.01611328125, min:584.7008056640625, std:203.43138122558594
Iter:19, max:2551.3828125, mean:1200.4583740234375, min:654.986083984375, std:198.7432403564453
Iter:20, max:3010.6083984375, mean:1383.744384765625, min:731.1334838867188, std:295.0321960449219
Iter:21, max:2720.419921875, mean:1388.60693359375, min:823.3580932617188, std:257.1304931640625
Iter:22, max:2695.819091796875, mean:1431.031494140625, min:871.9468383789062, std:261.7622985839844
Iter:23, max:3268.30859375, mean:1580.917724609375, min:896.4036254882812, std:333.1999816894531
Iter:24, max:2763.763916015625, mean:1623.533447265625, min:938.0804443359375, std:330.6720275878906
Iter:25, max:3532.569580078125, mean:1662.722900390625, min:961.5887451171875, std:413.5736083984375
Iter:26, max:3427.03662109375, mean:1618.4852294921875, min:1004.506103515625, std:379.0967102050781
Iter:27, max:3742.761474609375, mean:1798.3822021484375, min:1025.2108154296875, std:441.8826904296875
Iter:28, max:5564.32177734375, mean:1734.6673583984375, min:1052.787353515625, std:440.03131103515625
Iter:29, max:3985.97265625, mean:1841.9693603515625, min:1062.1658935546875, std:457.0505676269531
Iter:30, max:4506.96875, mean:1861.9644775390625, min:1033.6461181640625, std:480.2538757324219
Iter:31, max:4890.59228515625, mean:1849.3848876953125, min:898.6220092773438, std:497.7500305175781
Iter:32, max:4486.609375, mean:1869.93798828125, min:826.832275390625, std:516.3538818359375
Iter:33, max:4774.11328125, mean:1804.30029296875, min:843.4714965820312, std:495.1424255371094
Iter:34, max:6474.50341796875, mean:1878.6788330078125, min:885.000244140625, std:664.142822265625
Iter:35, max:7635.07080078125, mean:1893.6497802734375, min:811.1241455078125, std:737.7984619140625
Iter:36, max:6290.32421875, mean:1916.4664306640625, min:710.5609741210938, std:672.0595703125
Iter:37, max:9125.2451171875, mean:2084.760986328125, min:490.4078063964844, std:912.3622436523438
Iter:38, max:7895.8935546875, mean:2113.560302734375, min:750.6576538085938, std:880.8600463867188
Iter:39, max:9171.8544921875, mean:2034.46435546875, min:724.0230102539062, std:947.4732666015625
Iter:40, max:9186.2880859375, mean:2438.9296875, min:647.484130859375, std:1151.0263671875
