Iter:0, max:1777.8603515625, mean:434.755859375, min:175.3971710205078, std:240.70933532714844
Iter:1, max:1006.3091430664062, mean:387.5049133300781, min:221.63546752929688, std:119.37947082519531
Iter:2, max:846.7142333984375, mean:393.0615234375, min:221.7158203125, std:122.91646575927734
Iter:3, max:940.5695190429688, mean:389.934326171875, min:212.74891662597656, std:120.98574829101562
Iter:4, max:1448.451171875, mean:388.28314208984375, min:212.44271850585938, std:121.58507537841797
Iter:5, max:1027.4075927734375, mean:388.0325012207031, min:212.37448120117188, std:117.81627655029297
Iter:6, max:969.077880859375, mean:386.6278991699219, min:212.3467254638672, std:118.69723510742188
Iter:7, max:1129.657958984375, mean:383.4547119140625, min:203.4426727294922, std:119.42174530029297
Iter:8, max:1090.5103759765625, mean:393.45074462890625, min:203.1649627685547, std:135.67758178710938
Iter:9, max:1043.534912109375, mean:411.1002197265625, min:194.1476593017578, std:144.1017608642578
Iter:10, max:1173.9366455078125, mean:430.87164306640625, min:184.65846252441406, std:165.34190368652344
Iter:11, max:1145.9326171875, mean:489.83233642578125, min:184.5399169921875, std:181.30499267578125
Iter:12, max:1483.9937744140625, mean:574.081298828125, min:193.8676300048828, std:212.91307067871094
Iter:13, max:1782.37548828125, mean:684.7150268554688, min:202.9773712158203, std:245.86766052246094
Iter:14, max:1714.1376953125, mean:733.6077880859375, min:230.55575561523438, std:193.88333129882812
Iter:15, max:2121.311767578125, mean:859.5052490234375, min:276.1996154785156, std:242.7794189453125
Iter:16, max:2128.1396484375, mean:945.7928466796875, min:429.26373291015625, std:259.66705322265625
Iter:17, max:2164.373779296875, mean:946.0343017578125, min:468.124755859375, std:212.74383544921875
Iter:18, max:1638.303955078125, mean:1037.7349853515625, min:488.4547119140625, std:214.84413146972656
Iter:19, max:1937.8597412109375, mean:986.9591064453125, min:535.2796020507812, std:175.89404296875
Iter:20, max:1842.070068359375, mean:1050.4034423828125, min:654.0673217773438, std:212.1841583251953
Iter:21, max:1720.05908203125, mean:1059.37890625, min:727.1083374023438, std:185.61575317382812
Iter:22, max:2002.1297607421875, mean:1054.2064208984375, min:745.1722412109375, std:179.9912872314453
Iter:23, max:2096.310302734375, mean:1068.4583740234375, min:760.4354858398438, std:194.19869995117188
Iter:24, max:2147.2958984375, mean:1087.01904296875, min:750.1233520507812, std:201.93917846679688
Iter:25, max:2017.3883056640625, mean:1095.066650390625, min:767.4946899414062, std:215.90951538085938
Iter:26, max:1690.5682373046875, mean:1072.0609130859375, min:767.58203125, std:171.02474975585938
Iter:27, max:2056.65087890625, mean:1136.005126953125, min:758.3505249023438, std:199.4593505859375
Iter:28, max:1845.6893310546875, mean:1107.0966796875, min:785.572265625, std:172.3615264892578
Iter:29, max:2085.711181640625, mean:1152.478515625, min:795.441650390625, std:187.54019165039062
Iter:30, max:2227.434814453125, mean:1145.58642578125, min:705.4413452148438, std:189.83909606933594
Iter:31, max:1899.218994140625, mean:1059.043212890625, min:688.003662109375, std:158.18931579589844
Iter:32, max:2845.693115234375, mean:1234.6259765625, min:679.3695068359375, std:289.18927001953125
Iter:33, max:2283.39697265625, mean:1177.92822265625, min:661.8204345703125, std:248.66348266601562
Iter:34, max:2396.763916015625, mean:1287.1424560546875, min:679.6455688476562, std:275.7734375
Iter:35, max:2162.839111328125, mean:1266.9586181640625, min:706.7501220703125, std:222.0897674560547
Iter:36, max:2354.541748046875, mean:1278.76806640625, min:679.2371826171875, std:259.5093688964844
Iter:37, max:2673.991943359375, mean:1274.387939453125, min:717.3450927734375, std:268.9938659667969
Iter:38, max:2398.6279296875, mean:1280.965576171875, min:733.7713012695312, std:230.92572021484375
Iter:39, max:2276.27783203125, mean:1184.73095703125, min:745.7767944335938, std:222.96043395996094
Iter:40, max:2722.545654296875, mean:1205.8818359375, min:733.1356201171875, std:227.67877197265625
Iter:41, max:2260.6923828125, mean:1340.767822265625, min:786.2846069335938, std:248.26004028320312
Iter:42, max:2740.752685546875, mean:1256.2467041015625, min:769.2930297851562, std:235.56015014648438
Iter:43, max:3071.027587890625, mean:1410.7685546875, min:822.4033813476562, std:304.44891357421875
Iter:44, max:2536.040771484375, mean:1331.387939453125, min:792.1470336914062, std:232.3560028076172
Iter:45, max:2906.7880859375, mean:1254.4647216796875, min:791.1620483398438, std:259.3262634277344
Iter:46, max:2807.26513671875, mean:1308.707763671875, min:843.3732299804688, std:245.36276245117188
Iter:47, max:2911.11279296875, mean:1450.09033203125, min:850.011962890625, std:316.3085021972656
Iter:48, max:3059.368896484375, mean:1384.412841796875, min:824.8613891601562, std:260.69500732421875
Iter:49, max:2904.108642578125, mean:1309.208984375, min:826.2506103515625, std:282.19256591796875
Iter:50, max:2986.08251953125, mean:1529.864990234375, min:955.7196655273438, std:325.4331970214844
