Iter:0, max:1747.2109375, mean:399.3690185546875, min:137.9296417236328, std:270.76519775390625
Iter:1, max:1024.7786865234375, mean:369.9104309082031, min:193.82472229003906, std:120.35821533203125
Iter:2, max:1027.166748046875, mean:369.90399169921875, min:193.81524658203125, std:131.5214080810547
Iter:3, max:1156.5093994140625, mean:367.30242919921875, min:193.69874572753906, std:131.79226684570312
Iter:4, max:1072.373291015625, mean:367.339111328125, min:184.8182830810547, std:145.0663299560547
Iter:5, max:1440.57666015625, mean:386.67596435546875, min:184.6461639404297, std:172.84780883789062
Iter:6, max:1183.8917236328125, mean:416.84893798828125, min:184.4607696533203, std:185.922607421875
Iter:7, max:1211.99853515625, mean:482.02435302734375, min:175.3167266845703, std:205.90591430664062
Iter:8, max:1461.3321533203125, mean:581.1492919921875, min:175.1980438232422, std:222.83363342285156
Iter:9, max:1546.67626953125, mean:630.3006591796875, min:184.3814239501953, std:186.55194091796875
Iter:10, max:1471.9320068359375, mean:748.8124389648438, min:239.4297332763672, std:200.04493713378906
Iter:11, max:1573.925048828125, mean:750.4119873046875, min:314.6910400390625, std:152.4716339111328
Iter:12, max:1604.1650390625, mean:884.9038696289062, min:268.23388671875, std:201.84793090820312
Iter:13, max:1817.7696533203125, mean:907.488037109375, min:305.30047607421875, std:194.0924835205078
Iter:14, max:1893.3992919921875, mean:839.20654296875, min:314.3833312988281, std:206.51705932617188
Iter:15, max:1748.4652099609375, mean:861.9205322265625, min:378.7112731933594, std:186.81399536132812
Iter:16, max:1759.53857421875, mean:891.9774169921875, min:504.80242919921875, std:195.48110961914062
Iter:17, max:1634.217041015625, mean:908.6256103515625, min:532.23095703125, std:199.0879669189453
Iter:18, max:1571.6427001953125, mean:899.5008544921875, min:585.0996704101562, std:156.6143341064453
Iter:19, max:1451.0015869140625, mean:842.3585205078125, min:657.265869140625, std:132.75953674316406
Iter:20, max:1493.325927734375, mean:982.8272705078125, min:638.8143920898438, std:154.99012756347656
Iter:21, max:1545.166748046875, mean:931.8588256835938, min:700.3978271484375, std:139.2014923095703
Iter:22, max:1756.3541259765625, mean:975.0262451171875, min:701.6568603515625, std:140.31727600097656
Iter:23, max:1781.377685546875, mean:1064.51513671875, min:747.7940673828125, std:150.27503967285156
Iter:24, max:1978.2850341796875, mean:1092.157470703125, min:765.7631225585938, std:149.7123260498047
Iter:25, max:1918.046875, mean:1081.042236328125, min:759.4915161132812, std:189.96646118164062
Iter:26, max:1986.3936767578125, mean:1167.910400390625, min:849.9221801757812, std:155.3853759765625
Iter:27, max:2041.3336181640625, mean:1237.8818359375, min:813.2306518554688, std:203.65390014648438
Iter:28, max:2170.10205078125, mean:1237.051513671875, min:868.998779296875, std:167.7747344970703
Iter:29, max:2072.229248046875, mean:1275.0526123046875, min:850.466064453125, std:187.73095703125
Iter:30, max:2311.536376953125, mean:1241.7296142578125, min:852.48095703125, std:167.72003173828125
Iter:31, max:1925.5728759765625, mean:1137.022705078125, min:827.4904174804688, std:120.4759292602539
Iter:32, max:2520.912109375, mean:1423.9654541015625, min:911.0059204101562, std:276.0140686035156
