Iter:0, max:2126.97900390625, mean:401.4700012207031, min:137.97352600097656, std:285.8840637207031
Iter:1, max:874.6412353515625, mean:358.21282958984375, min:203.31182861328125, std:105.68992614746094
Iter:2, max:1173.66650390625, mean:373.8404235839844, min:184.68788146972656, std:125.20279693603516
Iter:3, max:952.827392578125, mean:377.56787109375, min:194.0769805908203, std:131.22067260742188
Iter:4, max:931.2965698242188, mean:366.5924072265625, min:184.4600830078125, std:121.05150604248047
Iter:5, max:1204.6934814453125, mean:384.43585205078125, min:193.9840087890625, std:144.83665466308594
Iter:6, max:1413.7569580078125, mean:400.57623291015625, min:175.3496856689453, std:154.7060089111328
Iter:7, max:1106.1029052734375, mean:433.23846435546875, min:193.80178833007812, std:167.3825225830078
Iter:8, max:1534.284912109375, mean:481.107177734375, min:184.6979217529297, std:192.9937744140625
Iter:9, max:1304.160400390625, mean:532.2028198242188, min:212.6813201904297, std:195.4573516845703
Iter:10, max:1509.578857421875, mean:590.1404418945312, min:212.54266357421875, std:220.3392333984375
Iter:11, max:1371.83203125, mean:660.8876342773438, min:203.1853485107422, std:179.44451904296875
Iter:12, max:1723.3306884765625, mean:747.8970947265625, min:322.79058837890625, std:237.20896911621094
Iter:13, max:1797.91162109375, mean:846.8433837890625, min:378.5318298339844, std:246.38316345214844
Iter:14, max:1739.8629150390625, mean:842.9541015625, min:397.53973388671875, std:181.4412384033203
Iter:15, max:2085.072265625, mean:974.3821411132812, min:516.3858032226562, std:227.5934295654297
Iter:16, max:1983.3388671875, mean:995.869873046875, min:544.0868530273438, std:215.69447326660156
Iter:17, max:2010.746826171875, mean:984.9033813476562, min:607.8696899414062, std:209.29588317871094
Iter:18, max:1852.7596435546875, mean:974.681884765625, min:561.174072265625, std:200.92083740234375
Iter:19, max:1750.30029296875, mean:873.41650390625, min:535.18896484375, std:133.22879028320312
Iter:20, max:2067.010986328125, mean:996.343017578125, min:641.6627807617188, std:178.314208984375
Iter:21, max:1764.48681640625, mean:1021.3803100585938, min:616.9627685546875, std:205.9436492919922
Iter:22, max:1601.083740234375, mean:999.1898193359375, min:642.2945556640625, std:183.93597412109375
Iter:23, max:1748.5302734375, mean:992.1845092773438, min:677.9949951171875, std:165.435302734375
Iter:24, max:1675.3177490234375, mean:1013.806396484375, min:721.9694213867188, std:184.29949951171875
Iter:25, max:1996.5240478515625, mean:975.85888671875, min:678.0065307617188, std:151.560791015625
Iter:26, max:1856.8734130859375, mean:1001.8638916015625, min:712.8218994140625, std:181.11456298828125
Iter:27, max:1771.2310791015625, mean:1012.172119140625, min:755.9466552734375, std:180.52197265625
Iter:28, max:1777.342529296875, mean:1021.6943359375, min:727.6554565429688, std:198.7169189453125
Iter:29, max:1736.701416015625, mean:1062.496337890625, min:704.6327514648438, std:196.28379821777344
Iter:30, max:1936.7125244140625, mean:1091.671142578125, min:723.6864624023438, std:196.57379150390625
Iter:31, max:1835.3837890625, mean:1008.3458251953125, min:703.8920288085938, std:150.1301727294922
Iter:32, max:1711.0130615234375, mean:1040.589599609375, min:728.6146850585938, std:170.53762817382812
Iter:33, max:1767.2799072265625, mean:1046.4786376953125, min:722.562255859375, std:173.6171417236328
Iter:34, max:1869.031494140625, mean:1129.4791259765625, min:702.1931762695312, std:184.35009765625
Iter:35, max:2040.064453125, mean:1116.840576171875, min:722.7339477539062, std:214.74551391601562
Iter:36, max:1894.49658203125, mean:1147.059326171875, min:713.3883056640625, std:190.3408660888672
Iter:37, max:2096.882080078125, mean:1147.8076171875, min:750.5613403320312, std:204.2920379638672
Iter:38, max:2083.366455078125, mean:1112.556884765625, min:723.2859497070312, std:211.40992736816406
Iter:39, max:1945.4415283203125, mean:1185.7685546875, min:795.8684692382812, std:192.19544982910156
Iter:40, max:2085.970947265625, mean:1077.890380859375, min:741.698486328125, std:177.99661254882812
Iter:41, max:2075.0390625, mean:1229.4659423828125, min:787.47314453125, std:239.1345977783203
Iter:42, max:1882.05126953125, mean:1182.6805419921875, min:803.1887817382812, std:189.89649963378906
