Total time, 429.61s, 100.00%
	,Train time, 368.09s, 85.68%
	,	,Evaluation time, 366.90s, 99.68%
	,	,Ask time, 0.46s, 0.12%
	,	,Tell time, 0.73s, 0.20%
	,Test time, 61.03s, 14.20%
	,Logging time, 0.50s, 0.12%
	,Writing time, 0.00s, 0.00%
Iter:0, train:10.61s, eval:95%, ask:2%, tell:4%
Iter:1, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:2, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:3, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:4, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:5, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:6, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:7, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:8, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:9, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:10, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:11, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:12, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:13, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:14, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:15, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:16, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:17, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:18, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:19, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:20, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:21, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:22, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:23, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:24, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:25, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:26, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:27, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:28, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:29, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:30, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:31, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:32, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:33, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:34, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:35, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:36, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:37, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:38, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:39, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:40, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:41, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:42, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:43, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:44, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:45, train:1.19s, eval:100%, ask:0%, tell:0%
Iter:46, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:47, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:48, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:49, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:50, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:51, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:52, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:53, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:54, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:55, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:56, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:57, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:58, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:59, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:60, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:61, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:62, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:63, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:64, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:65, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:66, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:67, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:68, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:69, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:70, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:71, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:72, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:73, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:74, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:75, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:76, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:77, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:78, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:79, train:1.20s, eval:100%, ask:0%, tell:0%
Iter:80, train:1.20s, eval:100%, ask:0%, tell:0%
