Iter:0, max:2109.25732421875, mean:441.4835205078125, min:175.09127807617188, std:269.771484375
Iter:1, max:967.1842651367188, mean:384.3517761230469, min:222.02647399902344, std:122.19464111328125
Iter:2, max:865.4862060546875, mean:391.54754638671875, min:231.03199768066406, std:111.6104507446289
Iter:3, max:959.39990234375, mean:390.73291015625, min:221.96221923828125, std:114.52388000488281
Iter:4, max:949.6055908203125, mean:378.41571044921875, min:212.38497924804688, std:111.06260681152344
Iter:5, max:903.3843383789062, mean:388.85589599609375, min:221.65220642089844, std:111.91940307617188
Iter:6, max:1118.253662109375, mean:391.69647216796875, min:212.6923370361328, std:124.81048583984375
Iter:7, max:1160.5006103515625, mean:391.9889831542969, min:221.91481018066406, std:111.09115600585938
Iter:8, max:929.76318359375, mean:393.6616516113281, min:212.29580688476562, std:110.40802001953125
Iter:9, max:1297.5941162109375, mean:404.3033752441406, min:212.56787109375, std:132.3664093017578
Iter:10, max:1127.30712890625, mean:399.10382080078125, min:194.01319885253906, std:123.73751831054688
Iter:11, max:1128.0711669921875, mean:424.366455078125, min:212.34983825683594, std:136.05738830566406
Iter:12, max:1117.805419921875, mean:431.90283203125, min:231.34561157226562, std:139.94964599609375
Iter:13, max:1116.7132568359375, mean:440.1017761230469, min:221.95179748535156, std:127.72366333007812
Iter:14, max:1884.8814697265625, mean:474.03460693359375, min:258.78564453125, std:167.77816772460938
Iter:15, max:1262.6708984375, mean:504.0131530761719, min:240.37721252441406, std:159.72537231445312
Iter:16, max:1374.724609375, mean:528.0107421875, min:277.4496154785156, std:159.62567138671875
Iter:17, max:1428.511474609375, mean:559.6268920898438, min:268.0560302734375, std:166.06373596191406
Iter:18, max:1408.906005859375, mean:561.761962890625, min:295.6364440917969, std:170.47462463378906
Iter:19, max:1398.482177734375, mean:606.61669921875, min:295.71453857421875, std:174.07000732421875
Iter:20, max:1530.2828369140625, mean:675.4033203125, min:388.25347900390625, std:189.09335327148438
Iter:21, max:1838.896240234375, mean:679.453125, min:369.84515380859375, std:205.2362518310547
Iter:22, max:1621.1353759765625, mean:716.8970336914062, min:370.0287170410156, std:193.12496948242188
Iter:23, max:1604.7314453125, mean:757.5111083984375, min:407.0084228515625, std:194.78468322753906
Iter:24, max:1586.7086181640625, mean:768.250732421875, min:360.67938232421875, std:184.2551727294922
Iter:25, max:1593.8370361328125, mean:799.6104125976562, min:434.08990478515625, std:200.2928924560547
Iter:26, max:1766.199951171875, mean:825.6776123046875, min:479.7998352050781, std:191.25738525390625
Iter:27, max:1873.9952392578125, mean:836.5989990234375, min:460.8003234863281, std:191.52500915527344
Iter:28, max:1522.5150146484375, mean:865.8565673828125, min:488.77203369140625, std:165.72506713867188
Iter:29, max:1687.4111328125, mean:882.0850219726562, min:565.1817016601562, std:171.81082153320312
Iter:30, max:1738.583740234375, mean:912.822021484375, min:546.434814453125, std:173.30621337890625
Iter:31, max:1743.2679443359375, mean:920.512451171875, min:592.571533203125, std:164.56907653808594
Iter:32, max:2294.660400390625, mean:953.947509765625, min:555.7645263671875, std:211.3483123779297
Iter:33, max:2100.062255859375, mean:985.1839599609375, min:618.390380859375, std:236.87432861328125
Iter:34, max:1600.26123046875, mean:1005.3485717773438, min:619.9058837890625, std:162.673583984375
Iter:35, max:1479.830322265625, mean:953.470458984375, min:583.0919189453125, std:139.2764434814453
Iter:36, max:1425.478759765625, mean:935.8037109375, min:629.6296997070312, std:116.30525970458984
Iter:37, max:1965.208984375, mean:1053.7034912109375, min:609.5274658203125, std:229.4423065185547
Iter:38, max:1553.577880859375, mean:896.8978881835938, min:610.8408203125, std:114.70556640625
Iter:39, max:1863.351318359375, mean:1040.7950439453125, min:618.859375, std:182.4542999267578
Iter:40, max:1340.8206787109375, mean:849.63818359375, min:582.0260620117188, std:104.41358184814453
Iter:41, max:1298.010009765625, mean:914.5494384765625, min:608.8544921875, std:114.96080780029297
Iter:42, max:1228.38671875, mean:877.0985107421875, min:609.6635131835938, std:94.15013885498047
Iter:43, max:1226.0235595703125, mean:955.880615234375, min:637.6019897460938, std:105.57368469238281
Iter:44, max:2427.46240234375, mean:1089.7919921875, min:670.8724365234375, std:193.53634643554688
Iter:45, max:1694.794189453125, mean:988.2115478515625, min:760.790771484375, std:125.25346374511719
Iter:46, max:1949.798583984375, mean:1049.936767578125, min:762.1580810546875, std:151.7865753173828
Iter:47, max:1738.6776123046875, mean:1008.1635131835938, min:727.1618041992188, std:152.10470581054688
Iter:48, max:1732.40283203125, mean:1086.2783203125, min:831.170166015625, std:156.5404510498047
Iter:49, max:1031.64013671875, mean:866.681640625, min:738.3577270507812, std:64.96981811523438
Iter:50, max:2018.1038818359375, mean:1071.9998779296875, min:811.510498046875, std:187.40150451660156
Iter:51, max:2106.833984375, mean:1088.7208251953125, min:753.46728515625, std:247.6926727294922
Iter:52, max:1553.478515625, mean:1000.0113525390625, min:828.9083251953125, std:100.46940612792969
Iter:53, max:1985.88818359375, mean:1124.397216796875, min:759.502685546875, std:240.79132080078125
Iter:54, max:1139.6300048828125, mean:917.3919677734375, min:746.880859375, std:95.16769409179688
Iter:55, max:1930.8509521484375, mean:1055.201416015625, min:777.3372802734375, std:184.29757690429688
Iter:56, max:1740.237548828125, mean:1095.47705078125, min:803.561279296875, std:164.5959014892578
Iter:57, max:1784.9993896484375, mean:973.1004638671875, min:812.7108154296875, std:134.5679473876953
Iter:58, max:1693.107666015625, mean:1068.529541015625, min:831.344970703125, std:154.6338348388672
Iter:59, max:2028.732421875, mean:1069.8414306640625, min:828.5580444335938, std:160.31710815429688
Iter:60, max:1980.633544921875, mean:1123.0400390625, min:796.4297485351562, std:181.35977172851562
Iter:61, max:1865.5484619140625, mean:1053.493896484375, min:810.5763549804688, std:157.2873992919922
Iter:62, max:1786.849609375, mean:1152.622802734375, min:771.783447265625, std:192.1669921875
Iter:63, max:1801.849853515625, mean:1020.5589599609375, min:750.9240112304688, std:148.5036163330078
Iter:64, max:1892.486083984375, mean:1142.55029296875, min:776.2761840820312, std:185.0890655517578
Iter:65, max:1920.478759765625, mean:1115.548828125, min:779.3212280273438, std:208.93698120117188
Iter:66, max:2103.715576171875, mean:1120.9603271484375, min:759.435791015625, std:205.23245239257812
Iter:67, max:2110.9599609375, mean:1178.373779296875, min:786.236572265625, std:194.82569885253906
Iter:68, max:1283.2518310546875, mean:941.2308349609375, min:753.0280151367188, std:88.00157165527344
Iter:69, max:1886.817626953125, mean:1230.3370361328125, min:788.9476318359375, std:184.68405151367188
Iter:70, max:2152.02197265625, mean:1224.7296142578125, min:816.708251953125, std:193.36695861816406
