Iter:0, max:1374.0147705078125, mean:373.84686279296875, min:138.19674682617188, std:226.99087524414062
Iter:1, max:920.7972412109375, mean:370.95123291015625, min:212.51693725585938, std:108.84620666503906
Iter:2, max:930.2901611328125, mean:377.8924865722656, min:221.94024658203125, std:100.95437622070312
Iter:3, max:1222.98291015625, mean:382.14410400390625, min:212.40281677246094, std:124.1799087524414
Iter:4, max:1070.47705078125, mean:369.3836669921875, min:194.10203552246094, std:109.19878387451172
Iter:5, max:959.7113037109375, mean:382.6313171386719, min:203.17918395996094, std:117.79155731201172
Iter:6, max:949.7308349609375, mean:380.67919921875, min:203.3589324951172, std:126.19732666015625
Iter:7, max:1090.00439453125, mean:376.97479248046875, min:184.5802459716797, std:118.59527587890625
Iter:8, max:1231.1324462890625, mean:384.20672607421875, min:203.23744201660156, std:139.0551300048828
Iter:9, max:975.5665283203125, mean:376.10040283203125, min:184.7408447265625, std:131.4951629638672
Iter:10, max:1075.0909423828125, mean:376.11151123046875, min:193.90267944335938, std:124.79380798339844
Iter:11, max:1122.1705322265625, mean:410.82403564453125, min:203.23883056640625, std:147.56919860839844
Iter:12, max:1375.4500732421875, mean:417.3184509277344, min:175.18917846679688, std:165.2377471923828
Iter:13, max:1330.906494140625, mean:432.5125427246094, min:184.81443786621094, std:165.84274291992188
Iter:14, max:1095.91845703125, mean:448.46728515625, min:212.6645965576172, std:161.7908935546875
Iter:15, max:1296.0057373046875, mean:484.84869384765625, min:212.45999145507812, std:180.2483673095703
Iter:16, max:1492.9017333984375, mean:518.711181640625, min:203.39588928222656, std:202.62388610839844
Iter:17, max:1277.6693115234375, mean:552.7437744140625, min:212.67251586914062, std:189.92430114746094
Iter:18, max:1633.7301025390625, mean:584.8694458007812, min:231.23561096191406, std:210.5989990234375
Iter:19, max:1304.21826171875, mean:639.7422485351562, min:249.61683654785156, std:186.57131958007812
Iter:20, max:1815.5076904296875, mean:685.4605712890625, min:258.90283203125, std:220.8863983154297
Iter:21, max:1604.1536865234375, mean:699.6344604492188, min:295.9209289550781, std:203.494384765625
Iter:22, max:1481.804443359375, mean:742.212890625, min:323.73480224609375, std:189.98590087890625
Iter:23, max:1836.6376953125, mean:791.0750732421875, min:277.4207763671875, std:242.99095153808594
Iter:24, max:1884.316162109375, mean:797.721435546875, min:314.0111389160156, std:217.09182739257812
Iter:25, max:2144.74853515625, mean:898.63916015625, min:444.0859375, std:250.7726287841797
Iter:26, max:1776.0625, mean:890.94189453125, min:479.0143127441406, std:188.63223266601562
Iter:27, max:1942.419677734375, mean:955.739990234375, min:526.3946533203125, std:196.97654724121094
Iter:28, max:1727.455810546875, mean:906.0739135742188, min:499.7040100097656, std:156.70404052734375
Iter:29, max:1688.6107177734375, mean:924.4097900390625, min:490.02679443359375, std:159.56698608398438
Iter:30, max:2040.7340087890625, mean:939.3642578125, min:435.6260681152344, std:167.9262237548828
Iter:31, max:1757.49462890625, mean:887.8818359375, min:573.9901733398438, std:134.59359741210938
Iter:32, max:2046.4791259765625, mean:1034.0701904296875, min:633.7134399414062, std:192.42483520507812
Iter:33, max:1846.925537109375, mean:1014.3954467773438, min:626.15966796875, std:185.59530639648438
Iter:34, max:1865.0975341796875, mean:1037.925048828125, min:671.0115356445312, std:191.7947540283203
Iter:35, max:1817.1754150390625, mean:1033.95556640625, min:654.9205932617188, std:196.0957489013672
Iter:36, max:2017.024169921875, mean:1024.478271484375, min:647.0563354492188, std:191.75241088867188
Iter:37, max:1749.4359130859375, mean:1015.410888671875, min:741.2266235351562, std:170.4725799560547
Iter:38, max:1875.312255859375, mean:1035.0673828125, min:652.913330078125, std:171.0279998779297
Iter:39, max:1764.3385009765625, mean:965.5098266601562, min:689.8267822265625, std:168.1467742919922
Iter:40, max:1944.99169921875, mean:1037.31494140625, min:670.7496337890625, std:166.03598022460938
Iter:41, max:1924.2337646484375, mean:1039.634033203125, min:668.6206665039062, std:178.66854858398438
Iter:42, max:1897.0997314453125, mean:1055.950927734375, min:742.2787475585938, std:170.0244140625
Iter:43, max:1752.27294921875, mean:1080.27099609375, min:756.6563720703125, std:183.94595336914062
Iter:44, max:1930.2147216796875, mean:1050.2724609375, min:677.8884887695312, std:215.6695556640625
Iter:45, max:1213.17138671875, mean:871.9974365234375, min:669.3436279296875, std:78.92822265625
Iter:46, max:1658.2110595703125, mean:929.1170654296875, min:668.298828125, std:120.42823028564453
Iter:47, max:1954.3807373046875, mean:1114.822998046875, min:686.178955078125, std:189.23074340820312
Iter:48, max:2015.935302734375, mean:1048.916748046875, min:677.3974609375, std:208.3203125
Iter:49, max:2119.646240234375, mean:1062.765380859375, min:757.6524047851562, std:178.67514038085938
Iter:50, max:2395.155517578125, mean:1142.94873046875, min:705.1672973632812, std:237.60324096679688
Iter:51, max:2580.528564453125, mean:1164.1513671875, min:677.524658203125, std:238.4148406982422
Iter:52, max:1156.0721435546875, mean:913.8999633789062, min:625.4227294921875, std:92.93180847167969
Iter:53, max:2387.3740234375, mean:1207.5731201171875, min:731.7373657226562, std:217.7213592529297
Iter:54, max:2209.4267578125, mean:1167.9039306640625, min:768.5277709960938, std:205.91123962402344
Iter:55, max:2139.426025390625, mean:1205.4375, min:729.8804321289062, std:205.96250915527344
Iter:56, max:2182.886474609375, mean:1262.8289794921875, min:758.8796997070312, std:267.25164794921875
Iter:57, max:1406.734619140625, mean:987.760498046875, min:714.0414428710938, std:92.91999053955078
Iter:58, max:2903.87548828125, mean:1241.92626953125, min:821.1812133789062, std:252.0876922607422
Iter:59, max:2282.621826171875, mean:1252.679443359375, min:786.5689086914062, std:251.1793212890625
Iter:60, max:2806.774658203125, mean:1328.820556640625, min:822.5145263671875, std:267.55078125
Iter:61, max:2386.79541015625, mean:1203.3193359375, min:825.5006103515625, std:227.90586853027344
Iter:62, max:3044.82275390625, mean:1419.498779296875, min:850.2325439453125, std:261.5277404785156
Iter:63, max:3136.08203125, mean:1297.957275390625, min:936.0531005859375, std:209.2743682861328
