Iter:0, max:1808.4537353515625, mean:365.23199462890625, min:110.17289733886719, std:292.3265686035156
Iter:1, max:1051.558349609375, mean:343.621826171875, min:156.9530792236328, std:130.6200408935547
Iter:2, max:1202.1119384765625, mean:354.32513427734375, min:166.24249267578125, std:144.73377990722656
Iter:3, max:1031.7362060546875, mean:356.53753662109375, min:166.2126007080078, std:140.28163146972656
Iter:4, max:1155.18896484375, mean:357.32489013671875, min:165.9787139892578, std:160.1398162841797
Iter:5, max:1187.3375244140625, mean:371.00531005859375, min:147.53094482421875, std:176.8829345703125
Iter:6, max:1096.0419921875, mean:396.55316162109375, min:147.67135620117188, std:175.09506225585938
Iter:7, max:1437.2532958984375, mean:464.47894287109375, min:156.72140502929688, std:230.80162048339844
Iter:8, max:1370.99072265625, mean:528.1843872070312, min:156.53599548339844, std:229.8137664794922
Iter:9, max:1444.81787109375, mean:594.78466796875, min:184.75514221191406, std:226.60836791992188
Iter:10, max:1849.792724609375, mean:708.9747314453125, min:221.17913818359375, std:273.2303161621094
Iter:11, max:1717.88134765625, mean:729.0067138671875, min:175.1259307861328, std:199.49929809570312
Iter:12, max:1958.1640625, mean:865.876953125, min:359.51678466796875, std:253.1496124267578
Iter:13, max:2048.839599609375, mean:914.0186767578125, min:396.03436279296875, std:233.9960174560547
Iter:14, max:1913.5460205078125, mean:885.791015625, min:398.1063537597656, std:175.55516052246094
Iter:15, max:1813.7845458984375, mean:972.0314331054688, min:451.87030029296875, std:204.73342895507812
Iter:16, max:1805.0467529296875, mean:990.6732177734375, min:614.7255249023438, std:195.15988159179688
Iter:17, max:1907.2366943359375, mean:993.9605712890625, min:607.2929077148438, std:204.97227478027344
Iter:18, max:1798.48828125, mean:1011.2596435546875, min:614.650390625, std:190.62115478515625
Iter:19, max:1698.3533935546875, mean:979.7315673828125, min:667.503173828125, std:169.9656524658203
Iter:20, max:2016.19580078125, mean:1047.600830078125, min:677.8192749023438, std:199.89784240722656
Iter:21, max:1795.1588134765625, mean:1062.59423828125, min:720.0884399414062, std:187.37644958496094
Iter:22, max:1974.2452392578125, mean:1096.468505859375, min:737.0155029296875, std:189.4999542236328
Iter:23, max:2018.5859375, mean:1155.5621337890625, min:738.673095703125, std:209.22767639160156
Iter:24, max:1848.149169921875, mean:1204.1029052734375, min:792.8394775390625, std:205.5095672607422
Iter:25, max:2266.16845703125, mean:1252.6171875, min:787.1654052734375, std:236.1979522705078
Iter:26, max:2059.63330078125, mean:1205.61474609375, min:771.7738647460938, std:194.1761474609375
Iter:27, max:2696.29541015625, mean:1330.6650390625, min:817.1640625, std:264.51171875
Iter:28, max:2372.022216796875, mean:1240.594970703125, min:774.2998657226562, std:203.55653381347656
Iter:29, max:2265.252685546875, mean:1285.3153076171875, min:834.4785766601562, std:233.2770233154297
Iter:30, max:2472.984130859375, mean:1285.73681640625, min:783.4837036132812, std:242.62693786621094
Iter:31, max:2657.51806640625, mean:1276.3319091796875, min:803.2200927734375, std:247.12208557128906
Iter:32, max:3193.784423828125, mean:1392.8157958984375, min:666.4971313476562, std:367.99114990234375
Iter:33, max:2815.021240234375, mean:1341.600830078125, min:762.7425537109375, std:323.12567138671875
Iter:34, max:2736.7431640625, mean:1369.6466064453125, min:499.86468505859375, std:347.0013732910156
Iter:35, max:3094.87841796875, mean:1388.9898681640625, min:494.65533447265625, std:328.2555236816406
Iter:36, max:3753.432861328125, mean:1405.2222900390625, min:628.7427368164062, std:362.46466064453125
Iter:37, max:3588.873291015625, mean:1518.889404296875, min:490.5235290527344, std:397.9640808105469
Iter:38, max:3338.863037109375, mean:1452.81494140625, min:533.9246215820312, std:343.2092590332031
Iter:39, max:2944.17626953125, mean:1464.3380126953125, min:580.9329223632812, std:350.812255859375
Iter:40, max:3020.978759765625, mean:1383.49755859375, min:496.1949768066406, std:344.3719482421875
Iter:41, max:3333.1328125, mean:1530.8525390625, min:509.0040588378906, std:358.2314147949219
Iter:42, max:3067.19970703125, mean:1421.0235595703125, min:517.9124755859375, std:332.58502197265625
Iter:43, max:3498.765380859375, mean:1632.535888671875, min:535.8844604492188, std:436.54132080078125
Iter:44, max:3563.8017578125, mean:1676.42578125, min:536.28515625, std:448.3626708984375
Iter:45, max:4183.57470703125, mean:1593.11767578125, min:650.2261352539062, std:402.6090393066406
Iter:46, max:3628.796142578125, mean:1709.981201171875, min:562.281005859375, std:451.1067199707031
