Iter:0, max:1721.7232666015625, mean:435.0003356933594, min:175.3971710205078, std:241.4567108154297
Iter:1, max:948.6116333007812, mean:381.60333251953125, min:221.8419647216797, std:114.557373046875
Iter:2, max:1126.7974853515625, mean:392.0466003417969, min:231.08389282226562, std:117.68672943115234
Iter:3, max:941.0245971679688, mean:391.70709228515625, min:231.09396362304688, std:113.98277282714844
Iter:4, max:1061.111083984375, mean:374.81231689453125, min:212.52439880371094, std:104.24154663085938
Iter:5, max:983.8431396484375, mean:385.961181640625, min:212.74386596679688, std:108.49481201171875
Iter:6, max:1024.9228515625, mean:382.46466064453125, min:212.7447052001953, std:113.0099105834961
Iter:7, max:1184.3115234375, mean:393.4833984375, min:221.66612243652344, std:122.43630981445312
Iter:8, max:845.8009033203125, mean:387.76898193359375, min:212.65872192382812, std:105.69326782226562
Iter:9, max:1421.0006103515625, mean:392.93017578125, min:212.59194946289062, std:123.55392456054688
Iter:10, max:1096.853759765625, mean:397.25494384765625, min:203.2982635498047, std:125.68367004394531
Iter:11, max:1352.91455078125, mean:415.8850402832031, min:194.16329956054688, std:131.98316955566406
Iter:12, max:1318.70703125, mean:423.3621826171875, min:240.4828643798828, std:139.15660095214844
Iter:13, max:1304.8487548828125, mean:437.107177734375, min:221.9054718017578, std:133.45896911621094
Iter:14, max:1120.2314453125, mean:461.0308532714844, min:258.7540588378906, std:144.3434600830078
Iter:15, max:1195.169189453125, mean:495.3872375488281, min:240.15679931640625, std:155.3601837158203
Iter:16, max:1387.9395751953125, mean:519.1697998046875, min:258.85693359375, std:157.05511474609375
Iter:17, max:1372.2752685546875, mean:552.5236206054688, min:268.20806884765625, std:165.7447052001953
Iter:18, max:1266.4296875, mean:556.0003051757812, min:277.0001525878906, std:164.69618225097656
Iter:19, max:1447.37646484375, mean:602.4146728515625, min:295.6395263671875, std:185.2816925048828
Iter:20, max:1535.627197265625, mean:670.7312622070312, min:369.7087097167969, std:202.8935546875
Iter:21, max:1340.928955078125, mean:678.1975708007812, min:360.85369873046875, std:183.70272827148438
Iter:22, max:1736.094482421875, mean:719.8030395507812, min:369.7084045410156, std:186.17276000976562
Iter:23, max:1496.1953125, mean:770.8526000976562, min:379.1343688964844, std:198.35020446777344
Iter:24, max:1541.759765625, mean:771.4725341796875, min:360.5944519042969, std:203.09344482421875
Iter:25, max:1819.5467529296875, mean:807.967529296875, min:406.18341064453125, std:225.4225616455078
Iter:26, max:1521.576416015625, mean:814.168701171875, min:461.9878234863281, std:172.1480255126953
Iter:27, max:1444.814697265625, mean:830.4237060546875, min:513.9871826171875, std:174.76119995117188
Iter:28, max:1866.0908203125, mean:868.55712890625, min:488.5679931640625, std:175.7164764404297
Iter:29, max:1846.7783203125, mean:896.274169921875, min:588.5841674804688, std:177.82608032226562
Iter:30, max:1476.49755859375, mean:899.2028198242188, min:546.2030639648438, std:140.5221405029297
Iter:31, max:1688.8731689453125, mean:889.8428955078125, min:635.01171875, std:137.00350952148438
Iter:32, max:1900.983642578125, mean:1022.0501708984375, min:609.105224609375, std:223.8970489501953
Iter:33, max:1979.003662109375, mean:1038.48486328125, min:600.7041015625, std:214.8349151611328
Iter:34, max:2159.492431640625, mean:1032.706787109375, min:664.3834228515625, std:188.16317749023438
Iter:35, max:1896.3759765625, mean:959.989501953125, min:646.276123046875, std:149.9297637939453
Iter:36, max:1359.79736328125, mean:929.4078369140625, min:629.037353515625, std:102.59095001220703
Iter:37, max:2060.836181640625, mean:1033.3443603515625, min:626.724853515625, std:224.72555541992188
Iter:38, max:1709.5572509765625, mean:899.9069213867188, min:616.5081176757812, std:128.5634307861328
Iter:39, max:1781.13427734375, mean:1020.83203125, min:645.2260131835938, std:189.50547790527344
Iter:40, max:1156.785888671875, mean:841.3753662109375, min:590.1393432617188, std:110.99365997314453
Iter:41, max:2125.534912109375, mean:944.4990234375, min:624.9791259765625, std:189.34881591796875
Iter:42, max:1259.4417724609375, mean:891.7354736328125, min:643.6983642578125, std:116.90311431884766
Iter:43, max:2100.94091796875, mean:1047.99072265625, min:646.0213623046875, std:211.43692016601562
Iter:44, max:1882.815185546875, mean:1048.708740234375, min:734.7579956054688, std:163.859375
Iter:45, max:1738.4732666015625, mean:949.9179077148438, min:757.1617431640625, std:141.15878295898438
Iter:46, max:1667.2745361328125, mean:989.315673828125, min:783.1322021484375, std:154.62139892578125
Iter:47, max:1911.700927734375, mean:1114.021240234375, min:751.7595825195312, std:214.01536560058594
Iter:48, max:1699.039306640625, mean:1017.7390747070312, min:813.3779907226562, std:132.36007690429688
Iter:49, max:1078.7781982421875, mean:892.0921630859375, min:730.97265625, std:81.71746826171875
Iter:50, max:1690.98095703125, mean:1006.0733642578125, min:794.8231201171875, std:145.22947692871094
Iter:51, max:1812.6395263671875, mean:1001.471923828125, min:784.6468505859375, std:173.15036010742188
Iter:52, max:1869.6278076171875, mean:1086.0570068359375, min:786.120361328125, std:176.42050170898438
Iter:53, max:1689.037841796875, mean:989.9217529296875, min:732.9540405273438, std:167.77017211914062
Iter:54, max:1473.0068359375, mean:879.714111328125, min:720.7069702148438, std:120.92398071289062
Iter:55, max:1886.2144775390625, mean:968.6389770507812, min:732.7603149414062, std:202.41842651367188
Iter:56, max:1626.06201171875, mean:996.94970703125, min:759.091552734375, std:160.9964599609375
Iter:57, max:1634.789306640625, mean:1018.4146118164062, min:784.7683715820312, std:158.82400512695312
Iter:58, max:1717.1995849609375, mean:1028.916015625, min:814.9583740234375, std:143.85211181640625
Iter:59, max:2206.75, mean:1040.591552734375, min:787.0238647460938, std:153.45787048339844
Iter:60, max:1707.5421142578125, mean:1039.600830078125, min:812.948486328125, std:135.58047485351562
Iter:61, max:1993.6185302734375, mean:1041.7847900390625, min:802.3162841796875, std:176.5966339111328
Iter:62, max:2085.128173828125, mean:1089.7802734375, min:788.235595703125, std:169.9256134033203
Iter:63, max:2132.28662109375, mean:1122.557373046875, min:759.724853515625, std:213.85723876953125
Iter:64, max:1631.66015625, mean:1012.7766723632812, min:810.0750732421875, std:121.02714538574219
Iter:65, max:1847.2777099609375, mean:1203.146484375, min:789.1819458007812, std:221.19583129882812
Iter:66, max:1873.64306640625, mean:1173.02294921875, min:849.466064453125, std:140.54127502441406
Iter:67, max:1892.8223876953125, mean:1061.76513671875, min:839.7827758789062, std:119.92044830322266
Iter:68, max:2261.998291015625, mean:1055.385498046875, min:798.6705932617188, std:114.71263122558594
Iter:69, max:1928.865478515625, mean:1213.53173828125, min:878.464599609375, std:133.28604125976562
Iter:70, max:1975.1810302734375, mean:1149.096923828125, min:849.379150390625, std:135.96591186523438
Iter:71, max:2188.42529296875, mean:1296.505126953125, min:842.51611328125, std:240.79473876953125
Iter:72, max:2228.829345703125, mean:1236.18212890625, min:928.0631103515625, std:176.66204833984375
Iter:73, max:2202.6962890625, mean:1197.1219482421875, min:843.9890747070312, std:240.64892578125
Iter:74, max:2073.97802734375, mean:1216.599365234375, min:882.0848388671875, std:222.98611450195312
Iter:75, max:1641.819091796875, mean:1079.339599609375, min:817.807373046875, std:114.91277313232422
Iter:76, max:2346.391845703125, mean:1221.0447998046875, min:826.7017822265625, std:235.29513549804688
