Iter:0, max:1821.5908203125, mean:398.7532653808594, min:137.9296417236328, std:269.04681396484375
Iter:1, max:1038.6300048828125, mean:358.53216552734375, min:194.1860809326172, std:113.37752532958984
Iter:2, max:1035.5626220703125, mean:372.3360595703125, min:184.82284545898438, std:121.22053527832031
Iter:3, max:969.5657348632812, mean:371.4620361328125, min:203.10910034179688, std:124.39771270751953
Iter:4, max:1014.5679931640625, mean:366.01776123046875, min:184.75845336914062, std:125.8392105102539
Iter:5, max:1087.7147216796875, mean:379.17022705078125, min:193.84478759765625, std:138.045654296875
Iter:6, max:1024.8758544921875, mean:398.61505126953125, min:175.56053161621094, std:153.5153350830078
Iter:7, max:1348.91796875, mean:426.9658203125, min:175.4961395263672, std:176.8645477294922
Iter:8, max:1805.9505615234375, mean:480.21173095703125, min:193.8874969482422, std:209.8290252685547
Iter:9, max:1585.8028564453125, mean:539.9398803710938, min:203.19085693359375, std:215.3342742919922
Iter:10, max:1749.05908203125, mean:587.299072265625, min:221.5829620361328, std:247.2738800048828
Iter:11, max:1351.2724609375, mean:651.1851806640625, min:203.01380920410156, std:194.15603637695312
Iter:12, max:1841.63916015625, mean:741.8160400390625, min:285.744140625, std:230.68878173828125
Iter:13, max:1818.373291015625, mean:836.212646484375, min:332.3187255859375, std:241.37350463867188
Iter:14, max:1659.0631103515625, mean:842.6668701171875, min:443.0400390625, std:180.02984619140625
Iter:15, max:1871.125, mean:959.3363647460938, min:471.1252746582031, std:226.07594299316406
Iter:16, max:1946.9368896484375, mean:995.6259155273438, min:535.4616088867188, std:221.6083526611328
Iter:17, max:1819.936279296875, mean:961.766357421875, min:552.85205078125, std:193.10787963867188
Iter:18, max:1763.9757080078125, mean:980.8010864257812, min:534.519287109375, std:205.9956817626953
Iter:19, max:1979.5133056640625, mean:890.3751831054688, min:591.2891845703125, std:149.5338897705078
Iter:20, max:1947.4656982421875, mean:995.7190551757812, min:696.7469482421875, std:174.11349487304688
Iter:21, max:1814.5843505859375, mean:1029.51123046875, min:625.3189697265625, std:209.70343017578125
Iter:22, max:2026.922119140625, mean:1005.1703491210938, min:641.7727661132812, std:197.97755432128906
Iter:23, max:1888.288818359375, mean:1010.2257080078125, min:667.6895141601562, std:175.895751953125
Iter:24, max:1970.3040771484375, mean:1022.240478515625, min:669.7880249023438, std:192.69837951660156
Iter:25, max:2050.72998046875, mean:1016.8642578125, min:704.9730224609375, std:177.26112365722656
Iter:26, max:1732.951904296875, mean:984.8184814453125, min:711.2797241210938, std:178.2015380859375
Iter:27, max:1782.7076416015625, mean:1016.6046142578125, min:739.2295532226562, std:173.0633087158203
Iter:28, max:1769.353515625, mean:1006.8335571289062, min:729.066650390625, std:175.7785186767578
Iter:29, max:1687.223388671875, mean:1059.8580322265625, min:703.7319946289062, std:184.6033477783203
Iter:30, max:1649.5146484375, mean:1084.9169921875, min:759.483154296875, std:185.9485626220703
Iter:31, max:1676.5562744140625, mean:1001.466552734375, min:714.1854248046875, std:119.79041290283203
Iter:32, max:1861.6788330078125, mean:1143.681640625, min:757.440673828125, std:166.8261260986328
Iter:33, max:2383.0419921875, mean:1160.1260986328125, min:764.8350219726562, std:198.05911254882812
Iter:34, max:1977.6658935546875, mean:1188.646240234375, min:739.6344604492188, std:219.74896240234375
Iter:35, max:2095.3017578125, mean:1158.166259765625, min:768.236083984375, std:215.31967163085938
