Iter:0, max:2136.095947265625, mean:401.23297119140625, min:137.97352600097656, std:285.05572509765625
Iter:1, max:844.4006958007812, mean:358.2310485839844, min:203.30239868164062, std:105.43077087402344
Iter:2, max:1693.40380859375, mean:376.2266845703125, min:193.8519287109375, std:141.1260223388672
Iter:3, max:1005.4412231445312, mean:380.6478576660156, min:203.11495971679688, std:132.0879669189453
Iter:4, max:1014.37353515625, mean:362.1865234375, min:184.74862670898438, std:119.59652709960938
Iter:5, max:1138.203125, mean:373.77685546875, min:175.12960815429688, std:136.63348388671875
Iter:6, max:1385.0235595703125, mean:380.9131774902344, min:184.40228271484375, std:152.704345703125
Iter:7, max:1127.8558349609375, mean:397.5992126464844, min:184.67471313476562, std:154.79197692871094
Iter:8, max:1622.281982421875, mean:412.99578857421875, min:166.12997436523438, std:187.0000457763672
Iter:9, max:1240.35595703125, mean:425.01458740234375, min:193.83424377441406, std:175.9405975341797
Iter:10, max:1135.14306640625, mean:425.04705810546875, min:166.234130859375, std:169.0177459716797
Iter:11, max:1209.8558349609375, mean:456.9432678222656, min:175.3606414794922, std:178.28662109375
Iter:12, max:1239.468505859375, mean:476.50250244140625, min:184.6821746826172, std:191.9949188232422
Iter:13, max:1432.0928955078125, mean:519.2291259765625, min:166.0826416015625, std:214.1990203857422
Iter:14, max:1387.192138671875, mean:541.375, min:193.82571411132812, std:196.19703674316406
Iter:15, max:1323.1322021484375, mean:586.5768432617188, min:202.98728942871094, std:205.11264038085938
Iter:16, max:1710.735107421875, mean:650.064453125, min:221.53504943847656, std:253.05784606933594
Iter:17, max:1781.7874755859375, mean:665.9420166015625, min:212.39442443847656, std:220.99024963378906
Iter:18, max:1651.5394287109375, mean:738.2570190429688, min:230.56378173828125, std:251.3396759033203
Iter:19, max:1560.473876953125, mean:724.8665771484375, min:249.09292602539062, std:186.158447265625
Iter:20, max:1818.697021484375, mean:841.392333984375, min:230.27667236328125, std:252.93582153320312
Iter:21, max:1492.68359375, mean:807.4827880859375, min:350.6981506347656, std:181.4199981689453
Iter:22, max:1584.0054931640625, mean:818.1495361328125, min:388.012939453125, std:177.30116271972656
Iter:23, max:1981.2271728515625, mean:927.882080078125, min:467.02618408203125, std:220.72874450683594
Iter:24, max:1532.8631591796875, mean:894.4444580078125, min:522.7893676757812, std:182.27642822265625
Iter:25, max:2098.537109375, mean:940.0131225585938, min:452.2960510253906, std:193.6603240966797
Iter:26, max:1450.67041015625, mean:889.183349609375, min:433.8528747558594, std:163.6686553955078
Iter:27, max:1669.64990234375, mean:949.341552734375, min:536.0980224609375, std:182.68588256835938
Iter:28, max:1731.830078125, mean:896.74169921875, min:543.2322387695312, std:161.50074768066406
Iter:29, max:1827.67431640625, mean:912.1063842773438, min:624.61328125, std:173.57989501953125
