Iter:0, max:2569.5810546875, mean:442.7835693359375, min:175.09127807617188, std:276.3046875
Iter:1, max:985.71337890625, mean:383.2207336425781, min:222.05628967285156, std:118.72727966308594
Iter:2, max:1146.2669677734375, mean:392.2815246582031, min:231.09234619140625, std:117.02009582519531
Iter:3, max:986.8721313476562, mean:391.712890625, min:231.10621643066406, std:116.48091125488281
Iter:4, max:845.9183959960938, mean:373.8317565917969, min:212.48236083984375, std:101.35748291015625
Iter:5, max:1120.806884765625, mean:383.1924133300781, min:203.39004516601562, std:115.04071807861328
Iter:6, max:1006.270751953125, mean:377.6265869140625, min:212.6360321044922, std:113.65421295166016
Iter:7, max:1146.1702880859375, mean:384.45684814453125, min:221.7345428466797, std:111.51214599609375
Iter:8, max:893.0560913085938, mean:390.3421936035156, min:212.55821228027344, std:114.61244201660156
Iter:9, max:960.3126220703125, mean:381.8076171875, min:203.432373046875, std:117.11144256591797
Iter:10, max:1756.1600341796875, mean:390.91656494140625, min:203.13204956054688, std:140.00244140625
Iter:11, max:1317.52099609375, mean:389.229248046875, min:212.5576934814453, std:122.77069091796875
Iter:12, max:908.9588012695312, mean:385.5615234375, min:212.37648010253906, std:120.44072723388672
Iter:13, max:1521.4515380859375, mean:397.8023376464844, min:212.56227111816406, std:129.1946563720703
Iter:14, max:1023.0634765625, mean:404.47418212890625, min:212.49929809570312, std:135.6922149658203
Iter:15, max:1164.5972900390625, mean:408.300537109375, min:203.0584259033203, std:126.63155364990234
Iter:16, max:1360.434326171875, mean:429.96697998046875, min:212.70416259765625, std:152.59622192382812
Iter:17, max:1306.3687744140625, mean:443.49298095703125, min:212.5887451171875, std:148.39207458496094
Iter:18, max:1183.6510009765625, mean:455.0522155761719, min:221.8896026611328, std:154.3144989013672
Iter:19, max:1227.6007080078125, mean:470.97998046875, min:240.4149932861328, std:151.22860717773438
Iter:20, max:1206.720458984375, mean:499.26422119140625, min:221.64781188964844, std:162.148193359375
Iter:21, max:1116.2288818359375, mean:503.6197509765625, min:221.9110565185547, std:170.6617431640625
Iter:22, max:1244.749267578125, mean:514.7114868164062, min:194.1819305419922, std:169.98939514160156
Iter:23, max:1464.4176025390625, mean:547.2593994140625, min:249.4921417236328, std:185.09092712402344
Iter:24, max:1454.392578125, mean:568.9759521484375, min:258.76776123046875, std:179.75350952148438
