Iter:0, max:1530.00537109375, mean:374.3676452636719, min:138.19674682617188, std:228.85104370117188
Iter:1, max:930.5595092773438, mean:370.5198059082031, min:212.5005645751953, std:107.39234161376953
Iter:2, max:1071.8680419921875, mean:378.01043701171875, min:221.85140991210938, std:103.88275146484375
Iter:3, max:869.3233032226562, mean:382.140625, min:212.64418029785156, std:112.54253387451172
Iter:4, max:1222.2198486328125, mean:372.8619384765625, min:194.1126708984375, std:109.35637664794922
Iter:5, max:922.4073486328125, mean:380.6816711425781, min:203.1016387939453, std:113.06385040283203
Iter:6, max:1192.14306640625, mean:381.418701171875, min:203.06069946289062, std:126.74507141113281
Iter:7, max:1004.9542846679688, mean:372.201171875, min:184.8529052734375, std:108.80471801757812
Iter:8, max:1043.7535400390625, mean:378.01287841796875, min:203.03672790527344, std:125.13028717041016
Iter:9, max:1156.932861328125, mean:374.52197265625, min:175.57736206054688, std:138.9393310546875
Iter:10, max:838.2093505859375, mean:363.5924072265625, min:193.81369018554688, std:110.54645538330078
Iter:11, max:1033.6873779296875, mean:377.215087890625, min:193.8096160888672, std:129.28590393066406
Iter:12, max:990.4109497070312, mean:372.8430480957031, min:184.46621704101562, std:125.67691040039062
Iter:13, max:1147.6845703125, mean:375.9144592285156, min:175.4609832763672, std:130.00245666503906
Iter:14, max:1006.1227416992188, mean:365.82843017578125, min:194.1354522705078, std:122.54692077636719
Iter:15, max:914.9912109375, mean:383.4234619140625, min:184.6581268310547, std:124.63632202148438
Iter:16, max:1211.7159423828125, mean:384.9839782714844, min:193.73358154296875, std:138.90016174316406
Iter:17, max:1069.4283447265625, mean:391.3105773925781, min:175.2677001953125, std:130.65115356445312
Iter:18, max:1387.924072265625, mean:393.0843505859375, min:184.5863494873047, std:136.759765625
Iter:19, max:1266.7869873046875, mean:412.9496765136719, min:184.45709228515625, std:152.11904907226562
Iter:20, max:1082.3125, mean:402.8389892578125, min:184.7068328857422, std:140.08441162109375
Iter:21, max:1194.319091796875, mean:425.745849609375, min:193.98779296875, std:155.5389862060547
Iter:22, max:1052.9407958984375, mean:426.9250793457031, min:203.4439697265625, std:150.83743286132812
Iter:23, max:1369.3304443359375, mean:437.18316650390625, min:194.01986694335938, std:164.3311004638672
Iter:24, max:1174.1593017578125, mean:452.00262451171875, min:203.47280883789062, std:163.65740966796875
Iter:25, max:1255.8038330078125, mean:474.498291015625, min:203.4134979248047, std:167.88763427734375
Iter:26, max:1107.912109375, mean:481.41717529296875, min:221.51715087890625, std:176.13735961914062
Iter:27, max:1272.099853515625, mean:513.089599609375, min:203.23284912109375, std:193.8725128173828
Iter:28, max:1568.5733642578125, mean:529.0465087890625, min:193.69398498535156, std:188.99656677246094
Iter:29, max:1494.5758056640625, mean:542.7593383789062, min:212.59902954101562, std:194.6639404296875
Iter:30, max:1576.1898193359375, mean:563.7843017578125, min:239.9430694580078, std:186.03099060058594
Iter:31, max:1429.3262939453125, mean:582.2054443359375, min:221.72132873535156, std:184.55995178222656
Iter:32, max:1398.30908203125, mean:624.2706298828125, min:212.6714630126953, std:209.57876586914062
Iter:33, max:1426.470703125, mean:630.137939453125, min:258.7261962890625, std:221.4028778076172
Iter:34, max:1398.5751953125, mean:663.0279541015625, min:240.26454162597656, std:206.25758361816406
Iter:35, max:1424.7342529296875, mean:661.8031005859375, min:203.3019256591797, std:184.3721160888672
Iter:36, max:1568.1829833984375, mean:685.9115600585938, min:295.3202819824219, std:186.12176513671875
Iter:37, max:2053.337890625, mean:759.9634399414062, min:231.2138671875, std:247.07516479492188
Iter:38, max:1529.54150390625, mean:712.6690673828125, min:277.0718688964844, std:172.48974609375
Iter:39, max:1492.4595947265625, mean:782.95947265625, min:314.9803466796875, std:189.9834747314453
Iter:40, max:1376.027099609375, mean:730.1405029296875, min:342.1111145019531, std:152.99429321289062
Iter:41, max:1564.9381103515625, mean:777.3906860351562, min:340.196044921875, std:183.46595764160156
Iter:42, max:1456.6390380859375, mean:774.5909423828125, min:333.0486755371094, std:166.49365234375
Iter:43, max:1684.319091796875, mean:837.9825439453125, min:313.90533447265625, std:203.08912658691406
Iter:44, max:1540.7789306640625, mean:852.90380859375, min:296.3337707519531, std:208.77737426757812
Iter:45, max:1573.32568359375, mean:804.2377319335938, min:314.3820495605469, std:166.21347045898438
Iter:46, max:1617.8648681640625, mean:839.1612548828125, min:323.6607666015625, std:160.08090209960938
Iter:47, max:1823.281494140625, mean:902.2359008789062, min:416.30377197265625, std:221.80661010742188
Iter:48, max:1477.2874755859375, mean:882.664306640625, min:379.7682189941406, std:188.2251434326172
Iter:49, max:1530.3466796875, mean:818.1050415039062, min:416.78936767578125, std:134.42352294921875
Iter:50, max:1966.90234375, mean:947.3494873046875, min:444.71722412109375, std:213.6461181640625
Iter:51, max:1651.5120849609375, mean:981.038330078125, min:444.3626403808594, std:210.1392822265625
Iter:52, max:1379.9959716796875, mean:801.842041015625, min:462.8699035644531, std:117.07118225097656
Iter:53, max:1602.1871337890625, mean:985.95947265625, min:482.03033447265625, std:205.3207244873047
Iter:54, max:1522.4169921875, mean:915.665771484375, min:489.2123107910156, std:159.6276092529297
Iter:55, max:1805.3035888671875, mean:998.634765625, min:481.5816955566406, std:188.67054748535156
Iter:56, max:1798.5496826171875, mean:963.0235595703125, min:490.9434509277344, std:194.37452697753906
Iter:57, max:1762.8839111328125, mean:827.6558837890625, min:537.2063598632812, std:105.8282470703125
Iter:58, max:2208.956298828125, mean:916.1232299804688, min:491.1136169433594, std:167.47840881347656
Iter:59, max:1860.603759765625, mean:914.9409790039062, min:518.6236572265625, std:153.08187866210938
