Iter:0, max:1719.2418212890625, mean:363.8301086425781, min:110.17289733886719, std:286.71636962890625
Iter:1, max:1061.645751953125, mean:342.16314697265625, min:156.9344482421875, std:126.50210571289062
Iter:2, max:1360.9892578125, mean:353.68310546875, min:166.16641235351562, std:138.8221435546875
Iter:3, max:1035.0341796875, mean:370.15252685546875, min:175.44488525390625, std:153.09439086914062
Iter:4, max:1185.19140625, mean:368.8980712890625, min:156.68048095703125, std:162.12957763671875
Iter:5, max:1210.8193359375, mean:372.5107421875, min:166.22689819335938, std:176.50437927246094
Iter:6, max:1079.8314208984375, mean:373.658447265625, min:156.63211059570312, std:166.73509216308594
Iter:7, max:1486.36962890625, mean:391.15704345703125, min:147.5658721923828, std:175.55496215820312
Iter:8, max:1267.259765625, mean:402.80023193359375, min:156.59608459472656, std:182.7649383544922
Iter:9, max:1432.4005126953125, mean:432.45770263671875, min:156.7853240966797, std:191.7025909423828
Iter:10, max:1481.7236328125, mean:452.68572998046875, min:156.59617614746094, std:219.5775909423828
Iter:11, max:1455.0574951171875, mean:472.30615234375, min:147.31092834472656, std:203.23513793945312
Iter:12, max:1756.8486328125, mean:529.4989624023438, min:166.07015991210938, std:222.4178924560547
Iter:13, max:2469.38427734375, mean:561.58984375, min:175.47543334960938, std:248.8336181640625
Iter:14, max:1947.0054931640625, mean:589.6204833984375, min:175.0383758544922, std:217.25253295898438
Iter:15, max:1678.404052734375, mean:655.6180419921875, min:175.38131713867188, std:265.68511962890625
Iter:16, max:2018.6312255859375, mean:672.0760498046875, min:184.62115478515625, std:248.47091674804688
Iter:17, max:1559.6875, mean:719.0806884765625, min:249.6193084716797, std:220.82640075683594
Iter:18, max:1819.6563720703125, mean:774.6738891601562, min:313.6023864746094, std:258.8060302734375
Iter:19, max:1662.885498046875, mean:750.9223022460938, min:230.75804138183594, std:215.21990966796875
Iter:20, max:1732.24755859375, mean:824.1749267578125, min:341.62908935546875, std:233.98715209960938
Iter:21, max:2028.533203125, mean:831.9306640625, min:359.79327392578125, std:239.23350524902344
Iter:22, max:1757.86328125, mean:841.2269287109375, min:342.41131591796875, std:221.43942260742188
Iter:23, max:1781.479248046875, mean:888.2454833984375, min:396.57525634765625, std:242.2705841064453
Iter:24, max:1906.84912109375, mean:902.1397705078125, min:378.0974426269531, std:231.2371826171875
Iter:25, max:1816.8345947265625, mean:913.6904296875, min:342.2546691894531, std:222.30250549316406
Iter:26, max:1710.932373046875, mean:913.3758544921875, min:360.25213623046875, std:196.63670349121094
Iter:27, max:1799.370361328125, mean:936.4028930664062, min:414.9848327636719, std:202.00152587890625
Iter:28, max:1627.05712890625, mean:949.5784912109375, min:486.7710266113281, std:186.90933227539062
Iter:29, max:1771.99755859375, mean:955.459716796875, min:577.7952880859375, std:201.36605834960938
Iter:30, max:2037.0101318359375, mean:952.302734375, min:512.0397338867188, std:195.28662109375
