Iter:0, max:1777.8603515625, mean:434.755859375, min:175.3971710205078, std:240.70933532714844
Iter:1, max:1316.4603271484375, mean:382.3028869628906, min:221.83935546875, std:118.91876983642578
Iter:2, max:818.2835083007812, mean:389.72894287109375, min:231.12550354003906, std:107.9473648071289
Iter:3, max:1315.4803466796875, mean:389.0292663574219, min:231.2545623779297, std:109.41818237304688
Iter:4, max:996.7745361328125, mean:379.318115234375, min:212.49119567871094, std:115.17195892333984
Iter:5, max:922.4489135742188, mean:381.97906494140625, min:203.38754272460938, std:111.20653533935547
Iter:6, max:940.5880737304688, mean:376.51220703125, min:212.5923614501953, std:112.65934753417969
Iter:7, max:921.63037109375, mean:387.6396484375, min:212.6436309814453, std:114.2652359008789
Iter:8, max:1080.8179931640625, mean:388.6690673828125, min:221.9554443359375, std:116.39729309082031
Iter:9, max:913.054443359375, mean:378.2286376953125, min:212.4916229248047, std:114.86221313476562
Iter:10, max:884.3704833984375, mean:387.6175537109375, min:194.05889892578125, std:117.2817153930664
Iter:11, max:968.1630249023438, mean:394.8366394042969, min:212.4405517578125, std:130.45457458496094
Iter:12, max:1143.5234375, mean:385.63671875, min:212.3436279296875, std:121.24958801269531
Iter:13, max:959.3902587890625, mean:397.73919677734375, min:203.44435119628906, std:121.63365173339844
Iter:14, max:1344.666259765625, mean:395.06817626953125, min:212.49917602539062, std:135.12734985351562
Iter:15, max:1083.0079345703125, mean:400.8480224609375, min:193.7758026123047, std:124.01976776123047
Iter:16, max:1184.6861572265625, mean:411.97430419921875, min:221.7493133544922, std:128.79205322265625
Iter:17, max:1052.5321044921875, mean:422.8565673828125, min:203.20245361328125, std:133.28758239746094
Iter:18, max:1215.3721923828125, mean:439.91009521484375, min:212.46644592285156, std:138.5983123779297
Iter:19, max:1266.2191162109375, mean:465.058837890625, min:221.7995147705078, std:162.54434204101562
Iter:20, max:1603.9249267578125, mean:469.7392578125, min:212.52215576171875, std:158.32501220703125
Iter:21, max:1098.5152587890625, mean:473.89459228515625, min:240.30262756347656, std:155.17953491210938
Iter:22, max:1302.452392578125, mean:487.84710693359375, min:184.71438598632812, std:169.75657653808594
Iter:23, max:1338.378662109375, mean:505.5647888183594, min:240.2744140625, std:166.54734802246094
Iter:24, max:1353.7176513671875, mean:531.410888671875, min:240.3362274169922, std:173.88345336914062
Iter:25, max:1626.7196044921875, mean:540.5687255859375, min:249.75897216796875, std:178.3463897705078
Iter:26, max:1222.3807373046875, mean:558.0228881835938, min:249.7100067138672, std:162.18548583984375
Iter:27, max:1462.300537109375, mean:580.5050048828125, min:277.4669494628906, std:168.57362365722656
Iter:28, max:1548.264404296875, mean:613.3966674804688, min:323.8063049316406, std:176.5177459716797
Iter:29, max:1699.5404052734375, mean:640.9859619140625, min:342.3475341796875, std:188.5276336669922
Iter:30, max:1447.7423095703125, mean:661.756591796875, min:351.3380126953125, std:185.91006469726562
Iter:31, max:1816.951171875, mean:670.739990234375, min:341.90386962890625, std:193.4679718017578
Iter:32, max:1586.939697265625, mean:672.0584716796875, min:314.3144226074219, std:179.96365356445312
Iter:33, max:1699.386962890625, mean:698.1258544921875, min:369.4517822265625, std:212.72434997558594
Iter:34, max:1502.2677001953125, mean:725.967529296875, min:378.98431396484375, std:202.90826416015625
Iter:35, max:1920.1826171875, mean:748.7311401367188, min:378.7676086425781, std:199.99313354492188
Iter:36, max:1539.2279052734375, mean:750.5330810546875, min:405.8928527832031, std:188.54898071289062
Iter:37, max:1838.8516845703125, mean:806.7805786132812, min:434.3619689941406, std:233.41651916503906
Iter:38, max:1490.740966796875, mean:794.02880859375, min:387.5836486816406, std:187.21096801757812
Iter:39, max:1588.21484375, mean:792.3787231445312, min:434.16961669921875, std:177.44093322753906
Iter:40, max:1706.5377197265625, mean:842.4776611328125, min:471.4939880371094, std:183.85101318359375
Iter:41, max:1805.827880859375, mean:858.0904541015625, min:462.5455627441406, std:182.80789184570312
Iter:42, max:1892.90185546875, mean:880.1991577148438, min:453.5477294921875, std:169.6840057373047
Iter:43, max:1628.3438720703125, mean:899.8914794921875, min:518.7599487304688, std:176.19692993164062
Iter:44, max:1786.3935546875, mean:931.1932983398438, min:451.8721008300781, std:225.0634002685547
Iter:45, max:1602.7742919921875, mean:851.320068359375, min:536.5553588867188, std:146.51756286621094
Iter:46, max:2324.804443359375, mean:908.5226440429688, min:545.1175537109375, std:175.5794219970703
Iter:47, max:1788.57861328125, mean:959.5286865234375, min:572.520751953125, std:168.60304260253906
Iter:48, max:1976.057373046875, mean:1043.8408203125, min:645.3016357421875, std:205.74900817871094
Iter:49, max:1454.31298828125, mean:853.062255859375, min:562.6737670898438, std:106.8272476196289
Iter:50, max:2378.20947265625, mean:1093.534912109375, min:611.1170654296875, std:242.06735229492188
Iter:51, max:2135.717041015625, mean:1028.071044921875, min:618.7161254882812, std:216.0613250732422
Iter:52, max:1565.514892578125, mean:960.8497314453125, min:627.5075073242188, std:137.5519256591797
Iter:53, max:1925.3487548828125, mean:1031.4083251953125, min:597.9829711914062, std:221.29486083984375
Iter:54, max:1370.963134765625, mean:889.38525390625, min:610.1234130859375, std:95.32575988769531
Iter:55, max:2167.707763671875, mean:949.9661865234375, min:645.7426147460938, std:159.7168426513672
Iter:56, max:2029.87060546875, mean:1058.60693359375, min:645.763671875, std:208.46026611328125
Iter:57, max:1685.6239013671875, mean:962.0838623046875, min:645.544921875, std:161.23104858398438
Iter:58, max:2057.04833984375, mean:1061.3433837890625, min:689.6351928710938, std:200.38851928710938
Iter:59, max:1841.739013671875, mean:1053.822998046875, min:733.1798706054688, std:196.20205688476562
Iter:60, max:1712.432861328125, mean:1061.242919921875, min:615.7136840820312, std:195.59619140625
Iter:61, max:1979.4498291015625, mean:1000.10498046875, min:716.0791015625, std:154.12664794921875
Iter:62, max:2056.9228515625, mean:1077.856689453125, min:644.5870361328125, std:211.5922393798828
Iter:63, max:1840.95751953125, mean:956.590087890625, min:646.0147094726562, std:136.168212890625
Iter:64, max:1725.9134521484375, mean:1014.8410034179688, min:671.6150512695312, std:162.08335876464844
Iter:65, max:1783.83056640625, mean:1089.33935546875, min:719.086181640625, std:200.4256591796875
Iter:66, max:1824.93701171875, mean:1094.2615966796875, min:698.6136474609375, std:193.30889892578125
Iter:67, max:1742.017333984375, mean:1049.376953125, min:760.409912109375, std:176.91253662109375
Iter:68, max:1269.7335205078125, mean:910.759033203125, min:674.3497924804688, std:79.17138671875
Iter:69, max:2029.6373291015625, mean:1072.65087890625, min:726.2575073242188, std:168.1819305419922
Iter:70, max:1718.2344970703125, mean:1019.9326171875, min:768.012451171875, std:160.58290100097656
Iter:71, max:2207.021728515625, mean:1142.3302001953125, min:728.485595703125, std:226.1578369140625
Iter:72, max:2087.641845703125, mean:1085.311767578125, min:759.2236328125, std:191.19903564453125
Iter:73, max:2049.097412109375, mean:1079.8267822265625, min:699.5308227539062, std:205.45208740234375
Iter:74, max:2057.308837890625, mean:1095.87158203125, min:787.7767333984375, std:225.4700469970703
Iter:75, max:1379.842529296875, mean:920.01318359375, min:714.5133056640625, std:95.29386138916016
Iter:76, max:2128.21728515625, mean:1078.77490234375, min:813.7459106445312, std:162.4047088623047
Iter:77, max:1682.2213134765625, mean:1108.406982421875, min:781.7115478515625, std:177.31503295898438
Iter:78, max:1900.5931396484375, mean:1086.951171875, min:808.5498657226562, std:162.86407470703125
Iter:79, max:1935.2216796875, mean:1116.3475341796875, min:784.9280395507812, std:178.55850219726562
Iter:80, max:1622.9837646484375, mean:1078.63671875, min:761.1774291992188, std:143.67405700683594
Iter:81, max:1747.93896484375, mean:1138.1507568359375, min:801.3411865234375, std:179.05845642089844
Iter:82, max:1267.627197265625, mean:891.87890625, min:684.285400390625, std:61.63486099243164
Iter:83, max:2032.7783203125, mean:1098.677490234375, min:793.5919799804688, std:182.46514892578125
Iter:84, max:1856.097900390625, mean:1090.88037109375, min:789.466796875, std:173.96487426757812
Iter:85, max:2131.061279296875, mean:1176.33984375, min:766.7291870117188, std:196.67947387695312
Iter:86, max:2298.4873046875, mean:1185.734130859375, min:817.137939453125, std:201.03726196289062
Iter:87, max:1745.251708984375, mean:1114.2950439453125, min:792.4982299804688, std:189.61924743652344
Iter:88, max:2184.09130859375, mean:1191.41162109375, min:770.5145874023438, std:200.1689453125
Iter:89, max:2001.513916015625, mean:1190.927001953125, min:815.5482788085938, std:207.43115234375
Iter:90, max:2116.533447265625, mean:1102.55908203125, min:787.0281372070312, std:173.9623565673828
Iter:91, max:2056.291748046875, mean:1262.5958251953125, min:779.6022338867188, std:203.80361938476562
Iter:92, max:2006.876953125, mean:1224.756591796875, min:794.1841430664062, std:211.88348388671875
Iter:93, max:1793.8153076171875, mean:1079.195068359375, min:812.8080444335938, std:130.816162109375
Iter:94, max:1856.8319091796875, mean:1174.2342529296875, min:848.382080078125, std:155.78382873535156
Iter:95, max:2150.60888671875, mean:1294.462158203125, min:770.9133911132812, std:184.6171112060547
Iter:96, max:1999.3775634765625, mean:1235.774169921875, min:816.84130859375, std:185.92782592773438
