Iter:0, max:1747.2109375, mean:399.3690185546875, min:137.9296417236328, std:270.76519775390625
Iter:1, max:1024.9627685546875, mean:357.7181396484375, min:194.1748046875, std:110.17255401611328
Iter:2, max:1183.274169921875, mean:372.4057922363281, min:194.02386474609375, std:126.7262191772461
Iter:3, max:1032.3228759765625, mean:384.84686279296875, min:203.15338134765625, std:140.26202392578125
Iter:4, max:959.6207275390625, mean:375.6728820800781, min:184.77828979492188, std:133.11997985839844
Iter:5, max:945.2145385742188, mean:374.541748046875, min:184.68112182617188, std:126.79668426513672
Iter:6, max:1138.8033447265625, mean:389.84674072265625, min:193.71324157714844, std:148.57894897460938
Iter:7, max:1140.7181396484375, mean:405.9820556640625, min:175.54864501953125, std:151.04278564453125
Iter:8, max:1341.8607177734375, mean:426.2216796875, min:184.35043334960938, std:169.44834899902344
Iter:9, max:1313.82861328125, mean:443.15460205078125, min:194.09190368652344, std:174.79885864257812
Iter:10, max:1313.776123046875, mean:469.2579345703125, min:184.73318481445312, std:193.6105499267578
Iter:11, max:1214.7545166015625, mean:494.6221008300781, min:193.91415405273438, std:188.8446502685547
Iter:12, max:1396.3751220703125, mean:508.4751281738281, min:193.95948791503906, std:193.76608276367188
Iter:13, max:1511.6883544921875, mean:556.1325073242188, min:184.29360961914062, std:215.8205108642578
Iter:14, max:1651.9193115234375, mean:568.361572265625, min:202.9451446533203, std:196.08663940429688
Iter:15, max:1427.7230224609375, mean:618.0390014648438, min:230.57009887695312, std:207.86000061035156
Iter:16, max:1901.8892822265625, mean:657.8859252929688, min:230.74710083007812, std:234.11119079589844
Iter:17, max:1678.5478515625, mean:680.7511596679688, min:286.7105712890625, std:201.29852294921875
Iter:18, max:1853.9794921875, mean:759.7753295898438, min:304.7867126464844, std:261.34027099609375
Iter:19, max:1667.2930908203125, mean:747.8966674804688, min:240.1516876220703, std:202.55955505371094
Iter:20, max:1874.2166748046875, mean:853.1087646484375, min:351.3692932128906, std:260.60552978515625
Iter:21, max:1805.7734375, mean:840.8857421875, min:350.85955810546875, std:202.9964141845703
Iter:22, max:1866.792236328125, mean:857.197021484375, min:388.7159729003906, std:210.9091796875
Iter:23, max:1860.7657470703125, mean:931.11328125, min:443.350341796875, std:248.04319763183594
Iter:24, max:1961.150146484375, mean:911.7055053710938, min:498.07330322265625, std:202.8652801513672
Iter:25, max:1985.96533203125, mean:965.6331787109375, min:507.4315490722656, std:232.07257080078125
Iter:26, max:1691.9365234375, mean:917.018310546875, min:462.6174011230469, std:181.92071533203125
Iter:27, max:2019.206298828125, mean:981.9195556640625, min:516.3319091796875, std:210.43284606933594
Iter:28, max:1627.1412353515625, mean:945.5380859375, min:498.3876953125, std:176.09725952148438
Iter:29, max:1882.6671142578125, mean:965.4591064453125, min:535.7059326171875, std:189.467529296875
Iter:30, max:2067.018798828125, mean:963.0321044921875, min:532.6649169921875, std:185.105224609375
Iter:31, max:1619.63671875, mean:903.8453369140625, min:613.9457397460938, std:148.81509399414062
Iter:32, max:1684.2132568359375, mean:983.634765625, min:615.9541625976562, std:181.2271270751953
Iter:33, max:1726.77490234375, mean:1007.5358276367188, min:616.1087036132812, std:174.74002075195312
Iter:34, max:1918.9395751953125, mean:994.677734375, min:613.8842163085938, std:175.51600646972656
