Total time, 18325.80s, 100.00%
	,Train time, 18201.05s, 99.32%
	,	,Evaluation time, 18181.12s, 99.89%
	,	,Ask time, 16.63s, 0.09%
	,	,Tell time, 3.30s, 0.02%
	,Test time, 124.51s, 0.68%
	,Logging time, 0.24s, 0.00%
	,Writing time, 0.00s, 0.00%
Iter:0, train:196.70s, eval:100%, ask:0%, tell:0%
Iter:1, train:181.74s, eval:100%, ask:0%, tell:0%
Iter:2, train:182.15s, eval:100%, ask:0%, tell:0%
Iter:3, train:186.13s, eval:100%, ask:0%, tell:0%
Iter:4, train:182.40s, eval:100%, ask:0%, tell:0%
Iter:5, train:179.60s, eval:100%, ask:0%, tell:0%
Iter:6, train:181.31s, eval:100%, ask:0%, tell:0%
Iter:7, train:183.17s, eval:100%, ask:0%, tell:0%
Iter:8, train:181.65s, eval:100%, ask:0%, tell:0%
Iter:9, train:186.79s, eval:100%, ask:0%, tell:0%
Iter:10, train:184.20s, eval:100%, ask:0%, tell:0%
Iter:11, train:182.70s, eval:100%, ask:0%, tell:0%
Iter:12, train:185.97s, eval:100%, ask:0%, tell:0%
Iter:13, train:186.14s, eval:100%, ask:0%, tell:0%
Iter:14, train:186.38s, eval:100%, ask:0%, tell:0%
Iter:15, train:182.12s, eval:100%, ask:0%, tell:0%
Iter:16, train:181.37s, eval:100%, ask:0%, tell:0%
Iter:17, train:179.39s, eval:100%, ask:0%, tell:0%
Iter:18, train:174.83s, eval:100%, ask:0%, tell:0%
Iter:19, train:174.86s, eval:100%, ask:0%, tell:0%
Iter:20, train:174.73s, eval:100%, ask:0%, tell:0%
Iter:21, train:176.14s, eval:100%, ask:0%, tell:0%
Iter:22, train:174.52s, eval:100%, ask:0%, tell:0%
Iter:23, train:175.15s, eval:100%, ask:0%, tell:0%
Iter:24, train:180.22s, eval:100%, ask:0%, tell:0%
Iter:25, train:176.80s, eval:100%, ask:0%, tell:0%
Iter:26, train:176.97s, eval:100%, ask:0%, tell:0%
Iter:27, train:175.20s, eval:100%, ask:0%, tell:0%
Iter:28, train:174.29s, eval:100%, ask:0%, tell:0%
Iter:29, train:179.04s, eval:100%, ask:0%, tell:0%
Iter:30, train:184.35s, eval:100%, ask:0%, tell:0%
Iter:31, train:180.99s, eval:100%, ask:0%, tell:0%
Iter:32, train:180.81s, eval:100%, ask:0%, tell:0%
Iter:33, train:181.19s, eval:100%, ask:0%, tell:0%
Iter:34, train:181.59s, eval:100%, ask:0%, tell:0%
Iter:35, train:181.97s, eval:100%, ask:0%, tell:0%
Iter:36, train:182.21s, eval:100%, ask:0%, tell:0%
Iter:37, train:186.69s, eval:100%, ask:0%, tell:0%
Iter:38, train:185.86s, eval:100%, ask:0%, tell:0%
Iter:39, train:184.75s, eval:100%, ask:0%, tell:0%
Iter:40, train:182.65s, eval:100%, ask:0%, tell:0%
Iter:41, train:181.30s, eval:100%, ask:0%, tell:0%
Iter:42, train:183.28s, eval:100%, ask:0%, tell:0%
Iter:43, train:183.55s, eval:100%, ask:0%, tell:0%
Iter:44, train:182.66s, eval:100%, ask:0%, tell:0%
Iter:45, train:182.02s, eval:100%, ask:0%, tell:0%
Iter:46, train:183.87s, eval:100%, ask:0%, tell:0%
Iter:47, train:182.04s, eval:100%, ask:0%, tell:0%
Iter:48, train:181.95s, eval:100%, ask:0%, tell:0%
Iter:49, train:182.68s, eval:100%, ask:0%, tell:0%
Iter:50, train:182.82s, eval:100%, ask:0%, tell:0%
Iter:51, train:183.06s, eval:100%, ask:0%, tell:0%
Iter:52, train:182.77s, eval:100%, ask:0%, tell:0%
Iter:53, train:181.52s, eval:100%, ask:0%, tell:0%
Iter:54, train:182.39s, eval:100%, ask:0%, tell:0%
Iter:55, train:183.75s, eval:100%, ask:0%, tell:0%
Iter:56, train:184.80s, eval:100%, ask:0%, tell:0%
Iter:57, train:182.12s, eval:100%, ask:0%, tell:0%
Iter:58, train:181.65s, eval:100%, ask:0%, tell:0%
Iter:59, train:182.21s, eval:100%, ask:0%, tell:0%
Iter:60, train:183.87s, eval:100%, ask:0%, tell:0%
Iter:61, train:181.94s, eval:100%, ask:0%, tell:0%
Iter:62, train:180.76s, eval:100%, ask:0%, tell:0%
Iter:63, train:181.07s, eval:100%, ask:0%, tell:0%
Iter:64, train:182.08s, eval:100%, ask:0%, tell:0%
Iter:65, train:181.35s, eval:100%, ask:0%, tell:0%
Iter:66, train:181.38s, eval:100%, ask:0%, tell:0%
Iter:67, train:182.09s, eval:100%, ask:0%, tell:0%
Iter:68, train:182.29s, eval:100%, ask:0%, tell:0%
Iter:69, train:181.54s, eval:100%, ask:0%, tell:0%
Iter:70, train:184.13s, eval:100%, ask:0%, tell:0%
Iter:71, train:180.62s, eval:100%, ask:0%, tell:0%
Iter:72, train:181.39s, eval:100%, ask:0%, tell:0%
Iter:73, train:177.47s, eval:100%, ask:0%, tell:0%
Iter:74, train:178.87s, eval:100%, ask:0%, tell:0%
Iter:75, train:179.73s, eval:100%, ask:0%, tell:0%
Iter:76, train:180.96s, eval:100%, ask:0%, tell:0%
Iter:77, train:181.92s, eval:100%, ask:0%, tell:0%
Iter:78, train:176.11s, eval:100%, ask:0%, tell:0%
Iter:79, train:170.57s, eval:100%, ask:0%, tell:0%
Iter:80, train:178.52s, eval:100%, ask:0%, tell:0%
Iter:81, train:186.33s, eval:100%, ask:0%, tell:0%
Iter:82, train:184.79s, eval:100%, ask:0%, tell:0%
Iter:83, train:187.14s, eval:100%, ask:0%, tell:0%
Iter:84, train:185.79s, eval:100%, ask:0%, tell:0%
Iter:85, train:183.22s, eval:100%, ask:0%, tell:0%
Iter:86, train:184.53s, eval:100%, ask:0%, tell:0%
Iter:87, train:185.54s, eval:100%, ask:0%, tell:0%
Iter:88, train:185.39s, eval:100%, ask:0%, tell:0%
Iter:89, train:184.81s, eval:100%, ask:0%, tell:0%
Iter:90, train:187.71s, eval:100%, ask:0%, tell:0%
Iter:91, train:186.78s, eval:100%, ask:0%, tell:0%
Iter:92, train:182.66s, eval:100%, ask:0%, tell:0%
Iter:93, train:182.77s, eval:100%, ask:0%, tell:0%
Iter:94, train:183.26s, eval:100%, ask:0%, tell:0%
Iter:95, train:182.93s, eval:100%, ask:0%, tell:0%
Iter:96, train:182.79s, eval:100%, ask:0%, tell:0%
Iter:97, train:182.33s, eval:100%, ask:0%, tell:0%
Iter:98, train:183.98s, eval:100%, ask:0%, tell:0%
Iter:99, train:183.44s, eval:100%, ask:0%, tell:0%
Iter:25, test:42.21s
Iter:50, test:27.92s
Iter:75, test:26.71s
Iter:99, test:27.67s
Iter:0, logging:0.10s
Iter:25, logging:0.10s
