Iter:0, max:1003.6214599609375, mean:993.8672485351562, min:971.7853393554688, std:4.569176197052002
Iter:1, max:1000.1241455078125, mean:989.12890625, min:968.0884399414062, std:4.735888481140137
Iter:2, max:1004.0997924804688, mean:993.767578125, min:975.410888671875, std:4.560196399688721
Iter:3, max:1006.2259521484375, mean:994.23779296875, min:967.224853515625, std:4.979823589324951
Iter:4, max:1003.3925170898438, mean:992.6671142578125, min:966.7802124023438, std:5.010409355163574
Iter:5, max:1003.4710083007812, mean:992.8023071289062, min:968.6673583984375, std:5.198250770568848
Iter:6, max:1004.7459106445312, mean:992.8805541992188, min:971.126953125, std:5.14208459854126
Iter:7, max:1005.033935546875, mean:993.9783935546875, min:969.6798095703125, std:5.052700996398926
Iter:8, max:1004.1360473632812, mean:991.7564086914062, min:965.8999633789062, std:5.2530198097229
Iter:9, max:1005.21826171875, mean:992.5029296875, min:973.4722290039062, std:5.369893550872803
Iter:10, max:1003.5441284179688, mean:991.16162109375, min:960.5546875, std:5.71725606918335
Iter:11, max:1004.5330810546875, mean:991.790771484375, min:967.6873168945312, std:5.485585689544678
Iter:12, max:1006.8560180664062, mean:992.169189453125, min:965.3952026367188, std:5.619068145751953
Iter:13, max:1003.9530639648438, mean:991.1018676757812, min:966.3455810546875, std:5.841043472290039
Iter:14, max:1007.15478515625, mean:990.9903564453125, min:960.4600830078125, std:6.018714427947998
Iter:15, max:1010.6214599609375, mean:989.1848754882812, min:959.2520141601562, std:6.274855136871338
Iter:16, max:1004.202880859375, mean:989.6927490234375, min:962.4739990234375, std:6.475644588470459
Iter:17, max:1032.8836669921875, mean:988.69873046875, min:957.0277709960938, std:7.167062282562256
Iter:18, max:1012.1577758789062, mean:987.0828247070312, min:959.8436889648438, std:6.634037017822266
Iter:19, max:1006.9536743164062, mean:987.8475952148438, min:939.8219604492188, std:7.179486274719238
Iter:20, max:1016.2745971679688, mean:988.9970703125, min:941.9375, std:8.004386901855469
Iter:21, max:1010.8946533203125, mean:985.1361083984375, min:947.5706787109375, std:7.937909126281738
Iter:22, max:1025.582275390625, mean:987.9899291992188, min:944.8841552734375, std:8.384334564208984
Iter:23, max:1013.8824462890625, mean:984.7977294921875, min:938.8674926757812, std:8.579093933105469
Iter:24, max:1015.8051147460938, mean:985.79833984375, min:942.4043579101562, std:8.894190788269043
Iter:25, max:1099.23828125, mean:988.2487182617188, min:930.6874389648438, std:10.169283866882324
Iter:26, max:1031.87646484375, mean:984.3199462890625, min:934.7857666015625, std:10.224547386169434
Iter:27, max:1018.9572143554688, mean:984.69921875, min:927.1349487304688, std:10.405463218688965
