Iter:0, max:1001.4884643554688, mean:993.4673461914062, min:981.5445556640625, std:4.404902935028076
Iter:1, max:998.93359375, mean:988.574462890625, min:971.48193359375, std:4.595054626464844
Iter:2, max:1002.1091918945312, mean:994.5345458984375, min:981.9691772460938, std:3.8189117908477783
Iter:3, max:1003.7939453125, mean:994.6947021484375, min:977.9313354492188, std:4.405789375305176
Iter:4, max:1002.0562744140625, mean:992.9448852539062, min:978.1091918945312, std:5.074839115142822
Iter:5, max:1003.1534423828125, mean:992.8890380859375, min:974.8779907226562, std:5.424482822418213
Iter:6, max:1003.0531005859375, mean:992.6085205078125, min:974.93994140625, std:4.533700466156006
Iter:7, max:1005.0252075195312, mean:993.4618530273438, min:977.4071044921875, std:4.80518102645874
Iter:8, max:1000.3980102539062, mean:990.9818115234375, min:975.5452270507812, std:4.866649150848389
Iter:9, max:1003.4246826171875, mean:993.8727416992188, min:974.8695068359375, std:5.375823020935059
Iter:10, max:1001.879638671875, mean:992.07763671875, min:976.665283203125, std:5.091801166534424
Iter:11, max:1003.6885986328125, mean:992.3338012695312, min:970.1519775390625, std:5.4007439613342285
Iter:12, max:1002.9344482421875, mean:992.778564453125, min:977.4127197265625, std:4.776569843292236
Iter:13, max:1001.0685424804688, mean:991.033935546875, min:967.064208984375, std:5.326425075531006
Iter:14, max:1001.5590209960938, mean:990.745849609375, min:970.1240234375, std:5.691799163818359
Iter:15, max:1003.8060913085938, mean:990.3005981445312, min:971.2346801757812, std:5.652327537536621
Iter:16, max:1000.2076416015625, mean:987.2761840820312, min:943.5638427734375, std:8.20455551147461
Iter:17, max:1000.3729248046875, mean:987.0239868164062, min:961.0383911132812, std:7.32496452331543
Iter:18, max:1010.5785522460938, mean:984.5712890625, min:959.5042724609375, std:8.653621673583984
Iter:19, max:1018.31689453125, mean:986.0286865234375, min:960.5440673828125, std:8.25247859954834
Iter:20, max:1024.882568359375, mean:985.737548828125, min:961.8082885742188, std:8.826571464538574
Iter:21, max:1001.2272338867188, mean:982.6365356445312, min:942.6027221679688, std:8.555251121520996
Iter:22, max:1005.7333374023438, mean:984.1928100585938, min:950.9583129882812, std:9.319788932800293
Iter:23, max:996.7108154296875, mean:978.9378662109375, min:938.2597045898438, std:11.40683364868164
Iter:24, max:998.0172729492188, mean:979.60546875, min:937.0879516601562, std:12.921615600585938
Iter:25, max:1003.3690185546875, mean:981.1219482421875, min:917.2617797851562, std:13.240306854248047
Iter:26, max:1028.103759765625, mean:978.6529541015625, min:912.252685546875, std:14.408731460571289
Iter:27, max:1031.528564453125, mean:980.3145141601562, min:936.0818481445312, std:13.17655086517334
Iter:28, max:1047.5635986328125, mean:972.1690673828125, min:912.4830932617188, std:16.288436889648438
Iter:29, max:1022.6232299804688, mean:972.8096923828125, min:904.9749145507812, std:17.74811363220215
Iter:30, max:1005.6729125976562, mean:974.5641479492188, min:936.2098999023438, std:14.105081558227539
