Total time, 4604.25s, 100.00%
	,Train time, 4492.55s, 97.57%
	,	,Evaluation time, 4488.60s, 99.91%
	,	,Ask time, 3.01s, 0.07%
	,	,Tell time, 0.93s, 0.02%
	,Test time, 111.49s, 2.42%
	,Logging time, 0.21s, 0.00%
	,Writing time, 0.00s, 0.00%
Iter:0, train:61.44s, eval:99%, ask:0%, tell:0%
Iter:1, train:45.78s, eval:100%, ask:0%, tell:0%
Iter:2, train:45.70s, eval:100%, ask:0%, tell:0%
Iter:3, train:45.25s, eval:100%, ask:0%, tell:0%
Iter:4, train:45.25s, eval:100%, ask:0%, tell:0%
Iter:5, train:45.24s, eval:100%, ask:0%, tell:0%
Iter:6, train:45.22s, eval:100%, ask:0%, tell:0%
Iter:7, train:44.87s, eval:100%, ask:0%, tell:0%
Iter:8, train:45.10s, eval:100%, ask:0%, tell:0%
Iter:9, train:44.77s, eval:100%, ask:0%, tell:0%
Iter:10, train:44.55s, eval:100%, ask:0%, tell:0%
Iter:11, train:44.59s, eval:100%, ask:0%, tell:0%
Iter:12, train:44.41s, eval:100%, ask:0%, tell:0%
Iter:13, train:45.05s, eval:100%, ask:0%, tell:0%
Iter:14, train:44.81s, eval:100%, ask:0%, tell:0%
Iter:15, train:44.48s, eval:100%, ask:0%, tell:0%
Iter:16, train:44.16s, eval:100%, ask:0%, tell:0%
Iter:17, train:45.06s, eval:100%, ask:0%, tell:0%
Iter:18, train:43.95s, eval:100%, ask:0%, tell:0%
Iter:19, train:43.95s, eval:100%, ask:0%, tell:0%
Iter:20, train:44.52s, eval:100%, ask:0%, tell:0%
Iter:21, train:44.70s, eval:100%, ask:0%, tell:0%
Iter:22, train:44.30s, eval:100%, ask:0%, tell:0%
Iter:23, train:43.94s, eval:100%, ask:0%, tell:0%
Iter:24, train:44.10s, eval:100%, ask:0%, tell:0%
Iter:25, train:43.92s, eval:100%, ask:0%, tell:0%
Iter:26, train:44.30s, eval:100%, ask:0%, tell:0%
Iter:27, train:44.67s, eval:100%, ask:0%, tell:0%
Iter:28, train:44.74s, eval:100%, ask:0%, tell:0%
Iter:29, train:45.18s, eval:100%, ask:0%, tell:0%
Iter:30, train:45.18s, eval:100%, ask:0%, tell:0%
Iter:31, train:45.09s, eval:100%, ask:0%, tell:0%
Iter:32, train:44.77s, eval:100%, ask:0%, tell:0%
Iter:33, train:44.99s, eval:100%, ask:0%, tell:0%
Iter:34, train:45.32s, eval:100%, ask:0%, tell:0%
Iter:35, train:45.22s, eval:100%, ask:0%, tell:0%
Iter:36, train:45.04s, eval:100%, ask:0%, tell:0%
Iter:37, train:44.97s, eval:100%, ask:0%, tell:0%
Iter:38, train:44.97s, eval:100%, ask:0%, tell:0%
Iter:39, train:44.72s, eval:100%, ask:0%, tell:0%
Iter:40, train:44.78s, eval:100%, ask:0%, tell:0%
Iter:41, train:44.82s, eval:100%, ask:0%, tell:0%
Iter:42, train:44.26s, eval:100%, ask:0%, tell:0%
