Total time, 276.57s, 100.00%
	,Train time, 240.32s, 86.89%
	,	,Evaluation time, 239.72s, 99.75%
	,	,Ask time, 0.34s, 0.14%
	,	,Tell time, 0.27s, 0.11%
	,Test time, 36.16s, 13.07%
	,Logging time, 0.09s, 0.03%
	,Writing time, 0.00s, 0.00%
Iter:0, train:37.69s, eval:99%, ask:1%, tell:1%
Iter:1, train:22.64s, eval:100%, ask:0%, tell:0%
Iter:2, train:22.57s, eval:100%, ask:0%, tell:0%
Iter:3, train:22.45s, eval:100%, ask:0%, tell:0%
Iter:4, train:22.60s, eval:100%, ask:0%, tell:0%
Iter:5, train:22.66s, eval:100%, ask:0%, tell:0%
Iter:6, train:22.85s, eval:100%, ask:0%, tell:0%
Iter:7, train:22.47s, eval:100%, ask:0%, tell:0%
Iter:8, train:22.30s, eval:100%, ask:0%, tell:0%
Iter:9, train:22.09s, eval:100%, ask:0%, tell:0%
Iter:9, test:36.16s
Iter:0, logging:0.08s
