Total time, 465.95s, 100.00%
	,Train time, 429.18s, 92.11%
	,	,Evaluation time, 428.38s, 99.81%
	,	,Ask time, 0.50s, 0.12%
	,	,Tell time, 0.30s, 0.07%
	,Test time, 36.60s, 7.85%
	,Logging time, 0.17s, 0.04%
	,Writing time, 0.00s, 0.00%
Iter:0, train:56.68s, eval:99%, ask:0%, tell:0%
Iter:1, train:41.85s, eval:100%, ask:0%, tell:0%
Iter:2, train:41.41s, eval:100%, ask:0%, tell:0%
Iter:3, train:41.66s, eval:100%, ask:0%, tell:0%
Iter:4, train:41.06s, eval:100%, ask:0%, tell:0%
Iter:5, train:41.62s, eval:100%, ask:0%, tell:0%
Iter:6, train:41.25s, eval:100%, ask:0%, tell:0%
Iter:7, train:41.27s, eval:100%, ask:0%, tell:0%
Iter:8, train:41.17s, eval:100%, ask:0%, tell:0%
Iter:9, train:41.19s, eval:100%, ask:0%, tell:0%
Iter:9, test:36.60s
Iter:0, logging:0.08s
Iter:9, logging:0.09s
