Total time, 850.70s, 100.00%
	,Train time, 812.10s, 95.46%
	,	,Evaluation time, 810.96s, 99.86%
	,	,Ask time, 0.78s, 0.10%
	,	,Tell time, 0.37s, 0.05%
	,Test time, 38.41s, 4.52%
	,Logging time, 0.18s, 0.02%
	,Writing time, 0.00s, 0.00%
Iter:0, train:94.32s, eval:99%, ask:0%, tell:0%
Iter:1, train:78.60s, eval:100%, ask:0%, tell:0%
Iter:2, train:79.11s, eval:100%, ask:0%, tell:0%
Iter:3, train:79.49s, eval:100%, ask:0%, tell:0%
Iter:4, train:79.66s, eval:100%, ask:0%, tell:0%
Iter:5, train:79.50s, eval:100%, ask:0%, tell:0%
Iter:6, train:80.20s, eval:100%, ask:0%, tell:0%
Iter:7, train:80.13s, eval:100%, ask:0%, tell:0%
Iter:8, train:79.71s, eval:100%, ask:0%, tell:0%
Iter:9, train:81.37s, eval:100%, ask:0%, tell:0%
Iter:9, test:38.41s
Iter:0, logging:0.09s
Iter:9, logging:0.09s
