Iter:0, max:1003.6309814453125, mean:993.8685302734375, min:971.80712890625, std:4.571219444274902
Iter:1, max:1000.071044921875, mean:989.0894775390625, min:968.0465698242188, std:4.779567718505859
Iter:2, max:1003.9163818359375, mean:993.768798828125, min:975.2592163085938, std:4.575295448303223
Iter:3, max:1005.9490356445312, mean:994.2265625, min:968.8502807617188, std:4.95915412902832
Iter:4, max:1003.1431884765625, mean:992.7664794921875, min:966.9632568359375, std:4.985610485076904
Iter:5, max:1004.8592529296875, mean:992.79052734375, min:969.2694702148438, std:5.23171854019165
Iter:6, max:1005.1287231445312, mean:992.887451171875, min:971.638427734375, std:5.182967185974121
Iter:7, max:1004.6376953125, mean:994.040771484375, min:969.9815673828125, std:5.020402908325195
Iter:8, max:1002.8562622070312, mean:991.7980346679688, min:964.7931518554688, std:5.313749313354492
Iter:9, max:1007.405029296875, mean:992.5548706054688, min:973.0899658203125, std:5.286133289337158
Iter:10, max:1004.1224365234375, mean:991.0377197265625, min:960.6636352539062, std:5.7750163078308105
Iter:11, max:1004.3167724609375, mean:991.6383666992188, min:966.9506225585938, std:5.53216028213501
Iter:12, max:1007.036376953125, mean:992.0411376953125, min:967.1405029296875, std:5.583357810974121
Iter:13, max:1010.2877807617188, mean:991.0703125, min:960.9007568359375, std:5.869393825531006
Iter:14, max:1017.6574096679688, mean:991.0673828125, min:959.7638549804688, std:6.010753631591797
Iter:15, max:1003.78759765625, mean:989.220458984375, min:963.5663452148438, std:6.279738426208496
Iter:16, max:1016.0845947265625, mean:989.784912109375, min:963.4828491210938, std:6.348942756652832
Iter:17, max:1011.970947265625, mean:988.65966796875, min:961.7332153320312, std:6.8848419189453125
Iter:18, max:1027.0928955078125, mean:987.072998046875, min:958.8457641601562, std:6.623472213745117
Iter:19, max:1004.6795043945312, mean:987.473876953125, min:935.3162231445312, std:7.031238079071045
Iter:20, max:1026.0428466796875, mean:988.8428344726562, min:944.7528076171875, std:8.050979614257812
Iter:21, max:1012.7099609375, mean:985.0765380859375, min:939.9490356445312, std:7.908819675445557
Iter:22, max:1019.2720336914062, mean:988.0177001953125, min:945.1318359375, std:8.032424926757812
Iter:23, max:1031.8824462890625, mean:984.7304077148438, min:945.0266723632812, std:8.50624942779541
Iter:24, max:1024.4649658203125, mean:985.7279052734375, min:936.3142700195312, std:8.800384521484375
Iter:25, max:1048.4351806640625, mean:988.1328125, min:933.85986328125, std:8.96839427947998
Iter:26, max:1021.9976806640625, mean:984.2571411132812, min:940.881591796875, std:9.732931137084961
Iter:27, max:1036.7984619140625, mean:984.800537109375, min:887.0087280273438, std:10.725850105285645
Iter:28, max:1039.693603515625, mean:982.3541259765625, min:926.8292236328125, std:10.288825035095215
Iter:29, max:1024.8665771484375, mean:981.1153564453125, min:930.08349609375, std:11.190720558166504
Iter:30, max:1062.691650390625, mean:986.2079467773438, min:932.1089477539062, std:11.993714332580566
Iter:31, max:1037.0577392578125, mean:983.84130859375, min:884.1964721679688, std:12.407350540161133
Iter:32, max:1076.3792724609375, mean:982.5148315429688, min:895.6281127929688, std:13.67188549041748
Iter:33, max:1051.6666259765625, mean:987.412353515625, min:916.1686401367188, std:14.276043891906738
Iter:34, max:1060.655029296875, mean:985.6278686523438, min:879.717041015625, std:14.624823570251465
Iter:35, max:1093.6036376953125, mean:984.877197265625, min:913.3505859375, std:16.478254318237305
Iter:36, max:1118.6571044921875, mean:984.6075439453125, min:868.22314453125, std:18.71479034423828
Iter:37, max:1120.3331298828125, mean:988.4238891601562, min:914.0072631835938, std:20.893882751464844
Iter:38, max:1125.0987548828125, mean:986.9354248046875, min:918.350341796875, std:21.090984344482422
Iter:39, max:1157.12841796875, mean:992.8660888671875, min:888.6751708984375, std:26.50760269165039
Iter:40, max:1178.100341796875, mean:993.5068359375, min:893.0278930664062, std:28.876829147338867
Iter:41, max:1160.9945068359375, mean:995.0616455078125, min:882.21240234375, std:32.344120025634766
Iter:42, max:1210.49365234375, mean:1003.9954833984375, min:231.11692810058594, std:46.45452117919922
Iter:43, max:1409.9940185546875, mean:1009.3917236328125, min:129.46240234375, std:55.0240592956543
Iter:44, max:1247.38232421875, mean:1010.1024169921875, min:853.4575805664062, std:54.01890563964844
Iter:45, max:1259.146240234375, mean:1022.102294921875, min:558.3433837890625, std:62.638648986816406
Iter:46, max:1374.8370361328125, mean:1030.1260986328125, min:587.010009765625, std:72.2156753540039
Iter:47, max:1350.0736083984375, mean:1032.1297607421875, min:736.5665893554688, std:86.12324523925781
Iter:48, max:1456.2149658203125, mean:1035.650146484375, min:53.037288665771484, std:110.65323638916016
Iter:49, max:1515.462890625, mean:1055.983642578125, min:519.313720703125, std:110.88107299804688
Iter:50, max:1500.73095703125, mean:1050.2828369140625, min:70.57820892333984, std:129.2498779296875
Iter:51, max:1509.887451171875, mean:1067.01025390625, min:179.30838012695312, std:136.26710510253906
Iter:52, max:1474.4825439453125, mean:1066.412109375, min:81.71179962158203, std:145.19100952148438
Iter:53, max:1601.402587890625, mean:1076.875, min:643.4607543945312, std:160.4011993408203
Iter:54, max:1627.7469482421875, mean:1067.8876953125, min:233.67767333984375, std:176.58465576171875
Iter:55, max:1564.51025390625, mean:1087.917724609375, min:231.531005859375, std:177.9174346923828
Iter:56, max:1669.4749755859375, mean:1078.470458984375, min:152.19674682617188, std:194.81478881835938
Iter:57, max:1548.7576904296875, mean:1082.9117431640625, min:41.8337516784668, std:196.68695068359375
Iter:58, max:1574.3016357421875, mean:1028.5447998046875, min:1.7237956523895264, std:289.21380615234375
Iter:59, max:1603.0416259765625, mean:1079.9814453125, min:187.7456512451172, std:218.88845825195312
Iter:60, max:1619.7828369140625, mean:1061.57421875, min:133.84422302246094, std:228.9173583984375
