Total time, 330.56s, 100.00%
	,Train time, 308.04s, 93.19%
	,	,Evaluation time, 307.14s, 99.71%
	,	,Ask time, 0.36s, 0.12%
	,	,Tell time, 0.54s, 0.18%
	,Test time, 22.05s, 6.67%
	,Logging time, 0.46s, 0.14%
	,Writing time, 0.00s, 0.00%
Iter:0, train:15.53s, eval:95%, ask:2%, tell:3%
Iter:1, train:2.96s, eval:100%, ask:0%, tell:0%
Iter:2, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:3, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:4, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:5, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:6, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:7, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:8, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:9, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:10, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:11, train:2.96s, eval:100%, ask:0%, tell:0%
Iter:12, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:13, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:14, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:15, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:16, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:17, train:2.96s, eval:100%, ask:0%, tell:0%
Iter:18, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:19, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:20, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:21, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:22, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:23, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:24, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:25, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:26, train:2.96s, eval:100%, ask:0%, tell:0%
Iter:27, train:2.96s, eval:100%, ask:0%, tell:0%
Iter:28, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:29, train:2.96s, eval:100%, ask:0%, tell:0%
Iter:30, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:31, train:2.96s, eval:100%, ask:0%, tell:0%
Iter:32, train:2.95s, eval:100%, ask:0%, tell:0%
Iter:33, train:2.96s, eval:100%, ask:0%, tell:0%
