Iter:0, max:1001.638916015625, mean:993.4774169921875, min:981.5322875976562, std:4.406224250793457
Iter:1, max:999.1116943359375, mean:988.5723876953125, min:971.8767700195312, std:4.617837905883789
Iter:2, max:1002.025146484375, mean:994.4242553710938, min:982.6414794921875, std:3.882413625717163
Iter:3, max:1003.2379760742188, mean:994.61669921875, min:977.8308715820312, std:4.488448619842529
Iter:4, max:1002.2783203125, mean:992.8268432617188, min:977.343017578125, std:5.229864597320557
Iter:5, max:1002.3439331054688, mean:992.975830078125, min:975.1607055664062, std:5.4840006828308105
Iter:6, max:1002.947021484375, mean:992.4910888671875, min:974.2427978515625, std:4.666986465454102
Iter:7, max:1005.041015625, mean:993.546142578125, min:972.9759521484375, std:5.009543418884277
Iter:8, max:1000.5283813476562, mean:991.0263061523438, min:974.2696533203125, std:4.826379299163818
Iter:9, max:1003.771240234375, mean:993.810546875, min:976.1220092773438, std:5.077277183532715
Iter:10, max:1000.734130859375, mean:991.9330444335938, min:974.7366943359375, std:5.036620616912842
Iter:11, max:1001.9320678710938, mean:992.4237670898438, min:973.2725830078125, std:5.2837114334106445
Iter:12, max:1003.2481079101562, mean:992.689208984375, min:976.6122436523438, std:4.990799903869629
Iter:13, max:1000.0838012695312, mean:990.8145751953125, min:968.6773681640625, std:5.755054473876953
Iter:14, max:1001.2701416015625, mean:990.4425048828125, min:971.90966796875, std:5.90986967086792
Iter:15, max:1001.9224853515625, mean:989.4566650390625, min:967.628173828125, std:6.139163494110107
Iter:16, max:1002.4149780273438, mean:988.0414428710938, min:961.7051391601562, std:6.87585973739624
Iter:17, max:1011.080078125, mean:987.602294921875, min:963.2427978515625, std:7.002411365509033
Iter:18, max:1005.3963012695312, mean:984.237548828125, min:948.7183837890625, std:9.037353515625
Iter:19, max:1010.08056640625, mean:985.662109375, min:958.8477783203125, std:8.6119384765625
Iter:20, max:1006.4910278320312, mean:985.91845703125, min:941.3869018554688, std:9.075334548950195
Iter:21, max:999.8359375, mean:984.1994018554688, min:953.7611694335938, std:8.076730728149414
Iter:22, max:1010.7078247070312, mean:985.1900634765625, min:954.1405639648438, std:10.550281524658203
Iter:23, max:1041.4415283203125, mean:981.296142578125, min:933.5340576171875, std:11.803182601928711
Iter:24, max:1024.3056640625, mean:982.570068359375, min:937.6295166015625, std:11.891458511352539
Iter:25, max:1009.5929565429688, mean:982.4754028320312, min:918.3046875, std:13.01404857635498
Iter:26, max:1009.3688354492188, mean:977.9521484375, min:917.853271484375, std:13.992444038391113
Iter:27, max:1013.3580322265625, mean:980.5635986328125, min:934.36083984375, std:13.465287208557129
Iter:28, max:1021.9581298828125, mean:978.0508422851562, min:931.7479858398438, std:13.494497299194336
Iter:29, max:1006.8250122070312, mean:972.9310302734375, min:897.4298095703125, std:17.922338485717773
Iter:30, max:1021.980224609375, mean:975.00244140625, min:880.533203125, std:21.312795639038086
