Iter:0, max:1002.656494140625, mean:994.2605590820312, min:980.0880737304688, std:4.295828342437744
Iter:1, max:999.2216796875, mean:988.9642333984375, min:976.5993041992188, std:4.556120872497559
Iter:2, max:1003.0186767578125, mean:993.7733764648438, min:977.4847412109375, std:4.075907230377197
Iter:3, max:1004.267578125, mean:994.4818115234375, min:979.1275024414062, std:4.551299571990967
Iter:4, max:1002.6763305664062, mean:992.4653930664062, min:965.6817626953125, std:5.187679767608643
Iter:5, max:1003.4815063476562, mean:992.962646484375, min:970.3927001953125, std:4.923117637634277
Iter:6, max:1005.0230712890625, mean:992.085693359375, min:972.5462036132812, std:5.6180195808410645
Iter:7, max:1005.08642578125, mean:993.7903442382812, min:976.9669799804688, std:5.577444076538086
Iter:8, max:1002.01123046875, mean:991.3352661132812, min:971.3902587890625, std:5.290837287902832
Iter:9, max:1004.2155151367188, mean:992.9195556640625, min:977.4417724609375, std:5.218560695648193
Iter:10, max:1002.41748046875, mean:991.8228759765625, min:973.901611328125, std:5.161795616149902
Iter:11, max:1003.2222290039062, mean:991.6378173828125, min:969.3095703125, std:5.587146282196045
Iter:12, max:1002.2059326171875, mean:991.379638671875, min:967.9203491210938, std:5.244657516479492
Iter:13, max:1002.8331909179688, mean:989.6024169921875, min:970.032958984375, std:6.290329933166504
Iter:14, max:1020.9890747070312, mean:990.4052124023438, min:961.89208984375, std:7.0373029708862305
Iter:15, max:1007.3733520507812, mean:987.52734375, min:956.6790771484375, std:7.024715900421143
Iter:16, max:1002.2630615234375, mean:987.6387329101562, min:945.33349609375, std:6.876955986022949
Iter:17, max:1009.6803588867188, mean:985.8357543945312, min:959.6329956054688, std:7.4750823974609375
Iter:18, max:1002.912109375, mean:983.6617431640625, min:955.8059692382812, std:7.792956829071045
Iter:19, max:1018.6962280273438, mean:984.97119140625, min:945.6817016601562, std:9.525336265563965
Iter:20, max:1016.5477905273438, mean:984.388916015625, min:952.9786376953125, std:9.121277809143066
Iter:21, max:1007.7232666015625, mean:981.4339599609375, min:946.5090942382812, std:8.85045051574707
Iter:22, max:1005.040771484375, mean:981.4208984375, min:946.9139404296875, std:9.655783653259277
Iter:23, max:1029.4490966796875, mean:979.4715576171875, min:943.61474609375, std:10.987241744995117
Iter:24, max:1006.5361328125, mean:979.7205810546875, min:933.9550170898438, std:11.610560417175293
Iter:25, max:1049.7569580078125, mean:980.6640625, min:928.3759765625, std:14.469736099243164
Iter:26, max:1099.9017333984375, mean:978.454345703125, min:929.9571533203125, std:16.263713836669922
Iter:27, max:1025.1473388671875, mean:976.4669189453125, min:890.24462890625, std:14.39584732055664
Iter:28, max:1074.23876953125, mean:975.54833984375, min:922.3607788085938, std:16.25963020324707
Iter:29, max:1086.123046875, mean:973.0301513671875, min:933.1614379882812, std:17.1404972076416
Iter:30, max:1044.5009765625, mean:971.98974609375, min:55.01154708862305, std:59.91617202758789
Iter:31, max:1085.45947265625, mean:972.215576171875, min:910.2908325195312, std:18.619028091430664
Iter:32, max:1047.9364013671875, mean:971.316650390625, min:897.663330078125, std:18.68860626220703
