Iter:0, max:1002.7532958984375, mean:993.8929443359375, min:976.9515380859375, std:4.431963920593262
Iter:1, max:999.9172973632812, mean:988.8331298828125, min:971.0390014648438, std:4.852985858917236
Iter:2, max:1003.9489135742188, mean:993.4822387695312, min:974.718505859375, std:4.467563629150391
Iter:3, max:1005.5930786132812, mean:994.1363525390625, min:977.1632080078125, std:4.577665328979492
Iter:4, max:1003.478271484375, mean:992.2169189453125, min:968.8323364257812, std:5.296660900115967
Iter:5, max:1003.9468994140625, mean:992.6422119140625, min:973.68798828125, std:4.978196620941162
Iter:6, max:1003.3494262695312, mean:993.6051025390625, min:968.6337280273438, std:5.137135028839111
Iter:7, max:1005.7369384765625, mean:994.1597900390625, min:973.2897338867188, std:4.951323986053467
Iter:8, max:1003.7363891601562, mean:992.5316162109375, min:972.4302368164062, std:4.906869411468506
Iter:9, max:1003.5082397460938, mean:992.643310546875, min:974.469970703125, std:5.038843631744385
Iter:10, max:1002.1817626953125, mean:991.6234130859375, min:964.0068359375, std:5.441102981567383
Iter:11, max:1003.6281127929688, mean:992.4851684570312, min:965.818115234375, std:4.925533294677734
Iter:12, max:1005.0863647460938, mean:992.0040893554688, min:974.6209106445312, std:5.3517303466796875
Iter:13, max:1002.2844848632812, mean:991.1978759765625, min:973.5824584960938, std:5.4768829345703125
Iter:14, max:1003.9384155273438, mean:991.6551513671875, min:958.7888793945312, std:5.8905229568481445
Iter:15, max:1019.2449951171875, mean:990.1757202148438, min:966.9810791015625, std:5.947603702545166
Iter:16, max:1015.6819458007812, mean:989.6361694335938, min:955.6439819335938, std:6.394604206085205
Iter:17, max:1002.7507934570312, mean:988.7642822265625, min:962.1773681640625, std:6.434421062469482
Iter:18, max:1001.5186157226562, mean:986.534423828125, min:944.361572265625, std:7.356409549713135
Iter:19, max:1002.5235595703125, mean:986.8135986328125, min:955.169677734375, std:7.416388988494873
Iter:20, max:1017.0718383789062, mean:988.1510620117188, min:935.129638671875, std:8.075729370117188
Iter:21, max:1071.799072265625, mean:984.3073120117188, min:946.7760620117188, std:9.488737106323242
Iter:22, max:1021.9979248046875, mean:986.8967895507812, min:931.6900634765625, std:8.869650840759277
Iter:23, max:1054.9342041015625, mean:983.4611206054688, min:953.9549560546875, std:9.2205228805542
Iter:24, max:1011.8153686523438, mean:984.3675537109375, min:950.494384765625, std:8.556833267211914
Iter:25, max:1027.931884765625, mean:986.4010009765625, min:942.51611328125, std:9.770009994506836
Iter:26, max:1012.611572265625, mean:982.1608276367188, min:926.0556640625, std:10.09735107421875
Iter:27, max:1007.0496215820312, mean:982.361572265625, min:937.60791015625, std:10.181849479675293
Iter:28, max:1020.099853515625, mean:979.2010498046875, min:924.8120727539062, std:11.267890930175781
Iter:29, max:1016.8892822265625, mean:977.0992431640625, min:910.2316284179688, std:12.127533912658691
Iter:30, max:1035.6976318359375, mean:980.5513916015625, min:920.877197265625, std:12.043155670166016
Iter:31, max:1029.68408203125, mean:979.625244140625, min:923.1897583007812, std:12.595806121826172
Iter:32, max:1019.2919921875, mean:975.994384765625, min:921.6660766601562, std:13.564682006835938
Iter:33, max:1019.1864013671875, mean:980.7288208007812, min:899.82861328125, std:13.913918495178223
Iter:34, max:1057.5804443359375, mean:977.1965942382812, min:913.9874267578125, std:14.80620288848877
Iter:35, max:1091.1728515625, mean:975.6466674804688, min:917.0849609375, std:15.931156158447266
Iter:36, max:1040.40576171875, mean:970.0790405273438, min:67.35277557373047, std:43.48310470581055
Iter:37, max:1041.6405029296875, mean:977.00048828125, min:909.5191650390625, std:15.426078796386719
Iter:38, max:1033.3441162109375, mean:972.800048828125, min:877.1569213867188, std:17.076980590820312
Iter:39, max:1032.8885498046875, mean:972.671142578125, min:871.5303344726562, std:18.887195587158203
Iter:40, max:1073.677734375, mean:972.9349975585938, min:829.1868896484375, std:22.33558464050293
Iter:41, max:1055.943359375, mean:972.77685546875, min:881.1494140625, std:19.662498474121094
Iter:42, max:1056.430419921875, mean:972.4085693359375, min:883.0744018554688, std:20.211557388305664
Iter:43, max:1052.17578125, mean:973.8883056640625, min:864.9368896484375, std:19.981502532958984
Iter:44, max:1161.24560546875, mean:972.9057006835938, min:863.3223266601562, std:24.75932502746582
Iter:45, max:1092.0040283203125, mean:975.2981567382812, min:892.7484130859375, std:23.980060577392578
Iter:46, max:1239.9810791015625, mean:976.2843017578125, min:848.878173828125, std:30.112743377685547
Iter:47, max:1092.4637451171875, mean:972.0606689453125, min:880.4236450195312, std:23.56806755065918
Iter:48, max:1122.8375244140625, mean:972.520263671875, min:74.07545471191406, std:94.07147979736328
Iter:49, max:1200.8572998046875, mean:981.1709594726562, min:882.5623168945312, std:32.44255065917969
Iter:50, max:1201.2880859375, mean:982.8477783203125, min:887.3092651367188, std:33.146724700927734
Iter:51, max:1165.8795166015625, mean:986.2127685546875, min:864.0205688476562, std:36.50502014160156
Iter:52, max:1208.92529296875, mean:989.031005859375, min:880.0921020507812, std:41.728431701660156
Iter:53, max:1236.1539306640625, mean:989.4158325195312, min:824.65673828125, std:45.62542724609375
Iter:54, max:1214.00341796875, mean:991.702392578125, min:812.3646240234375, std:49.43242645263672
Iter:55, max:1245.6005859375, mean:1000.0350341796875, min:802.6138305664062, std:51.48959732055664
Iter:56, max:1215.5943603515625, mean:1004.8228149414062, min:863.3694458007812, std:57.829097747802734
Iter:57, max:1294.0931396484375, mean:1008.703857421875, min:834.4256591796875, std:66.12859344482422
Iter:58, max:1455.448486328125, mean:1011.8825073242188, min:779.9594116210938, std:70.60564422607422
Iter:59, max:1316.95654296875, mean:1013.353759765625, min:789.03125, std:78.30797576904297
Iter:60, max:1397.9090576171875, mean:1015.67822265625, min:489.76556396484375, std:90.09262084960938
Iter:61, max:1414.6917724609375, mean:1021.097412109375, min:757.30078125, std:87.64411163330078
Iter:62, max:1422.2528076171875, mean:1022.7586669921875, min:660.3441772460938, std:98.90608978271484
Iter:63, max:1455.4180908203125, mean:1034.073974609375, min:399.3966979980469, std:114.98920440673828
Iter:64, max:1374.2945556640625, mean:1020.3507080078125, min:163.57015991210938, std:116.12825012207031
Iter:65, max:1486.3714599609375, mean:1035.004150390625, min:157.05796813964844, std:131.1862030029297
Iter:66, max:1521.08837890625, mean:1033.4556884765625, min:340.68096923828125, std:138.4438934326172
Iter:67, max:1499.4979248046875, mean:1039.9620361328125, min:94.4996337890625, std:146.62217712402344
Iter:68, max:1553.7938232421875, mean:1036.875732421875, min:307.3811950683594, std:157.28408813476562
Iter:69, max:1565.9376220703125, mean:1031.090087890625, min:109.7227554321289, std:178.6658172607422
Iter:70, max:1617.9412841796875, mean:1032.981689453125, min:378.73828125, std:176.5664520263672
Iter:71, max:1595.747314453125, mean:1026.918212890625, min:163.00271606445312, std:202.6573486328125
Iter:72, max:1653.10595703125, mean:1023.06884765625, min:316.5104064941406, std:195.65896606445312
Iter:73, max:1535.2945556640625, mean:1000.8052368164062, min:76.56497955322266, std:212.89840698242188
Iter:74, max:1631.234130859375, mean:1024.52294921875, min:363.7297058105469, std:207.99717712402344
Iter:75, max:1553.9617919921875, mean:1021.7376708984375, min:229.69105529785156, std:211.23422241210938
Iter:76, max:1562.7486572265625, mean:995.9736328125, min:139.91525268554688, std:217.1775360107422
Iter:77, max:1467.8902587890625, mean:1003.0966796875, min:168.44154357910156, std:209.96392822265625
Iter:78, max:1572.6123046875, mean:1018.5234375, min:141.99497985839844, std:201.1699981689453
Iter:79, max:1525.3861083984375, mean:1019.1798095703125, min:83.3072509765625, std:215.28846740722656
Iter:80, max:1505.7559814453125, mean:1008.869140625, min:246.53309631347656, std:215.6168670654297
Iter:81, max:1657.0845947265625, mean:1026.85888671875, min:253.15281677246094, std:212.6324005126953
Iter:82, max:1528.77099609375, mean:1025.517333984375, min:149.33888244628906, std:203.59329223632812
Iter:83, max:1518.649658203125, mean:1045.16552734375, min:116.29388427734375, std:207.1985626220703
Iter:84, max:1530.7940673828125, mean:1051.63818359375, min:310.69677734375, std:199.09478759765625
Iter:85, max:1489.35546875, mean:1055.201171875, min:71.29280853271484, std:198.4901580810547
Iter:86, max:1651.946044921875, mean:1063.915771484375, min:80.58907318115234, std:201.7859649658203
Iter:87, max:1632.775146484375, mean:1065.971923828125, min:460.6022644042969, std:179.10670471191406
Iter:88, max:1498.1650390625, mean:1046.634033203125, min:221.7130584716797, std:199.7866668701172
Iter:89, max:1645.639892578125, mean:1078.953857421875, min:169.36500549316406, std:179.93984985351562
Iter:90, max:1432.66552734375, mean:1055.77880859375, min:143.48667907714844, std:176.3335723876953
Iter:91, max:1525.94970703125, mean:1068.28173828125, min:192.94044494628906, std:180.27333068847656
Iter:92, max:1434.6453857421875, mean:1062.6025390625, min:585.1197509765625, std:160.34889221191406
Iter:93, max:1457.932373046875, mean:1083.407958984375, min:349.7377624511719, std:164.2262725830078
Iter:94, max:1471.2750244140625, mean:1084.591552734375, min:58.03363037109375, std:176.9547119140625
Iter:95, max:1533.2188720703125, mean:1074.7550048828125, min:144.70140075683594, std:178.5181884765625
Iter:96, max:1623.390625, mean:1078.05859375, min:472.35174560546875, std:160.19100952148438
Iter:97, max:1450.66455078125, mean:1085.03173828125, min:84.0994644165039, std:168.3300018310547
Iter:98, max:1549.4149169921875, mean:1097.012939453125, min:597.2105712890625, std:164.1324005126953
Iter:99, max:1520.5684814453125, mean:1093.01513671875, min:50.13351821899414, std:186.0405731201172
