Total time, 1679.51s, 100.00%
	,Train time, 1604.17s, 95.51%
	,	,Evaluation time, 1602.75s, 99.91%
	,	,Ask time, 1.03s, 0.06%
	,	,Tell time, 0.40s, 0.02%
	,Test time, 75.17s, 4.48%
	,Logging time, 0.08s, 0.00%
	,Writing time, 0.08s, 0.00%
Iter:0, train:27.85s, eval:99%, ask:1%, tell:1%
Iter:1, train:16.00s, eval:100%, ask:0%, tell:0%
Iter:2, train:15.87s, eval:100%, ask:0%, tell:0%
Iter:3, train:15.88s, eval:100%, ask:0%, tell:0%
Iter:4, train:15.89s, eval:100%, ask:0%, tell:0%
Iter:5, train:15.94s, eval:100%, ask:0%, tell:0%
Iter:6, train:15.65s, eval:100%, ask:0%, tell:0%
Iter:7, train:15.78s, eval:100%, ask:0%, tell:0%
Iter:8, train:15.95s, eval:100%, ask:0%, tell:0%
Iter:9, train:15.92s, eval:100%, ask:0%, tell:0%
Iter:10, train:15.98s, eval:100%, ask:0%, tell:0%
Iter:11, train:15.88s, eval:100%, ask:0%, tell:0%
Iter:12, train:15.83s, eval:100%, ask:0%, tell:0%
Iter:13, train:15.81s, eval:100%, ask:0%, tell:0%
Iter:14, train:15.94s, eval:100%, ask:0%, tell:0%
Iter:15, train:15.86s, eval:100%, ask:0%, tell:0%
Iter:16, train:15.95s, eval:100%, ask:0%, tell:0%
Iter:17, train:15.74s, eval:100%, ask:0%, tell:0%
Iter:18, train:15.97s, eval:100%, ask:0%, tell:0%
Iter:19, train:15.97s, eval:100%, ask:0%, tell:0%
Iter:20, train:15.84s, eval:100%, ask:0%, tell:0%
Iter:21, train:15.70s, eval:100%, ask:0%, tell:0%
Iter:22, train:15.83s, eval:100%, ask:0%, tell:0%
Iter:23, train:16.06s, eval:100%, ask:0%, tell:0%
Iter:24, train:16.01s, eval:100%, ask:0%, tell:0%
Iter:25, train:16.06s, eval:100%, ask:0%, tell:0%
Iter:26, train:16.01s, eval:100%, ask:0%, tell:0%
Iter:27, train:15.92s, eval:100%, ask:0%, tell:0%
Iter:28, train:15.89s, eval:100%, ask:0%, tell:0%
Iter:29, train:15.98s, eval:100%, ask:0%, tell:0%
Iter:30, train:15.79s, eval:100%, ask:0%, tell:0%
Iter:31, train:15.79s, eval:100%, ask:0%, tell:0%
Iter:32, train:15.79s, eval:100%, ask:0%, tell:0%
Iter:33, train:15.66s, eval:100%, ask:0%, tell:0%
Iter:34, train:16.06s, eval:100%, ask:0%, tell:0%
Iter:35, train:16.10s, eval:100%, ask:0%, tell:0%
Iter:36, train:16.00s, eval:100%, ask:0%, tell:0%
Iter:37, train:15.81s, eval:100%, ask:0%, tell:0%
Iter:38, train:15.94s, eval:100%, ask:0%, tell:0%
Iter:39, train:15.94s, eval:100%, ask:0%, tell:0%
Iter:40, train:16.04s, eval:100%, ask:0%, tell:0%
Iter:41, train:16.13s, eval:100%, ask:0%, tell:0%
Iter:42, train:15.96s, eval:100%, ask:0%, tell:0%
Iter:43, train:15.92s, eval:100%, ask:0%, tell:0%
Iter:44, train:15.68s, eval:100%, ask:0%, tell:0%
Iter:45, train:15.88s, eval:100%, ask:0%, tell:0%
Iter:46, train:16.10s, eval:100%, ask:0%, tell:0%
Iter:47, train:16.02s, eval:100%, ask:0%, tell:0%
Iter:48, train:16.05s, eval:100%, ask:0%, tell:0%
Iter:49, train:16.05s, eval:100%, ask:0%, tell:0%
Iter:50, train:15.83s, eval:100%, ask:0%, tell:0%
Iter:51, train:15.96s, eval:100%, ask:0%, tell:0%
Iter:52, train:15.73s, eval:100%, ask:0%, tell:0%
Iter:53, train:15.73s, eval:100%, ask:0%, tell:0%
Iter:54, train:15.71s, eval:100%, ask:0%, tell:0%
Iter:55, train:15.83s, eval:100%, ask:0%, tell:0%
Iter:56, train:15.74s, eval:100%, ask:0%, tell:0%
Iter:57, train:15.78s, eval:100%, ask:0%, tell:0%
Iter:58, train:15.86s, eval:100%, ask:0%, tell:0%
Iter:59, train:15.99s, eval:100%, ask:0%, tell:0%
Iter:60, train:15.89s, eval:100%, ask:0%, tell:0%
Iter:61, train:15.83s, eval:100%, ask:0%, tell:0%
Iter:62, train:15.71s, eval:100%, ask:0%, tell:0%
Iter:63, train:15.73s, eval:100%, ask:0%, tell:0%
Iter:64, train:15.74s, eval:100%, ask:0%, tell:0%
Iter:65, train:16.11s, eval:100%, ask:0%, tell:0%
Iter:66, train:16.29s, eval:100%, ask:0%, tell:0%
Iter:67, train:15.86s, eval:100%, ask:0%, tell:0%
Iter:68, train:15.75s, eval:100%, ask:0%, tell:0%
Iter:69, train:15.72s, eval:100%, ask:0%, tell:0%
Iter:70, train:15.89s, eval:100%, ask:0%, tell:0%
Iter:71, train:16.11s, eval:100%, ask:0%, tell:0%
Iter:72, train:16.09s, eval:100%, ask:0%, tell:0%
Iter:73, train:15.97s, eval:100%, ask:0%, tell:0%
Iter:74, train:15.95s, eval:100%, ask:0%, tell:0%
Iter:75, train:16.02s, eval:100%, ask:0%, tell:0%
