Total time, 3263.74s, 100.00%
	,Train time, 3188.64s, 97.70%
	,	,Evaluation time, 3185.78s, 99.91%
	,	,Ask time, 2.24s, 0.07%
	,	,Tell time, 0.62s, 0.02%
	,Test time, 74.83s, 2.29%
	,Logging time, 0.15s, 0.00%
	,Writing time, 0.12s, 0.00%
Iter:0, train:43.51s, eval:99%, ask:0%, tell:0%
Iter:1, train:31.84s, eval:100%, ask:0%, tell:0%
Iter:2, train:31.49s, eval:100%, ask:0%, tell:0%
Iter:3, train:31.64s, eval:100%, ask:0%, tell:0%
Iter:4, train:31.83s, eval:100%, ask:0%, tell:0%
Iter:5, train:31.73s, eval:100%, ask:0%, tell:0%
Iter:6, train:31.87s, eval:100%, ask:0%, tell:0%
Iter:7, train:31.84s, eval:100%, ask:0%, tell:0%
Iter:8, train:31.79s, eval:100%, ask:0%, tell:0%
Iter:9, train:31.80s, eval:100%, ask:0%, tell:0%
Iter:10, train:31.79s, eval:100%, ask:0%, tell:0%
Iter:11, train:31.87s, eval:100%, ask:0%, tell:0%
Iter:12, train:31.72s, eval:100%, ask:0%, tell:0%
Iter:13, train:31.71s, eval:100%, ask:0%, tell:0%
Iter:14, train:31.76s, eval:100%, ask:0%, tell:0%
Iter:15, train:31.92s, eval:100%, ask:0%, tell:0%
Iter:16, train:32.02s, eval:100%, ask:0%, tell:0%
Iter:17, train:31.57s, eval:100%, ask:0%, tell:0%
Iter:18, train:31.71s, eval:100%, ask:0%, tell:0%
Iter:19, train:32.00s, eval:100%, ask:0%, tell:0%
Iter:20, train:32.00s, eval:100%, ask:0%, tell:0%
Iter:21, train:31.77s, eval:100%, ask:0%, tell:0%
Iter:22, train:31.63s, eval:100%, ask:0%, tell:0%
Iter:23, train:31.72s, eval:100%, ask:0%, tell:0%
Iter:24, train:31.79s, eval:100%, ask:0%, tell:0%
Iter:25, train:31.64s, eval:100%, ask:0%, tell:0%
Iter:26, train:31.51s, eval:100%, ask:0%, tell:0%
Iter:27, train:31.66s, eval:100%, ask:0%, tell:0%
Iter:28, train:31.68s, eval:100%, ask:0%, tell:0%
Iter:29, train:31.54s, eval:100%, ask:0%, tell:0%
Iter:30, train:31.36s, eval:100%, ask:0%, tell:0%
Iter:31, train:31.42s, eval:100%, ask:0%, tell:0%
Iter:32, train:31.85s, eval:100%, ask:0%, tell:0%
Iter:33, train:32.48s, eval:100%, ask:0%, tell:0%
Iter:34, train:31.92s, eval:100%, ask:0%, tell:0%
Iter:35, train:31.60s, eval:100%, ask:0%, tell:0%
Iter:36, train:31.53s, eval:100%, ask:0%, tell:0%
Iter:37, train:31.65s, eval:100%, ask:0%, tell:0%
Iter:38, train:31.68s, eval:100%, ask:0%, tell:0%
Iter:39, train:31.56s, eval:100%, ask:0%, tell:0%
Iter:40, train:31.84s, eval:100%, ask:0%, tell:0%
Iter:41, train:31.65s, eval:100%, ask:0%, tell:0%
Iter:42, train:31.52s, eval:100%, ask:0%, tell:0%
Iter:43, train:31.62s, eval:100%, ask:0%, tell:0%
Iter:44, train:31.63s, eval:100%, ask:0%, tell:0%
Iter:45, train:31.76s, eval:100%, ask:0%, tell:0%
Iter:46, train:31.83s, eval:100%, ask:0%, tell:0%
Iter:47, train:31.82s, eval:100%, ask:0%, tell:0%
Iter:48, train:31.75s, eval:100%, ask:0%, tell:0%
Iter:49, train:31.95s, eval:100%, ask:0%, tell:0%
Iter:50, train:31.92s, eval:100%, ask:0%, tell:0%
Iter:51, train:31.72s, eval:100%, ask:0%, tell:0%
Iter:52, train:31.84s, eval:100%, ask:0%, tell:0%
Iter:53, train:32.05s, eval:100%, ask:0%, tell:0%
Iter:54, train:31.75s, eval:100%, ask:0%, tell:0%
Iter:55, train:31.99s, eval:100%, ask:0%, tell:0%
Iter:56, train:31.93s, eval:100%, ask:0%, tell:0%
Iter:57, train:31.70s, eval:100%, ask:0%, tell:0%
Iter:58, train:31.57s, eval:100%, ask:0%, tell:0%
Iter:59, train:31.67s, eval:100%, ask:0%, tell:0%
Iter:60, train:32.22s, eval:100%, ask:0%, tell:0%
Iter:61, train:32.11s, eval:100%, ask:0%, tell:0%
Iter:62, train:32.02s, eval:100%, ask:0%, tell:0%
Iter:63, train:31.85s, eval:100%, ask:0%, tell:0%
Iter:64, train:31.97s, eval:100%, ask:0%, tell:0%
Iter:65, train:31.93s, eval:100%, ask:0%, tell:0%
Iter:66, train:31.83s, eval:100%, ask:0%, tell:0%
Iter:67, train:31.61s, eval:100%, ask:0%, tell:0%
Iter:68, train:31.79s, eval:100%, ask:0%, tell:0%
Iter:69, train:31.57s, eval:100%, ask:0%, tell:0%
Iter:70, train:31.74s, eval:100%, ask:0%, tell:0%
Iter:71, train:31.86s, eval:100%, ask:0%, tell:0%
Iter:72, train:31.87s, eval:100%, ask:0%, tell:0%
Iter:73, train:31.78s, eval:100%, ask:0%, tell:0%
Iter:74, train:31.74s, eval:100%, ask:0%, tell:0%
Iter:75, train:31.96s, eval:100%, ask:0%, tell:0%
Iter:76, train:31.68s, eval:100%, ask:0%, tell:0%
