Iter:0, max:1002.6574096679688, mean:994.26904296875, min:980.0728759765625, std:4.305426597595215
Iter:1, max:999.0747680664062, mean:988.989501953125, min:976.6783447265625, std:4.527908802032471
Iter:2, max:1002.4869384765625, mean:993.642578125, min:976.9503784179688, std:4.164238452911377
Iter:3, max:1004.333984375, mean:994.40673828125, min:979.708251953125, std:4.5687971115112305
Iter:4, max:1002.096435546875, mean:992.512451171875, min:964.7344360351562, std:5.318261623382568
Iter:5, max:1003.9358520507812, mean:992.972900390625, min:971.674072265625, std:4.924887657165527
Iter:6, max:1003.129150390625, mean:992.1981811523438, min:974.4080810546875, std:5.546974182128906
Iter:7, max:1005.03076171875, mean:993.8800048828125, min:976.6715698242188, std:5.539164066314697
Iter:8, max:1001.9814453125, mean:991.4097290039062, min:972.3464965820312, std:5.200451850891113
Iter:9, max:1004.476806640625, mean:992.923583984375, min:974.3045043945312, std:5.260584354400635
Iter:10, max:1003.4829711914062, mean:991.8468017578125, min:974.4547119140625, std:5.345913887023926
Iter:11, max:1003.5158081054688, mean:991.6514892578125, min:971.4114990234375, std:5.530697345733643
Iter:12, max:1003.6764526367188, mean:991.3416748046875, min:971.0123901367188, std:4.897800445556641
Iter:13, max:1003.10302734375, mean:989.389892578125, min:972.2142944335938, std:6.270567417144775
Iter:14, max:1010.5608520507812, mean:990.7149658203125, min:960.0747680664062, std:6.711145401000977
Iter:15, max:1002.0140991210938, mean:987.619140625, min:958.7380981445312, std:6.416904449462891
Iter:16, max:1003.8236694335938, mean:987.5321655273438, min:948.4801025390625, std:6.615303993225098
Iter:17, max:1003.13671875, mean:986.25830078125, min:951.6516723632812, std:7.171287536621094
Iter:18, max:1011.4789428710938, mean:983.667236328125, min:945.0491333007812, std:8.506345748901367
Iter:19, max:1016.3887939453125, mean:984.8026123046875, min:951.0111694335938, std:9.0056791305542
Iter:20, max:1005.2889404296875, mean:984.7514038085938, min:940.8017578125, std:8.710234642028809
Iter:21, max:1010.2120361328125, mean:982.3704833984375, min:949.8877563476562, std:8.78879165649414
Iter:22, max:1007.4818115234375, mean:981.99560546875, min:910.2183227539062, std:10.79871940612793
Iter:23, max:1008.031982421875, mean:979.3238525390625, min:919.701171875, std:10.361489295959473
Iter:24, max:1013.0203247070312, mean:979.9163208007812, min:941.2255249023438, std:11.022317886352539
Iter:25, max:1025.0760498046875, mean:981.901611328125, min:946.1121826171875, std:11.911784172058105
Iter:26, max:1028.5123291015625, mean:978.3761596679688, min:919.0931396484375, std:13.069853782653809
Iter:27, max:1012.5342407226562, mean:977.3421020507812, min:904.27392578125, std:13.891680717468262
Iter:28, max:1022.71044921875, mean:974.622802734375, min:844.1591796875, std:16.083721160888672
Iter:29, max:1053.48681640625, mean:972.1275634765625, min:893.2427978515625, std:15.643755912780762
Iter:30, max:1008.736572265625, mean:969.953369140625, min:56.21305465698242, std:59.30049133300781
Iter:31, max:1040.6160888671875, mean:972.88671875, min:894.402099609375, std:17.01266098022461
Iter:32, max:1034.002685546875, mean:972.0731201171875, min:891.095947265625, std:16.831344604492188
Iter:33, max:1058.782470703125, mean:972.4441528320312, min:903.8574829101562, std:18.992698669433594
Iter:34, max:1023.0916137695312, mean:972.9346923828125, min:842.3302001953125, std:19.703847885131836
Iter:35, max:1031.271484375, mean:970.4308471679688, min:883.1495361328125, std:17.03770637512207
Iter:36, max:1040.837158203125, mean:960.9395751953125, min:48.67361831665039, std:83.18131256103516
Iter:37, max:1046.0953369140625, mean:972.00146484375, min:862.6751708984375, std:21.83277130126953
Iter:38, max:1102.977294921875, mean:968.0210571289062, min:870.6891479492188, std:26.9398250579834
Iter:39, max:1035.3358154296875, mean:968.91748046875, min:891.2440795898438, std:21.246469497680664
Iter:40, max:1161.3350830078125, mean:968.5133666992188, min:877.1881103515625, std:26.24637794494629
Iter:41, max:1057.0577392578125, mean:963.9725341796875, min:886.0712890625, std:23.04967498779297
Iter:42, max:1107.6181640625, mean:969.8460693359375, min:835.9615478515625, std:27.8228759765625
