Iter:0, max:1002.7423706054688, mean:993.8969116210938, min:976.92431640625, std:4.435486793518066
Iter:1, max:1000.1192016601562, mean:988.8773193359375, min:971.3358154296875, std:4.851931095123291
Iter:2, max:1004.0270385742188, mean:993.5550537109375, min:974.7821044921875, std:4.4614458084106445
Iter:3, max:1004.9649047851562, mean:994.2025146484375, min:977.3832397460938, std:4.498396396636963
Iter:4, max:1003.3230590820312, mean:992.2213134765625, min:969.963134765625, std:5.332104206085205
Iter:5, max:1002.88818359375, mean:992.4697875976562, min:974.6998291015625, std:5.023199081420898
Iter:6, max:1004.1316528320312, mean:993.419921875, min:967.990478515625, std:5.186943531036377
Iter:7, max:1005.064453125, mean:994.1328125, min:972.3960571289062, std:4.8668742179870605
Iter:8, max:1003.0473022460938, mean:992.6260375976562, min:973.0209350585938, std:4.911137104034424
Iter:9, max:1002.7752685546875, mean:992.5896606445312, min:976.359619140625, std:5.045548915863037
Iter:10, max:1002.698974609375, mean:991.4820556640625, min:962.5197143554688, std:5.563026428222656
Iter:11, max:1003.2555541992188, mean:992.4476318359375, min:970.3064575195312, std:5.084563732147217
Iter:12, max:1018.803466796875, mean:992.19287109375, min:971.637939453125, std:5.452238082885742
Iter:13, max:1003.5745849609375, mean:991.0867919921875, min:971.2257690429688, std:5.511613368988037
Iter:14, max:1005.40869140625, mean:991.709228515625, min:964.9368286132812, std:5.716188430786133
Iter:15, max:1005.8157958984375, mean:990.1102905273438, min:963.3863525390625, std:5.945810317993164
Iter:16, max:1010.6398315429688, mean:989.8653564453125, min:967.1550903320312, std:6.211288928985596
Iter:17, max:1004.3339233398438, mean:988.8782958984375, min:965.3444213867188, std:6.450593948364258
Iter:18, max:1004.0645751953125, mean:987.1287841796875, min:961.1510009765625, std:7.03395414352417
Iter:19, max:1008.5030517578125, mean:987.0945434570312, min:961.9911499023438, std:7.317170143127441
Iter:20, max:1020.4188842773438, mean:988.1280517578125, min:944.9490966796875, std:7.971655368804932
