Total time, 357.58s, 100.00%
	,Train time, 329.82s, 92.24%
	,	,Evaluation time, 329.19s, 99.81%
	,	,Ask time, 0.40s, 0.12%
	,	,Tell time, 0.23s, 0.07%
	,Test time, 27.60s, 7.72%
	,Logging time, 0.13s, 0.04%
	,Writing time, 0.03s, 0.01%
Iter:0, train:43.52s, eval:99%, ask:1%, tell:0%
Iter:1, train:31.77s, eval:100%, ask:0%, tell:0%
Iter:2, train:31.92s, eval:100%, ask:0%, tell:0%
Iter:3, train:31.96s, eval:100%, ask:0%, tell:0%
Iter:4, train:31.98s, eval:100%, ask:0%, tell:0%
Iter:5, train:31.86s, eval:100%, ask:0%, tell:0%
Iter:6, train:31.83s, eval:100%, ask:0%, tell:0%
Iter:7, train:31.57s, eval:100%, ask:0%, tell:0%
Iter:8, train:31.58s, eval:100%, ask:0%, tell:0%
Iter:9, train:31.82s, eval:100%, ask:0%, tell:0%
Iter:9, test:27.60s
Iter:0, logging:0.06s
Iter:9, logging:0.07s
Iter:9, writing:0.03s
