Total time, 612.93s, 100.00%
	,Train time, 585.11s, 95.46%
	,	,Evaluation time, 584.13s, 99.83%
	,	,Ask time, 0.71s, 0.12%
	,	,Tell time, 0.26s, 0.04%
	,Test time, 27.66s, 4.51%
	,Logging time, 0.13s, 0.02%
	,Writing time, 0.03s, 0.01%
Iter:0, train:69.35s, eval:99%, ask:0%, tell:0%
Iter:1, train:57.47s, eval:100%, ask:0%, tell:0%
Iter:2, train:57.26s, eval:100%, ask:0%, tell:0%
Iter:3, train:57.64s, eval:100%, ask:0%, tell:0%
Iter:4, train:57.51s, eval:100%, ask:0%, tell:0%
Iter:5, train:57.09s, eval:100%, ask:0%, tell:0%
Iter:6, train:56.92s, eval:100%, ask:0%, tell:0%
Iter:7, train:57.10s, eval:100%, ask:0%, tell:0%
Iter:8, train:57.48s, eval:100%, ask:0%, tell:0%
Iter:9, train:57.30s, eval:100%, ask:0%, tell:0%
Iter:9, test:27.66s
Iter:0, logging:0.06s
Iter:9, logging:0.07s
Iter:9, writing:0.03s
