Iter:0, max:1003.6282958984375, mean:993.8654174804688, min:971.8040161132812, std:4.573446750640869
Iter:1, max:1000.230712890625, mean:989.10986328125, min:967.8642578125, std:4.746975898742676
Iter:2, max:1004.1270751953125, mean:993.7572021484375, min:975.3472290039062, std:4.56479549407959
Iter:3, max:1005.51611328125, mean:994.2041015625, min:967.5142211914062, std:4.913867473602295
Iter:4, max:1003.41943359375, mean:992.751708984375, min:966.4110717773438, std:4.971709728240967
Iter:5, max:1003.574951171875, mean:992.7748413085938, min:967.9281616210938, std:5.266754150390625
Iter:6, max:1005.1161499023438, mean:992.8778076171875, min:971.7677001953125, std:5.1463303565979
Iter:7, max:1004.8990478515625, mean:993.9759521484375, min:970.0540161132812, std:5.023710250854492
Iter:8, max:1002.694091796875, mean:991.8385009765625, min:964.7039794921875, std:5.293356418609619
Iter:9, max:1004.2637329101562, mean:992.5632934570312, min:974.1880493164062, std:5.266538619995117
Iter:10, max:1003.0313720703125, mean:991.1116943359375, min:960.8472290039062, std:5.755189418792725
Iter:11, max:1003.6575927734375, mean:991.7488403320312, min:969.3898315429688, std:5.453952312469482
Iter:12, max:1005.5673828125, mean:992.1536865234375, min:968.1983642578125, std:5.54234504699707
Iter:13, max:1005.1832885742188, mean:991.2117919921875, min:966.0307006835938, std:5.8165130615234375
Iter:14, max:1005.434814453125, mean:991.2674560546875, min:962.3593139648438, std:5.937299728393555
Iter:15, max:1005.8468017578125, mean:989.299560546875, min:959.97705078125, std:6.387994289398193
Iter:16, max:1004.0692138671875, mean:989.6806640625, min:961.4771728515625, std:6.429161071777344
Iter:17, max:1013.4406127929688, mean:988.6359252929688, min:953.5819702148438, std:7.191831588745117
Iter:18, max:1015.4130249023438, mean:987.1085205078125, min:958.8494262695312, std:6.726257801055908
Iter:19, max:1008.791259765625, mean:987.484130859375, min:922.8737182617188, std:7.4249773025512695
Iter:20, max:1029.484130859375, mean:988.9012451171875, min:938.810791015625, std:8.304698944091797
Iter:21, max:1032.3134765625, mean:985.26416015625, min:939.790283203125, std:8.093849182128906
Iter:22, max:1022.4607543945312, mean:988.450927734375, min:949.123291015625, std:7.779117584228516
Iter:23, max:1019.3544311523438, mean:985.13525390625, min:920.413330078125, std:8.330008506774902
