Iter:0, max:1001.4678344726562, mean:993.4632568359375, min:981.5322875976562, std:4.4018940925598145
Iter:1, max:999.1676635742188, mean:988.557861328125, min:971.301025390625, std:4.607474327087402
Iter:2, max:1002.0787353515625, mean:994.4998779296875, min:982.7000122070312, std:3.8793227672576904
Iter:3, max:1003.2240600585938, mean:994.5369873046875, min:977.3540649414062, std:4.406219005584717
Iter:4, max:1001.9821166992188, mean:992.785400390625, min:977.7158203125, std:5.12168025970459
Iter:5, max:1001.8120727539062, mean:992.990966796875, min:975.1705322265625, std:5.253232479095459
Iter:6, max:1002.5280151367188, mean:992.6273803710938, min:976.9844360351562, std:4.342937469482422
Iter:7, max:1006.0877685546875, mean:993.787841796875, min:976.6390991210938, std:4.881608009338379
Iter:8, max:1000.2936401367188, mean:991.0360107421875, min:979.7868041992188, std:4.649377346038818
Iter:9, max:1001.9454345703125, mean:993.7523193359375, min:975.1714477539062, std:5.196799278259277
Iter:10, max:1004.4711303710938, mean:992.13623046875, min:976.03564453125, std:4.95982027053833
Iter:11, max:1002.6351928710938, mean:992.2842407226562, min:971.3357543945312, std:5.4750871658325195
Iter:12, max:1002.614013671875, mean:992.353271484375, min:980.1015625, std:4.9162397384643555
Iter:13, max:1001.8674926757812, mean:990.3223266601562, min:969.69580078125, std:5.917741775512695
Iter:14, max:1000.4966430664062, mean:990.1749267578125, min:969.6455078125, std:5.795798301696777
Iter:15, max:1001.6050415039062, mean:989.6146240234375, min:967.0042114257812, std:6.0421671867370605
Iter:16, max:1002.2324829101562, mean:988.4345703125, min:959.1747436523438, std:7.107913494110107
Iter:17, max:1001.4718627929688, mean:988.1384887695312, min:958.0576782226562, std:7.770928859710693
Iter:18, max:1006.3931274414062, mean:984.7830810546875, min:962.0609741210938, std:7.851088047027588
Iter:19, max:1001.0831298828125, mean:986.2757568359375, min:956.6724243164062, std:7.860175132751465
Iter:20, max:1006.9570922851562, mean:986.2775268554688, min:959.0125732421875, std:8.236581802368164
Iter:21, max:1005.2376708984375, mean:983.5845336914062, min:958.8373413085938, std:8.370972633361816
Iter:22, max:1006.5357055664062, mean:984.6633911132812, min:950.40771484375, std:9.212008476257324
Iter:23, max:999.6146240234375, mean:979.52490234375, min:930.5223388671875, std:10.094032287597656
Iter:24, max:1024.1619873046875, mean:982.423583984375, min:916.9581909179688, std:11.86695671081543
Iter:25, max:1006.5157470703125, mean:981.634765625, min:932.1946411132812, std:12.866289138793945
Iter:26, max:1017.976318359375, mean:978.2130126953125, min:915.104736328125, std:12.913351058959961
Iter:27, max:1001.6586303710938, mean:978.258056640625, min:945.8735961914062, std:11.599466323852539
Iter:28, max:998.2631225585938, mean:973.78955078125, min:927.17431640625, std:13.226478576660156
Iter:29, max:1029.184326171875, mean:972.6065673828125, min:915.3360595703125, std:16.07656478881836
Iter:30, max:1000.1824951171875, mean:978.00830078125, min:934.748046875, std:13.044132232666016
