Iter:0, max:1002.656494140625, mean:994.2633056640625, min:980.0844116210938, std:4.297878265380859
Iter:1, max:999.1207275390625, mean:989.0806884765625, min:976.6040649414062, std:4.493321418762207
Iter:2, max:1003.1619262695312, mean:993.680419921875, min:977.0764770507812, std:4.097829341888428
Iter:3, max:1004.3076171875, mean:994.6154174804688, min:979.881103515625, std:4.5118408203125
Iter:4, max:1002.0994262695312, mean:992.4417114257812, min:963.4239501953125, std:5.249323844909668
Iter:5, max:1003.3477172851562, mean:992.9328002929688, min:970.9171752929688, std:4.866036415100098
Iter:6, max:1004.6065673828125, mean:992.1181640625, min:973.141845703125, std:5.6784515380859375
Iter:7, max:1005.39501953125, mean:993.7930297851562, min:976.2953491210938, std:5.48360538482666
Iter:8, max:1002.3427734375, mean:991.505126953125, min:971.8806762695312, std:5.240784168243408
Iter:9, max:1003.880859375, mean:993.031494140625, min:977.2794189453125, std:5.084020137786865
Iter:10, max:1003.362548828125, mean:991.87744140625, min:974.0994262695312, std:5.229341506958008
Iter:11, max:1003.7928466796875, mean:991.4435424804688, min:970.8624267578125, std:5.66093635559082
Iter:12, max:1003.585693359375, mean:991.5166015625, min:971.0751342773438, std:5.047095775604248
Iter:13, max:1002.298583984375, mean:989.685546875, min:970.4566650390625, std:6.182089328765869
Iter:14, max:1002.0624389648438, mean:990.59228515625, min:966.3385009765625, std:6.322453498840332
Iter:15, max:1000.7371826171875, mean:987.61572265625, min:960.4921264648438, std:6.685426235198975
Iter:16, max:1001.2114868164062, mean:987.8406372070312, min:944.0592651367188, std:7.039464950561523
Iter:17, max:1000.455078125, mean:986.1041259765625, min:959.024169921875, std:7.055203914642334
Iter:18, max:1000.845947265625, mean:983.9169921875, min:934.3436889648438, std:8.194639205932617
Iter:19, max:1004.1947631835938, mean:985.1795654296875, min:949.9905395507812, std:8.421265602111816
Iter:20, max:1008.970703125, mean:984.53271484375, min:949.450927734375, std:8.732449531555176
Iter:21, max:1001.33544921875, mean:981.518798828125, min:935.1953735351562, std:9.14404582977295
Iter:22, max:1009.0144653320312, mean:982.9017333984375, min:950.9799194335938, std:9.137048721313477
Iter:23, max:1002.1304931640625, mean:979.3408813476562, min:939.1660766601562, std:10.104971885681152
Iter:24, max:1015.501953125, mean:978.1303100585938, min:932.3204956054688, std:12.279181480407715
