Iter:0, max:1002.6674194335938, mean:993.8944091796875, min:976.3379516601562, std:4.436208724975586
Iter:1, max:1000.0035400390625, mean:988.8426513671875, min:971.2312622070312, std:4.862461566925049
Iter:2, max:1004.0794067382812, mean:993.50634765625, min:974.5743408203125, std:4.467075824737549
Iter:3, max:1004.5078125, mean:994.1636962890625, min:976.6683959960938, std:4.5272040367126465
Iter:4, max:1002.9353637695312, mean:992.25634765625, min:969.3402099609375, std:5.285628318786621
Iter:5, max:1003.9169921875, mean:992.603759765625, min:973.8616943359375, std:4.921401500701904
Iter:6, max:1004.0975341796875, mean:993.6278076171875, min:969.4963989257812, std:5.023996353149414
Iter:7, max:1005.27783203125, mean:994.255615234375, min:974.1265258789062, std:4.796359539031982
Iter:8, max:1002.3055419921875, mean:992.5784301757812, min:971.7131958007812, std:4.886007785797119
Iter:9, max:1003.797119140625, mean:992.585693359375, min:976.1571655273438, std:4.969139575958252
Iter:10, max:1002.2114868164062, mean:991.5850830078125, min:964.7577514648438, std:5.493741512298584
Iter:11, max:1003.6101684570312, mean:992.466796875, min:966.6241455078125, std:5.059714317321777
Iter:12, max:1007.720703125, mean:992.0059204101562, min:973.50927734375, std:5.454124927520752
Iter:13, max:1002.4271850585938, mean:991.1755981445312, min:973.296142578125, std:5.398682117462158
Iter:14, max:1003.2975463867188, mean:991.658447265625, min:961.264404296875, std:5.796377182006836
Iter:15, max:1003.9859619140625, mean:990.025390625, min:967.33740234375, std:5.940859794616699
Iter:16, max:1004.1658935546875, mean:989.8902587890625, min:965.9774780273438, std:6.120327949523926
Iter:17, max:1002.4463500976562, mean:988.8419189453125, min:963.0928955078125, std:6.1447906494140625
Iter:18, max:1015.72216796875, mean:986.9844970703125, min:964.056640625, std:6.901164531707764
Iter:19, max:1002.7658081054688, mean:987.0228271484375, min:961.4212036132812, std:7.457669258117676
Iter:20, max:1011.0567626953125, mean:988.1915893554688, min:933.7652587890625, std:8.130197525024414
Iter:21, max:1000.7647705078125, mean:984.170654296875, min:951.718994140625, std:8.102127075195312
Iter:22, max:1004.460693359375, mean:987.6153564453125, min:960.1453857421875, std:7.82791805267334
Iter:23, max:1011.0823364257812, mean:983.9209594726562, min:951.7560424804688, std:7.855117321014404
Iter:24, max:1010.8300170898438, mean:984.80859375, min:947.380615234375, std:8.868157386779785
Iter:25, max:1014.6064453125, mean:986.3103637695312, min:904.0447998046875, std:10.005095481872559
Iter:26, max:1013.1558227539062, mean:983.1739501953125, min:938.0397338867188, std:9.283843040466309
Iter:27, max:1021.790283203125, mean:984.416015625, min:944.7076416015625, std:10.042915344238281
Iter:28, max:1018.335693359375, mean:980.61669921875, min:940.65234375, std:10.69970417022705
Iter:29, max:1012.0596923828125, mean:979.9521484375, min:936.3175048828125, std:10.478497505187988
Iter:30, max:1029.7994384765625, mean:982.61328125, min:940.9823608398438, std:11.201955795288086
Iter:31, max:1027.5938720703125, mean:981.5703735351562, min:928.1354370117188, std:11.609121322631836
Iter:32, max:1016.8257446289062, mean:978.2900390625, min:922.981201171875, std:13.02312183380127
Iter:33, max:1017.8865966796875, mean:984.3076782226562, min:912.9796142578125, std:12.303328514099121
Iter:34, max:1052.58642578125, mean:979.6097412109375, min:906.907958984375, std:14.668488502502441
Iter:35, max:1082.8382568359375, mean:978.7293701171875, min:897.8241577148438, std:16.185951232910156
Iter:36, max:1042.9024658203125, mean:976.8558349609375, min:914.2396240234375, std:15.275486946105957
Iter:37, max:1049.396484375, mean:980.6647338867188, min:921.8427124023438, std:16.096967697143555
Iter:38, max:1072.6873779296875, mean:978.00244140625, min:881.9892578125, std:18.725616455078125
Iter:39, max:1115.626708984375, mean:980.2032470703125, min:907.7992553710938, std:19.797489166259766
Iter:40, max:1082.222900390625, mean:978.7655639648438, min:875.673095703125, std:21.455623626708984
Iter:41, max:1084.23193359375, mean:978.49365234375, min:876.02294921875, std:21.657773971557617
Iter:42, max:1170.287109375, mean:982.8221435546875, min:862.1387939453125, std:27.702268600463867
Iter:43, max:1127.4635009765625, mean:982.0455322265625, min:828.8684692382812, std:28.80507469177246
Iter:44, max:1100.9803466796875, mean:980.095703125, min:869.173095703125, std:30.51875877380371
Iter:45, max:1189.5836181640625, mean:987.3778076171875, min:849.119384765625, std:33.67027282714844
Iter:46, max:1208.645751953125, mean:987.509765625, min:821.4937744140625, std:40.37767791748047
Iter:47, max:1306.6029052734375, mean:987.1995849609375, min:819.8989868164062, std:43.43907928466797
Iter:48, max:1227.30517578125, mean:994.1737670898438, min:58.27988052368164, std:66.20337677001953
Iter:49, max:1198.2767333984375, mean:996.413818359375, min:763.7435302734375, std:54.29011154174805
Iter:50, max:1251.7410888671875, mean:998.947265625, min:797.0794067382812, std:61.28575897216797
Iter:51, max:1202.4449462890625, mean:999.7781982421875, min:794.6522827148438, std:67.58460998535156
Iter:52, max:1324.617919921875, mean:995.1964111328125, min:711.0201416015625, std:78.14649963378906
Iter:53, max:1262.2493896484375, mean:998.76416015625, min:736.1055297851562, std:80.94316101074219
Iter:54, max:1342.5791015625, mean:996.9813232421875, min:674.0962524414062, std:88.27722930908203
Iter:55, max:1344.0919189453125, mean:1005.87890625, min:549.1217651367188, std:98.85548400878906
Iter:56, max:1464.795166015625, mean:1009.381103515625, min:625.3133544921875, std:116.7221450805664
Iter:57, max:1417.2950439453125, mean:1002.59423828125, min:614.6217651367188, std:112.43189239501953
Iter:58, max:1360.734130859375, mean:1010.3853759765625, min:65.77461242675781, std:130.6748809814453
Iter:59, max:1462.9859619140625, mean:1025.0760498046875, min:640.8375244140625, std:130.620361328125
Iter:60, max:1444.9158935546875, mean:1022.396240234375, min:320.1656494140625, std:141.15687561035156
Iter:61, max:1401.3597412109375, mean:1022.6571044921875, min:547.555908203125, std:133.37899780273438
Iter:62, max:1446.4180908203125, mean:1027.758544921875, min:406.57537841796875, std:143.19180297851562
Iter:63, max:1452.678955078125, mean:1027.6846923828125, min:517.4926147460938, std:148.8675994873047
Iter:64, max:1438.6136474609375, mean:1034.1328125, min:574.4227905273438, std:141.78460693359375
Iter:65, max:1471.272705078125, mean:1037.797119140625, min:522.5968627929688, std:158.35597229003906
Iter:66, max:1453.7333984375, mean:1036.3642578125, min:507.9832458496094, std:160.44703674316406
Iter:67, max:1524.9302978515625, mean:1045.409423828125, min:313.455322265625, std:157.36871337890625
Iter:68, max:1506.6363525390625, mean:1050.3612060546875, min:548.9644165039062, std:160.47515869140625
Iter:69, max:1480.733154296875, mean:1046.259765625, min:440.4411315917969, std:164.09292602539062
Iter:70, max:1504.83984375, mean:1053.9053955078125, min:476.09503173828125, std:170.1351318359375
Iter:71, max:1450.46630859375, mean:1063.62890625, min:254.64077758789062, std:177.0614013671875
Iter:72, max:1535.9306640625, mean:1057.1845703125, min:546.5670776367188, std:165.0521697998047
Iter:73, max:1453.8243408203125, mean:1044.492431640625, min:477.3531188964844, std:160.45628356933594
Iter:74, max:1551.9862060546875, mean:1072.64111328125, min:574.9292602539062, std:154.14593505859375
Iter:75, max:1494.23779296875, mean:1071.7779541015625, min:116.4935073852539, std:168.3455047607422
Iter:76, max:1523.24755859375, mean:1070.1246337890625, min:431.2451477050781, std:146.32424926757812
Iter:77, max:1639.819091796875, mean:1071.452392578125, min:103.3528060913086, std:165.3653106689453
Iter:78, max:1471.7984619140625, mean:1089.033203125, min:625.3814086914062, std:140.8480987548828
Iter:79, max:1511.55810546875, mean:1077.756591796875, min:458.46240234375, std:162.18170166015625
Iter:80, max:1649.82421875, mean:1090.92626953125, min:393.46405029296875, std:153.55093383789062
Iter:81, max:1463.819580078125, mean:1094.1485595703125, min:103.2343978881836, std:160.40890502929688
Iter:82, max:1542.48388671875, mean:1087.6143798828125, min:87.30393981933594, std:157.7882537841797
Iter:83, max:1525.6849365234375, mean:1115.555419921875, min:537.1573486328125, std:150.926513671875
Iter:84, max:1550.023681640625, mean:1109.64697265625, min:460.70166015625, std:156.7020721435547
Iter:85, max:1474.8572998046875, mean:1114.625732421875, min:76.83360290527344, std:154.37124633789062
Iter:86, max:1653.23193359375, mean:1125.1373291015625, min:372.7054748535156, std:151.67189025878906
Iter:87, max:1526.8426513671875, mean:1129.2181396484375, min:184.3955841064453, std:162.6660614013672
Iter:88, max:1547.2119140625, mean:1130.365966796875, min:642.1266479492188, std:151.3243408203125
Iter:89, max:1596.17822265625, mean:1148.17041015625, min:289.1251525878906, std:160.3916473388672
Iter:90, max:1576.37060546875, mean:1164.45751953125, min:495.3432922363281, std:146.00570678710938
Iter:91, max:1620.6778564453125, mean:1170.99267578125, min:603.2341918945312, std:159.01388549804688
Iter:92, max:1598.772705078125, mean:1166.072021484375, min:119.79685974121094, std:170.82656860351562
Iter:93, max:1668.0045166015625, mean:1197.186767578125, min:525.9202270507812, std:164.35260009765625
Iter:94, max:1528.3046875, mean:1190.7662353515625, min:530.1754150390625, std:166.08119201660156
Iter:95, max:1589.5877685546875, mean:1192.677734375, min:601.0927124023438, std:160.03639221191406
Iter:96, max:1614.6522216796875, mean:1215.417724609375, min:622.663818359375, std:173.3673095703125
Iter:97, max:1663.03759765625, mean:1200.0494384765625, min:520.3496704101562, std:172.4684600830078
Iter:98, max:1748.2762451171875, mean:1218.3778076171875, min:589.4215698242188, std:178.73748779296875
Iter:99, max:1636.7823486328125, mean:1221.2154541015625, min:573.5944213867188, std:177.82376098632812
