Total time, 1541.59s, 100.00%
	,Train time, 1498.98s, 97.24%
	,	,Evaluation time, 1496.37s, 99.83%
	,	,Ask time, 2.00s, 0.13%
	,	,Tell time, 0.60s, 0.04%
	,Test time, 42.39s, 2.75%
	,Logging time, 0.22s, 0.01%
	,Writing time, 0.00s, 0.00%
Iter:0, train:169.53s, eval:100%, ask:0%, tell:0%
Iter:1, train:147.57s, eval:100%, ask:0%, tell:0%
Iter:2, train:147.30s, eval:100%, ask:0%, tell:0%
Iter:3, train:147.64s, eval:100%, ask:0%, tell:0%
Iter:4, train:147.63s, eval:100%, ask:0%, tell:0%
Iter:5, train:147.12s, eval:100%, ask:0%, tell:0%
Iter:6, train:148.88s, eval:100%, ask:0%, tell:0%
Iter:7, train:147.58s, eval:100%, ask:0%, tell:0%
Iter:8, train:147.95s, eval:100%, ask:0%, tell:0%
Iter:9, train:147.80s, eval:100%, ask:0%, tell:0%
Iter:9, test:42.39s
Iter:0, logging:0.10s
Iter:9, logging:0.11s
Iter:9, writing:0.00s
