Iter:0, max:1003.628173828125, mean:993.8630981445312, min:971.712890625, std:4.574881076812744
Iter:1, max:999.7998046875, mean:989.1099853515625, min:968.2310791015625, std:4.732399940490723
Iter:2, max:1003.8579711914062, mean:993.7686767578125, min:975.8406982421875, std:4.541189193725586
Iter:3, max:1004.6484985351562, mean:994.233642578125, min:967.879150390625, std:4.926027297973633
Iter:4, max:1003.4140625, mean:992.7374877929688, min:967.9560546875, std:5.010656356811523
Iter:5, max:1003.9391479492188, mean:992.8717041015625, min:967.497314453125, std:5.276401996612549
Iter:6, max:1004.5521240234375, mean:992.9266357421875, min:970.9415893554688, std:5.09425163269043
Iter:7, max:1005.085693359375, mean:994.0050048828125, min:968.8881225585938, std:4.9653544425964355
Iter:8, max:1002.2432861328125, mean:991.88720703125, min:964.8091430664062, std:5.230831623077393
Iter:9, max:1005.2539672851562, mean:992.61669921875, min:972.8014526367188, std:5.364570617675781
Iter:10, max:1004.5455932617188, mean:991.1799926757812, min:960.4638061523438, std:5.801110744476318
Iter:11, max:1004.9932250976562, mean:991.9072875976562, min:966.0608520507812, std:5.497847557067871
Iter:12, max:1005.8980712890625, mean:992.2425537109375, min:967.0296630859375, std:5.626952648162842
Iter:13, max:1004.0100708007812, mean:991.401123046875, min:965.8352661132812, std:5.758853435516357
Iter:14, max:1010.8786010742188, mean:991.3976440429688, min:961.73876953125, std:5.91874361038208
Iter:15, max:1010.9228515625, mean:989.3929443359375, min:963.4171142578125, std:6.343410968780518
Iter:16, max:1005.3335571289062, mean:989.9141845703125, min:963.75927734375, std:6.470725059509277
Iter:17, max:1003.4730224609375, mean:988.8963623046875, min:954.1807861328125, std:6.837260723114014
Iter:18, max:1015.9925537109375, mean:987.3648681640625, min:951.5784912109375, std:6.966543197631836
Iter:19, max:1020.904052734375, mean:988.0059204101562, min:952.8749389648438, std:7.364260673522949
Iter:20, max:1035.223876953125, mean:989.3858642578125, min:943.3544921875, std:8.210488319396973
Iter:21, max:1016.0617065429688, mean:985.5647583007812, min:945.2339477539062, std:7.9078450202941895
Iter:22, max:1066.2750244140625, mean:988.6900634765625, min:944.9447021484375, std:8.669914245605469
Iter:23, max:1048.0184326171875, mean:985.46533203125, min:915.3084716796875, std:9.155586242675781
Iter:24, max:1034.8360595703125, mean:986.6677856445312, min:931.5850219726562, std:9.253494262695312
Iter:25, max:1023.9860229492188, mean:989.0789794921875, min:949.3328857421875, std:9.43171215057373
Iter:26, max:1042.53955078125, mean:985.6127319335938, min:921.436767578125, std:10.949295997619629
Iter:27, max:1046.500244140625, mean:985.7508544921875, min:917.4586181640625, std:11.992731094360352
Iter:28, max:1029.276123046875, mean:983.5613403320312, min:908.7897338867188, std:11.407458305358887
Iter:29, max:1030.7579345703125, mean:982.467529296875, min:924.0275268554688, std:11.66390323638916
Iter:30, max:1099.548095703125, mean:987.5685424804688, min:908.462158203125, std:14.440797805786133
Iter:31, max:1104.8294677734375, mean:985.587890625, min:923.6419067382812, std:15.209993362426758
Iter:32, max:1095.6041259765625, mean:983.6614990234375, min:703.224365234375, std:18.831745147705078
