Total time, 257.59s, 100.00%
	,Train time, 218.87s, 84.97%
	,	,Evaluation time, 218.05s, 99.63%
	,	,Ask time, 0.42s, 0.19%
	,	,Tell time, 0.40s, 0.18%
	,Test time, 38.61s, 14.99%
	,Logging time, 0.11s, 0.04%
	,Writing time, 0.00s, 0.00%
Iter:0, train:41.74s, eval:98%, ask:1%, tell:1%
Iter:1, train:20.62s, eval:100%, ask:0%, tell:0%
Iter:2, train:19.57s, eval:100%, ask:0%, tell:0%
Iter:3, train:20.18s, eval:100%, ask:0%, tell:0%
Iter:4, train:19.17s, eval:100%, ask:0%, tell:0%
Iter:5, train:19.50s, eval:100%, ask:0%, tell:0%
Iter:6, train:19.93s, eval:100%, ask:0%, tell:0%
Iter:7, train:18.98s, eval:100%, ask:0%, tell:0%
Iter:8, train:19.63s, eval:100%, ask:0%, tell:0%
Iter:9, train:19.55s, eval:100%, ask:0%, tell:0%
Iter:9, test:38.61s
Iter:0, logging:0.11s
