Total time, 2271.63s, 100.00%
	,Train time, 2168.56s, 95.46%
	,	,Evaluation time, 2166.50s, 99.91%
	,	,Ask time, 1.42s, 0.07%
	,	,Tell time, 0.64s, 0.03%
	,Test time, 102.94s, 4.53%
	,Logging time, 0.13s, 0.01%
	,Writing time, 0.00s, 0.00%
Iter:0, train:40.30s, eval:99%, ask:1%, tell:1%
Iter:1, train:21.29s, eval:100%, ask:0%, tell:0%
Iter:2, train:21.48s, eval:100%, ask:0%, tell:0%
Iter:3, train:20.78s, eval:100%, ask:0%, tell:0%
Iter:4, train:21.47s, eval:100%, ask:0%, tell:0%
Iter:5, train:21.51s, eval:100%, ask:0%, tell:0%
Iter:6, train:20.86s, eval:100%, ask:0%, tell:0%
Iter:7, train:21.05s, eval:100%, ask:0%, tell:0%
Iter:8, train:21.63s, eval:100%, ask:0%, tell:0%
Iter:9, train:21.09s, eval:100%, ask:0%, tell:0%
Iter:10, train:21.44s, eval:100%, ask:0%, tell:0%
Iter:11, train:21.60s, eval:100%, ask:0%, tell:0%
Iter:12, train:21.10s, eval:100%, ask:0%, tell:0%
Iter:13, train:21.66s, eval:100%, ask:0%, tell:0%
Iter:14, train:21.52s, eval:100%, ask:0%, tell:0%
Iter:15, train:21.17s, eval:100%, ask:0%, tell:0%
Iter:16, train:21.56s, eval:100%, ask:0%, tell:0%
Iter:17, train:21.29s, eval:100%, ask:0%, tell:0%
Iter:18, train:21.09s, eval:100%, ask:0%, tell:0%
Iter:19, train:21.61s, eval:100%, ask:0%, tell:0%
Iter:20, train:21.12s, eval:100%, ask:0%, tell:0%
Iter:21, train:21.14s, eval:100%, ask:0%, tell:0%
Iter:22, train:21.31s, eval:100%, ask:0%, tell:0%
Iter:23, train:21.05s, eval:100%, ask:0%, tell:0%
Iter:24, train:21.52s, eval:100%, ask:0%, tell:0%
Iter:25, train:21.42s, eval:100%, ask:0%, tell:0%
Iter:26, train:21.55s, eval:100%, ask:0%, tell:0%
Iter:27, train:21.00s, eval:100%, ask:0%, tell:0%
Iter:28, train:21.33s, eval:100%, ask:0%, tell:0%
Iter:29, train:21.57s, eval:100%, ask:0%, tell:0%
Iter:30, train:21.08s, eval:100%, ask:0%, tell:0%
Iter:31, train:21.42s, eval:100%, ask:0%, tell:0%
Iter:32, train:21.28s, eval:100%, ask:0%, tell:0%
Iter:33, train:21.02s, eval:100%, ask:0%, tell:0%
Iter:34, train:21.71s, eval:100%, ask:0%, tell:0%
Iter:35, train:21.45s, eval:100%, ask:0%, tell:0%
Iter:36, train:21.21s, eval:100%, ask:0%, tell:0%
Iter:37, train:21.74s, eval:100%, ask:0%, tell:0%
Iter:38, train:21.79s, eval:100%, ask:0%, tell:0%
Iter:39, train:21.12s, eval:100%, ask:0%, tell:0%
Iter:40, train:22.01s, eval:100%, ask:0%, tell:0%
Iter:41, train:21.96s, eval:100%, ask:0%, tell:0%
Iter:42, train:21.32s, eval:100%, ask:0%, tell:0%
Iter:43, train:21.54s, eval:100%, ask:0%, tell:0%
Iter:44, train:21.72s, eval:100%, ask:0%, tell:0%
Iter:45, train:21.24s, eval:100%, ask:0%, tell:0%
Iter:46, train:21.83s, eval:100%, ask:0%, tell:0%
Iter:47, train:21.73s, eval:100%, ask:0%, tell:0%
Iter:48, train:21.23s, eval:100%, ask:0%, tell:0%
Iter:49, train:21.70s, eval:100%, ask:0%, tell:0%
Iter:50, train:21.60s, eval:100%, ask:0%, tell:0%
Iter:51, train:21.78s, eval:100%, ask:0%, tell:0%
Iter:52, train:22.01s, eval:100%, ask:0%, tell:0%
Iter:53, train:21.08s, eval:100%, ask:0%, tell:0%
Iter:54, train:22.02s, eval:100%, ask:0%, tell:0%
Iter:55, train:21.61s, eval:100%, ask:0%, tell:0%
Iter:56, train:21.03s, eval:100%, ask:0%, tell:0%
Iter:57, train:21.25s, eval:100%, ask:0%, tell:0%
Iter:58, train:21.50s, eval:100%, ask:0%, tell:0%
Iter:59, train:21.12s, eval:100%, ask:0%, tell:0%
Iter:60, train:21.46s, eval:100%, ask:0%, tell:0%
Iter:61, train:21.31s, eval:100%, ask:0%, tell:0%
Iter:62, train:21.21s, eval:100%, ask:0%, tell:0%
Iter:63, train:21.67s, eval:100%, ask:0%, tell:0%
Iter:64, train:21.75s, eval:100%, ask:0%, tell:0%
Iter:65, train:21.31s, eval:100%, ask:0%, tell:0%
Iter:66, train:21.86s, eval:100%, ask:0%, tell:0%
Iter:67, train:21.63s, eval:100%, ask:0%, tell:0%
Iter:68, train:21.15s, eval:100%, ask:0%, tell:0%
Iter:69, train:21.81s, eval:100%, ask:0%, tell:0%
Iter:70, train:21.97s, eval:100%, ask:0%, tell:0%
Iter:71, train:21.23s, eval:100%, ask:0%, tell:0%
Iter:72, train:21.54s, eval:100%, ask:0%, tell:0%
Iter:73, train:21.74s, eval:100%, ask:0%, tell:0%
Iter:74, train:21.27s, eval:100%, ask:0%, tell:0%
Iter:75, train:21.91s, eval:100%, ask:0%, tell:0%
Iter:76, train:21.39s, eval:100%, ask:0%, tell:0%
Iter:77, train:21.89s, eval:100%, ask:0%, tell:0%
Iter:78, train:21.93s, eval:100%, ask:0%, tell:0%
