Iter:0, max:1001.4046630859375, mean:993.4646606445312, min:981.546142578125, std:4.409820556640625
Iter:1, max:999.0676879882812, mean:988.6365966796875, min:971.5263061523438, std:4.60481071472168
Iter:2, max:1002.4185180664062, mean:994.486572265625, min:982.3330078125, std:3.9862582683563232
Iter:3, max:1003.7225341796875, mean:994.4345703125, min:977.253173828125, std:4.390368938446045
Iter:4, max:1002.1310424804688, mean:992.8847045898438, min:980.1737670898438, std:5.083069801330566
Iter:5, max:1002.5934448242188, mean:993.0208740234375, min:975.7898559570312, std:5.157956123352051
Iter:6, max:1002.7869262695312, mean:992.5623779296875, min:978.4004516601562, std:4.383262634277344
Iter:7, max:1005.0665893554688, mean:993.9050903320312, min:977.2431030273438, std:4.862788677215576
Iter:8, max:1000.4616088867188, mean:991.118896484375, min:974.86767578125, std:4.8062968254089355
Iter:9, max:1002.5043334960938, mean:993.649169921875, min:978.4479370117188, std:4.9042863845825195
Iter:10, max:1002.3886108398438, mean:992.0640869140625, min:975.03662109375, std:5.132700443267822
Iter:11, max:1003.12451171875, mean:992.2685546875, min:975.7273559570312, std:5.249494552612305
Iter:12, max:1001.9257202148438, mean:992.38134765625, min:978.582763671875, std:4.922502040863037
Iter:13, max:1001.6419067382812, mean:990.6759033203125, min:968.6221923828125, std:5.647680759429932
Iter:14, max:1003.4268798828125, mean:990.2501220703125, min:972.2154541015625, std:5.907090187072754
Iter:15, max:1001.6781005859375, mean:989.7288208007812, min:965.6710815429688, std:6.415711879730225
Iter:16, max:1003.880615234375, mean:988.2763671875, min:959.2679443359375, std:7.016844272613525
Iter:17, max:1003.5233154296875, mean:987.9022827148438, min:964.8753662109375, std:7.380087375640869
Iter:18, max:997.4119262695312, mean:984.8192138671875, min:966.8231201171875, std:7.270383358001709
Iter:19, max:1001.0596313476562, mean:985.5394287109375, min:952.5654296875, std:8.329848289489746
Iter:20, max:1018.6268310546875, mean:985.3231201171875, min:960.0901489257812, std:9.96548843383789
Iter:21, max:995.7195434570312, mean:982.307861328125, min:927.5155639648438, std:10.230552673339844
Iter:22, max:1009.8773803710938, mean:984.7269287109375, min:950.5325317382812, std:9.349578857421875
Iter:23, max:1024.0579833984375, mean:980.2875366210938, min:940.232421875, std:11.54614543914795
Iter:24, max:1006.8877563476562, mean:982.614013671875, min:953.1253662109375, std:8.800381660461426
Iter:25, max:1003.8588256835938, mean:981.77783203125, min:922.014892578125, std:12.280289649963379
Iter:26, max:999.8894653320312, mean:978.8033447265625, min:909.9231567382812, std:13.123624801635742
Iter:27, max:1016.7787475585938, mean:978.7662353515625, min:943.76416015625, std:12.275821685791016
Iter:28, max:1003.1170043945312, mean:975.0328369140625, min:922.7487182617188, std:13.396997451782227
Iter:29, max:994.5930786132812, mean:970.8075561523438, min:927.484619140625, std:13.638408660888672
Iter:30, max:1026.74658203125, mean:976.4934692382812, min:935.5038452148438, std:14.083516120910645
Iter:31, max:1004.4559326171875, mean:971.524658203125, min:922.41015625, std:13.905099868774414
Iter:32, max:1038.4373779296875, mean:970.4368896484375, min:915.0935668945312, std:17.482046127319336
Iter:33, max:1015.6238403320312, mean:971.27783203125, min:925.4635620117188, std:16.157867431640625
Iter:34, max:1006.8846435546875, mean:971.0388793945312, min:927.2754516601562, std:17.207151412963867
Iter:35, max:1015.3399658203125, mean:963.067138671875, min:875.8325805664062, std:20.35633659362793
Iter:36, max:1014.3517456054688, mean:965.68505859375, min:882.9030151367188, std:20.050384521484375
Iter:37, max:1016.018798828125, mean:961.9374389648438, min:690.94091796875, std:30.8964900970459
