Total time, 4177.01s, 100.00%
	,Train time, 4073.14s, 97.51%
	,	,Evaluation time, 4068.48s, 99.89%
	,	,Ask time, 3.60s, 0.09%
	,	,Tell time, 1.07s, 0.03%
	,Test time, 103.61s, 2.48%
	,Logging time, 0.26s, 0.01%
	,Writing time, 0.00s, 0.00%
Iter:0, train:60.93s, eval:99%, ask:1%, tell:1%
Iter:1, train:40.06s, eval:100%, ask:0%, tell:0%
Iter:2, train:39.74s, eval:100%, ask:0%, tell:0%
Iter:3, train:40.13s, eval:100%, ask:0%, tell:0%
Iter:4, train:39.59s, eval:100%, ask:0%, tell:0%
Iter:5, train:39.34s, eval:100%, ask:0%, tell:0%
Iter:6, train:40.66s, eval:100%, ask:0%, tell:0%
Iter:7, train:40.29s, eval:100%, ask:0%, tell:0%
Iter:8, train:40.43s, eval:100%, ask:0%, tell:0%
Iter:9, train:39.82s, eval:100%, ask:0%, tell:0%
Iter:10, train:40.22s, eval:100%, ask:0%, tell:0%
Iter:11, train:40.68s, eval:100%, ask:0%, tell:0%
Iter:12, train:39.74s, eval:100%, ask:0%, tell:0%
Iter:13, train:40.65s, eval:100%, ask:0%, tell:0%
Iter:14, train:41.38s, eval:100%, ask:0%, tell:0%
Iter:15, train:40.65s, eval:100%, ask:0%, tell:0%
Iter:16, train:40.95s, eval:100%, ask:0%, tell:0%
Iter:17, train:41.26s, eval:100%, ask:0%, tell:0%
Iter:18, train:41.82s, eval:100%, ask:0%, tell:0%
Iter:19, train:40.56s, eval:100%, ask:0%, tell:0%
Iter:20, train:40.63s, eval:100%, ask:0%, tell:0%
Iter:21, train:40.21s, eval:100%, ask:0%, tell:0%
Iter:22, train:40.39s, eval:100%, ask:0%, tell:0%
Iter:23, train:39.53s, eval:100%, ask:0%, tell:0%
Iter:24, train:39.67s, eval:100%, ask:0%, tell:0%
Iter:25, train:40.43s, eval:100%, ask:0%, tell:0%
Iter:26, train:39.70s, eval:100%, ask:0%, tell:0%
Iter:27, train:40.43s, eval:100%, ask:0%, tell:0%
Iter:28, train:40.29s, eval:100%, ask:0%, tell:0%
Iter:29, train:39.49s, eval:100%, ask:0%, tell:0%
Iter:30, train:40.38s, eval:100%, ask:0%, tell:0%
Iter:31, train:42.25s, eval:100%, ask:0%, tell:0%
Iter:32, train:40.73s, eval:100%, ask:0%, tell:0%
Iter:33, train:40.82s, eval:100%, ask:0%, tell:0%
Iter:34, train:40.93s, eval:100%, ask:0%, tell:0%
Iter:35, train:40.39s, eval:100%, ask:0%, tell:0%
Iter:36, train:40.00s, eval:100%, ask:0%, tell:0%
Iter:37, train:40.10s, eval:100%, ask:0%, tell:0%
Iter:38, train:40.95s, eval:100%, ask:0%, tell:0%
Iter:39, train:39.55s, eval:100%, ask:0%, tell:0%
Iter:40, train:39.67s, eval:100%, ask:0%, tell:0%
Iter:41, train:40.01s, eval:100%, ask:0%, tell:0%
Iter:42, train:40.38s, eval:100%, ask:0%, tell:0%
Iter:43, train:40.57s, eval:100%, ask:0%, tell:0%
Iter:44, train:39.83s, eval:100%, ask:0%, tell:0%
Iter:45, train:40.00s, eval:100%, ask:0%, tell:0%
Iter:46, train:40.78s, eval:100%, ask:0%, tell:0%
Iter:47, train:40.34s, eval:100%, ask:0%, tell:0%
Iter:48, train:40.07s, eval:100%, ask:0%, tell:0%
Iter:49, train:41.02s, eval:100%, ask:0%, tell:0%
Iter:50, train:40.12s, eval:100%, ask:0%, tell:0%
Iter:51, train:40.34s, eval:100%, ask:0%, tell:0%
Iter:52, train:40.99s, eval:100%, ask:0%, tell:0%
Iter:53, train:41.24s, eval:100%, ask:0%, tell:0%
Iter:54, train:41.25s, eval:100%, ask:0%, tell:0%
Iter:55, train:40.10s, eval:100%, ask:0%, tell:0%
Iter:56, train:40.89s, eval:100%, ask:0%, tell:0%
Iter:57, train:39.83s, eval:100%, ask:0%, tell:0%
Iter:58, train:39.54s, eval:100%, ask:0%, tell:0%
Iter:59, train:39.82s, eval:100%, ask:0%, tell:0%
Iter:60, train:40.97s, eval:100%, ask:0%, tell:0%
Iter:61, train:41.02s, eval:100%, ask:0%, tell:0%
Iter:62, train:41.19s, eval:100%, ask:0%, tell:0%
Iter:63, train:41.60s, eval:100%, ask:0%, tell:0%
Iter:64, train:42.97s, eval:100%, ask:0%, tell:0%
Iter:65, train:42.18s, eval:100%, ask:0%, tell:0%
Iter:66, train:41.14s, eval:100%, ask:0%, tell:0%
Iter:67, train:42.52s, eval:100%, ask:0%, tell:0%
Iter:68, train:42.72s, eval:100%, ask:0%, tell:0%
