Iter:0, max:1002.6686401367188, mean:994.2724609375, min:980.11376953125, std:4.304098606109619
Iter:1, max:999.0830688476562, mean:988.948974609375, min:971.199951171875, std:4.644158840179443
Iter:2, max:1002.7686157226562, mean:993.6324462890625, min:977.6229858398438, std:4.104247093200684
Iter:3, max:1004.6531372070312, mean:994.4269409179688, min:980.33544921875, std:4.488984107971191
Iter:4, max:1002.1297607421875, mean:992.5135498046875, min:964.6061401367188, std:5.254088401794434
Iter:5, max:1004.2655639648438, mean:992.9301147460938, min:971.0072631835938, std:4.8610382080078125
Iter:6, max:1004.5950927734375, mean:992.1928100585938, min:974.4229736328125, std:5.464387893676758
Iter:7, max:1006.42626953125, mean:993.8848876953125, min:976.4947509765625, std:5.510416507720947
Iter:8, max:1001.9307250976562, mean:991.374267578125, min:972.1557006835938, std:5.199145793914795
Iter:9, max:1004.6085815429688, mean:993.075439453125, min:973.896728515625, std:5.1119561195373535
Iter:10, max:1003.04736328125, mean:991.7660522460938, min:975.1370849609375, std:5.284869194030762
Iter:11, max:1003.4984741210938, mean:991.6622314453125, min:973.6912841796875, std:5.52957820892334
Iter:12, max:1003.9161987304688, mean:991.66259765625, min:966.8840942382812, std:5.298731803894043
Iter:13, max:1002.1575317382812, mean:989.53125, min:971.0750732421875, std:6.287268161773682
Iter:14, max:1003.4632568359375, mean:990.7584228515625, min:963.3164672851562, std:6.355421543121338
Iter:15, max:1004.7827758789062, mean:987.618896484375, min:960.3386840820312, std:6.757386207580566
Iter:16, max:1021.8040771484375, mean:987.5530395507812, min:945.6788940429688, std:7.208132743835449
Iter:17, max:1002.3466796875, mean:985.7691650390625, min:955.6051025390625, std:7.097352027893066
Iter:18, max:1002.29443359375, mean:983.5599975585938, min:951.0385131835938, std:7.764191150665283
Iter:19, max:1016.4359130859375, mean:984.8760375976562, min:956.5791625976562, std:8.748093605041504
Iter:20, max:1009.2239379882812, mean:984.781982421875, min:951.5704345703125, std:8.45400333404541
Iter:21, max:1001.504150390625, mean:981.8426513671875, min:945.130126953125, std:8.922992706298828
Iter:22, max:1003.92138671875, mean:982.3399658203125, min:951.5594482421875, std:9.337063789367676
Iter:23, max:999.733642578125, mean:978.7635498046875, min:946.4199829101562, std:9.586338996887207
Iter:24, max:1009.3220825195312, mean:979.2969360351562, min:939.3793334960938, std:10.596881866455078
Iter:25, max:1014.9041748046875, mean:980.9178466796875, min:947.6119995117188, std:11.179193496704102
Iter:26, max:1020.138916015625, mean:977.6060791015625, min:918.9022827148438, std:12.950201988220215
Iter:27, max:1005.5905151367188, mean:975.4915161132812, min:920.22314453125, std:14.51390266418457
Iter:28, max:1041.8126220703125, mean:975.3567504882812, min:914.0267944335938, std:13.784480094909668
Iter:29, max:1015.5868530273438, mean:971.6876220703125, min:911.5270385742188, std:15.559183120727539
Iter:30, max:1013.397216796875, mean:974.1455688476562, min:890.3888549804688, std:15.045650482177734
Iter:31, max:1057.930908203125, mean:971.8916625976562, min:906.9805297851562, std:18.06181526184082
Iter:32, max:1018.1526489257812, mean:971.928955078125, min:889.8521118164062, std:16.08244514465332
Iter:33, max:1038.0986328125, mean:973.4683227539062, min:920.9642333984375, std:17.725746154785156
Iter:34, max:1041.131591796875, mean:970.7708129882812, min:879.066162109375, std:18.699705123901367
Iter:35, max:1052.4249267578125, mean:967.2653198242188, min:900.5819091796875, std:18.55816078186035
Iter:36, max:1065.006103515625, mean:967.57275390625, min:878.34814453125, std:19.62146759033203
Iter:37, max:1104.845458984375, mean:970.1470947265625, min:889.950439453125, std:20.908937454223633
Iter:38, max:1023.061767578125, mean:967.0703125, min:884.8497924804688, std:20.505027770996094
Iter:39, max:1101.1826171875, mean:968.7633666992188, min:883.0216674804688, std:23.28232192993164
Iter:40, max:1071.3048095703125, mean:966.0433349609375, min:858.0648193359375, std:25.273880004882812
Iter:41, max:1061.880859375, mean:962.0739135742188, min:435.878173828125, std:39.98567581176758
Iter:42, max:1085.145751953125, mean:968.08447265625, min:891.1632080078125, std:22.84429359436035
Iter:43, max:1023.6818237304688, mean:964.923095703125, min:845.5438842773438, std:25.372577667236328
Iter:44, max:1055.2286376953125, mean:963.9857177734375, min:884.1549072265625, std:26.17892837524414
Iter:45, max:1104.6939697265625, mean:964.9771728515625, min:680.2989501953125, std:33.77827835083008
Iter:46, max:1095.4239501953125, mean:963.446044921875, min:348.5943603515625, std:47.29966354370117
Iter:47, max:1216.9344482421875, mean:966.1559448242188, min:765.1211547851562, std:36.651329040527344
Iter:48, max:1103.6644287109375, mean:965.6672973632812, min:62.165809631347656, std:68.80448150634766
Iter:49, max:1106.9776611328125, mean:965.9721069335938, min:867.625, std:34.14279556274414
Iter:50, max:1138.4808349609375, mean:967.18603515625, min:839.9950561523438, std:38.27216720581055
Iter:51, max:1194.364990234375, mean:967.5771484375, min:832.9137573242188, std:41.964324951171875
Iter:52, max:1208.6400146484375, mean:969.3302612304688, min:849.7138061523438, std:42.10820388793945
Iter:53, max:1216.6656494140625, mean:968.6346435546875, min:714.7701416015625, std:49.964603424072266
Iter:54, max:1152.51904296875, mean:971.6634521484375, min:789.3406372070312, std:43.725894927978516
Iter:55, max:1226.1259765625, mean:972.6142578125, min:131.9370574951172, std:78.73838806152344
Iter:56, max:1186.5509033203125, mean:970.919189453125, min:763.938720703125, std:54.082000732421875
Iter:57, max:1198.830078125, mean:979.7139892578125, min:708.0985107421875, std:60.21089553833008
Iter:58, max:1242.0748291015625, mean:970.1087646484375, min:388.43890380859375, std:80.04228973388672
Iter:59, max:1275.353271484375, mean:966.8963012695312, min:694.9898071289062, std:68.37476348876953
Iter:60, max:1205.7728271484375, mean:979.007568359375, min:783.4940185546875, std:70.91421508789062
Iter:61, max:1317.128662109375, mean:969.251953125, min:724.3026123046875, std:78.90172576904297
Iter:62, max:1270.39453125, mean:969.69091796875, min:389.3229064941406, std:81.6274185180664
Iter:63, max:1328.1627197265625, mean:975.0230712890625, min:679.85986328125, std:90.4810562133789
Iter:64, max:1333.597412109375, mean:977.6668701171875, min:512.132080078125, std:90.15103912353516
Iter:65, max:1257.7442626953125, mean:966.2945556640625, min:51.34660339355469, std:105.6470947265625
Iter:66, max:1388.265869140625, mean:979.1864624023438, min:651.4880981445312, std:97.19171905517578
Iter:67, max:1302.44482421875, mean:975.2830810546875, min:659.1532592773438, std:98.16712951660156
Iter:68, max:1339.696533203125, mean:974.3695068359375, min:659.8732299804688, std:108.97222137451172
Iter:69, max:1409.192626953125, mean:985.3619384765625, min:596.3526000976562, std:107.9757308959961
Iter:70, max:1364.5474853515625, mean:991.2854614257812, min:633.8587646484375, std:113.15856170654297
Iter:71, max:1243.500732421875, mean:982.6712646484375, min:522.2565307617188, std:116.84040069580078
Iter:72, max:1241.0213623046875, mean:980.12646484375, min:638.541259765625, std:104.87440490722656
Iter:73, max:1380.65478515625, mean:980.4613037109375, min:614.0307006835938, std:119.53318786621094
Iter:74, max:1339.099609375, mean:974.50537109375, min:353.94866943359375, std:131.50779724121094
Iter:75, max:1335.1168212890625, mean:981.8006591796875, min:337.9185485839844, std:138.17335510253906
Iter:76, max:1296.7705078125, mean:991.2257080078125, min:137.3787384033203, std:129.8163299560547
Iter:77, max:1485.2052001953125, mean:999.1511840820312, min:567.921875, std:128.73870849609375
Iter:78, max:1430.065673828125, mean:1001.4110717773438, min:548.6199340820312, std:133.59262084960938
Iter:79, max:1331.1907958984375, mean:979.34619140625, min:552.1857299804688, std:136.21961975097656
Iter:80, max:1433.3951416015625, mean:999.4976196289062, min:471.2981872558594, std:147.42787170410156
Iter:81, max:1393.8037109375, mean:1001.0035400390625, min:84.36058807373047, std:146.1387939453125
Iter:82, max:1338.3553466796875, mean:1012.4154052734375, min:447.8521423339844, std:133.1603546142578
Iter:83, max:1342.1072998046875, mean:1007.2747802734375, min:476.4543151855469, std:152.1165008544922
Iter:84, max:1408.2840576171875, mean:1016.1575927734375, min:643.2418212890625, std:134.36993408203125
Iter:85, max:1400.131103515625, mean:1008.887451171875, min:140.8066864013672, std:169.2934112548828
Iter:86, max:1340.09326171875, mean:1016.5069580078125, min:192.87689208984375, std:158.80865478515625
Iter:87, max:1353.461181640625, mean:1038.341064453125, min:616.343017578125, std:136.33493041992188
Iter:88, max:1558.578857421875, mean:1032.330810546875, min:669.8353271484375, std:147.80654907226562
Iter:89, max:1420.09619140625, mean:1047.020751953125, min:586.8467407226562, std:143.46878051757812
Iter:90, max:1385.5318603515625, mean:1046.322509765625, min:304.01983642578125, std:159.6234588623047
Iter:91, max:1385.625732421875, mean:1060.71044921875, min:194.3627471923828, std:152.63717651367188
Iter:92, max:1470.7825927734375, mean:1061.7301025390625, min:673.7293090820312, std:146.0352020263672
Iter:93, max:1458.1727294921875, mean:1061.947998046875, min:598.7943115234375, std:157.4907989501953
Iter:94, max:1531.16064453125, mean:1048.205322265625, min:458.48980712890625, std:171.8305206298828
Iter:95, max:1412.7640380859375, mean:1089.968505859375, min:435.97662353515625, std:152.97276306152344
Iter:96, max:1372.3858642578125, mean:1077.4566650390625, min:428.1309814453125, std:162.02479553222656
Iter:97, max:1499.565673828125, mean:1072.210205078125, min:222.19154357910156, std:171.0831756591797
Iter:98, max:1366.5540771484375, mean:1072.9853515625, min:130.1704864501953, std:173.84400939941406
Iter:99, max:1390.5352783203125, mean:1085.729736328125, min:413.4585266113281, std:161.90733337402344
