Total time, 779.00s, 100.00%
	,Train time, 738.81s, 94.84%
	,	,Evaluation time, 737.43s, 99.81%
	,	,Ask time, 0.95s, 0.13%
	,	,Tell time, 0.44s, 0.06%
	,Test time, 39.96s, 5.13%
	,Logging time, 0.22s, 0.03%
	,Writing time, 0.00s, 0.00%
Iter:0, train:90.56s, eval:99%, ask:0%, tell:0%
Iter:1, train:71.38s, eval:100%, ask:0%, tell:0%
Iter:2, train:70.54s, eval:100%, ask:0%, tell:0%
Iter:3, train:71.47s, eval:100%, ask:0%, tell:0%
Iter:4, train:72.84s, eval:100%, ask:0%, tell:0%
Iter:5, train:72.05s, eval:100%, ask:0%, tell:0%
Iter:6, train:72.01s, eval:100%, ask:0%, tell:0%
Iter:7, train:72.44s, eval:100%, ask:0%, tell:0%
Iter:8, train:73.25s, eval:100%, ask:0%, tell:0%
Iter:9, train:72.28s, eval:100%, ask:0%, tell:0%
Iter:9, test:39.96s
Iter:0, logging:0.10s
Iter:9, logging:0.12s
Iter:9, writing:0.00s
