Total time, 7984.61s, 100.00%
	,Train time, 7874.24s, 98.62%
	,	,Evaluation time, 7865.52s, 99.89%
	,	,Ask time, 6.97s, 0.09%
	,	,Tell time, 1.76s, 0.02%
	,Test time, 110.11s, 1.38%
	,Logging time, 0.26s, 0.00%
	,Writing time, 0.00s, 0.00%
Iter:0, train:97.81s, eval:99%, ask:0%, tell:0%
Iter:1, train:79.03s, eval:100%, ask:0%, tell:0%
Iter:2, train:78.18s, eval:100%, ask:0%, tell:0%
Iter:3, train:78.80s, eval:100%, ask:0%, tell:0%
Iter:4, train:78.22s, eval:100%, ask:0%, tell:0%
Iter:5, train:77.94s, eval:100%, ask:0%, tell:0%
Iter:6, train:77.27s, eval:100%, ask:0%, tell:0%
Iter:7, train:77.59s, eval:100%, ask:0%, tell:0%
Iter:8, train:78.57s, eval:100%, ask:0%, tell:0%
Iter:9, train:78.62s, eval:100%, ask:0%, tell:0%
Iter:10, train:78.80s, eval:100%, ask:0%, tell:0%
Iter:11, train:78.15s, eval:100%, ask:0%, tell:0%
Iter:12, train:77.92s, eval:100%, ask:0%, tell:0%
Iter:13, train:77.79s, eval:100%, ask:0%, tell:0%
Iter:14, train:78.41s, eval:100%, ask:0%, tell:0%
Iter:15, train:78.50s, eval:100%, ask:0%, tell:0%
Iter:16, train:80.47s, eval:100%, ask:0%, tell:0%
Iter:17, train:78.58s, eval:100%, ask:0%, tell:0%
Iter:18, train:78.11s, eval:100%, ask:0%, tell:0%
Iter:19, train:78.34s, eval:100%, ask:0%, tell:0%
Iter:20, train:77.76s, eval:100%, ask:0%, tell:0%
Iter:21, train:78.46s, eval:100%, ask:0%, tell:0%
Iter:22, train:77.69s, eval:100%, ask:0%, tell:0%
Iter:23, train:79.14s, eval:100%, ask:0%, tell:0%
Iter:24, train:80.30s, eval:100%, ask:0%, tell:0%
Iter:25, train:78.57s, eval:100%, ask:0%, tell:0%
Iter:26, train:78.36s, eval:100%, ask:0%, tell:0%
Iter:27, train:78.91s, eval:100%, ask:0%, tell:0%
Iter:28, train:79.14s, eval:100%, ask:0%, tell:0%
Iter:29, train:78.46s, eval:100%, ask:0%, tell:0%
Iter:30, train:77.80s, eval:100%, ask:0%, tell:0%
Iter:31, train:77.73s, eval:100%, ask:0%, tell:0%
Iter:32, train:77.27s, eval:100%, ask:0%, tell:0%
Iter:33, train:79.29s, eval:100%, ask:0%, tell:0%
Iter:34, train:80.81s, eval:100%, ask:0%, tell:0%
Iter:35, train:80.89s, eval:100%, ask:0%, tell:0%
Iter:36, train:79.15s, eval:100%, ask:0%, tell:0%
Iter:37, train:77.88s, eval:100%, ask:0%, tell:0%
