Iter:0, max:1002.6690673828125, mean:993.8881225585938, min:977.0094604492188, std:4.432577610015869
Iter:1, max:1000.3765258789062, mean:988.849853515625, min:971.140869140625, std:4.84501314163208
Iter:2, max:1004.14794921875, mean:993.5458984375, min:975.0827026367188, std:4.445432662963867
Iter:3, max:1004.37890625, mean:994.177978515625, min:977.0626220703125, std:4.468022346496582
Iter:4, max:1003.5891723632812, mean:992.2789306640625, min:970.6681518554688, std:5.291503429412842
Iter:5, max:1003.2086181640625, mean:992.599609375, min:973.4828491210938, std:5.016842365264893
Iter:6, max:1003.9232788085938, mean:993.5096435546875, min:971.56591796875, std:5.135383129119873
Iter:7, max:1005.3304443359375, mean:994.1859130859375, min:973.5900268554688, std:4.863030910491943
Iter:8, max:1002.3785400390625, mean:992.481201171875, min:972.0498046875, std:4.881201267242432
Iter:9, max:1002.9133911132812, mean:992.583984375, min:975.0791625976562, std:5.093201160430908
Iter:10, max:1002.537841796875, mean:991.5443115234375, min:964.9674682617188, std:5.42714786529541
Iter:11, max:1003.3269653320312, mean:992.571533203125, min:966.4558715820312, std:5.047412395477295
Iter:12, max:1006.8875122070312, mean:992.1405029296875, min:972.1535034179688, std:5.351911544799805
Iter:13, max:1002.8297729492188, mean:991.0938110351562, min:974.9288330078125, std:5.268406391143799
Iter:14, max:1004.3521728515625, mean:991.6174926757812, min:962.2721557617188, std:5.821673393249512
Iter:15, max:1003.1392822265625, mean:989.9051513671875, min:964.4209594726562, std:5.661894798278809
Iter:16, max:1016.5075073242188, mean:989.639404296875, min:963.0145263671875, std:6.410562038421631
Iter:17, max:1003.5690307617188, mean:988.7643432617188, min:963.6221313476562, std:6.343132019042969
Iter:18, max:1003.4764404296875, mean:986.699462890625, min:956.1385498046875, std:6.887757301330566
Iter:19, max:1006.0606079101562, mean:986.7098388671875, min:952.4136352539062, std:7.5724358558654785
Iter:20, max:1017.6505126953125, mean:988.0101318359375, min:937.9334716796875, std:8.050825119018555
Iter:21, max:999.466064453125, mean:983.91943359375, min:927.7451782226562, std:8.76181411743164
Iter:22, max:1008.7738647460938, mean:986.6361083984375, min:956.259521484375, std:8.354714393615723
Iter:23, max:1006.4058227539062, mean:982.8652954101562, min:913.3482055664062, std:9.029802322387695
Iter:24, max:1001.2689819335938, mean:983.8143310546875, min:934.9737548828125, std:9.061408996582031
Iter:25, max:1007.7883911132812, mean:985.6630249023438, min:905.3801879882812, std:9.84085464477539
Iter:26, max:1017.6983032226562, mean:982.3192138671875, min:936.525634765625, std:10.178671836853027
Iter:27, max:1020.0936279296875, mean:982.7010498046875, min:928.1095581054688, std:11.020661354064941
Iter:28, max:1029.4573974609375, mean:980.05126953125, min:901.7047119140625, std:11.934088706970215
