Iter:0, max:1003.6309814453125, mean:993.8689575195312, min:971.80712890625, std:4.571405410766602
Iter:1, max:999.4691772460938, mean:989.09716796875, min:968.03076171875, std:4.756682872772217
Iter:2, max:1004.04345703125, mean:993.7371826171875, min:975.3711547851562, std:4.56982946395874
Iter:3, max:1005.8471069335938, mean:994.2583618164062, min:968.7689819335938, std:4.943647861480713
Iter:4, max:1003.3140258789062, mean:992.6866455078125, min:966.8171997070312, std:5.012325286865234
Iter:5, max:1005.2684936523438, mean:992.7608032226562, min:968.877685546875, std:5.207332611083984
Iter:6, max:1004.7341918945312, mean:992.8349609375, min:972.0748901367188, std:5.176752090454102
Iter:7, max:1004.9423828125, mean:993.947265625, min:969.9007568359375, std:5.017927646636963
Iter:8, max:1003.0249633789062, mean:991.7633056640625, min:964.555419921875, std:5.356985092163086
Iter:9, max:1005.3372802734375, mean:992.4900512695312, min:973.0918579101562, std:5.321835994720459
Iter:10, max:1004.2528686523438, mean:991.1655883789062, min:960.111572265625, std:5.842206954956055
Iter:11, max:1004.8592529296875, mean:991.801513671875, min:969.8386840820312, std:5.502039432525635
Iter:12, max:1027.5113525390625, mean:992.0894165039062, min:967.4607543945312, std:5.63649845123291
Iter:13, max:1007.9547729492188, mean:991.210205078125, min:962.333251953125, std:5.843173027038574
Iter:14, max:1015.5444946289062, mean:991.1920166015625, min:960.0299072265625, std:6.052921772003174
Iter:15, max:1004.8060302734375, mean:989.2254028320312, min:964.3185424804688, std:6.200965404510498
Iter:16, max:1005.0717163085938, mean:989.6530151367188, min:965.166259765625, std:6.490938186645508
Iter:17, max:1010.9896240234375, mean:988.7108154296875, min:953.19140625, std:7.044677257537842
Iter:18, max:1015.1693115234375, mean:986.91748046875, min:956.6146240234375, std:6.683814525604248
Iter:19, max:1013.7197265625, mean:987.5308837890625, min:920.9824829101562, std:7.533086776733398
Iter:20, max:1014.2144775390625, mean:988.9886474609375, min:948.789306640625, std:7.79138708114624
Iter:21, max:1028.100830078125, mean:984.6804809570312, min:932.8246459960938, std:8.562326431274414
Iter:22, max:1017.1388549804688, mean:987.8955688476562, min:937.540771484375, std:8.511856079101562
Iter:23, max:1012.728759765625, mean:984.406005859375, min:944.7155151367188, std:8.448758125305176
Iter:24, max:1029.223388671875, mean:985.8599853515625, min:928.7476196289062, std:9.48548698425293
Iter:25, max:1022.9215698242188, mean:987.676513671875, min:927.613037109375, std:9.617353439331055
Iter:26, max:1110.8817138671875, mean:983.6827392578125, min:936.7685546875, std:11.462203979492188
Iter:27, max:1040.254150390625, mean:983.9752197265625, min:913.670166015625, std:11.052740097045898
Iter:28, max:1033.2969970703125, mean:981.9002685546875, min:919.6597290039062, std:11.640474319458008
Iter:29, max:1041.89990234375, mean:980.7113037109375, min:911.3200073242188, std:12.590216636657715
Iter:30, max:1065.5330810546875, mean:985.9232788085938, min:889.8442993164062, std:12.866098403930664
Iter:31, max:1066.6273193359375, mean:984.461181640625, min:914.2711181640625, std:13.34739875793457
Iter:32, max:1105.380859375, mean:982.351806640625, min:906.803955078125, std:15.322216033935547
Iter:33, max:1095.7801513671875, mean:989.0069580078125, min:885.5225219726562, std:17.380125045776367
Iter:34, max:1139.9744873046875, mean:987.4678955078125, min:829.9287109375, std:19.167537689208984
Iter:35, max:1190.0081787109375, mean:985.5935668945312, min:916.6682739257812, std:20.2581729888916
Iter:36, max:1198.768798828125, mean:987.2125244140625, min:906.6234130859375, std:22.46415138244629
Iter:37, max:1391.1329345703125, mean:991.2213134765625, min:849.2581787109375, std:27.015901565551758
Iter:38, max:1183.650634765625, mean:990.9794921875, min:903.9847412109375, std:27.130937576293945
Iter:39, max:1204.091552734375, mean:994.6016845703125, min:784.7224731445312, std:32.67156982421875
Iter:40, max:1252.5623779296875, mean:995.9520263671875, min:855.2300415039062, std:34.06878662109375
Iter:41, max:1208.5228271484375, mean:997.6981811523438, min:865.6781616210938, std:38.810935974121094
Iter:42, max:1239.1221923828125, mean:1003.08349609375, min:759.0154418945312, std:45.08329391479492
Iter:43, max:1253.748779296875, mean:1004.7802734375, min:61.076412200927734, std:64.20002746582031
Iter:44, max:1367.095947265625, mean:1007.4374389648438, min:648.9744262695312, std:55.154945373535156
Iter:45, max:1312.7904052734375, mean:1016.4906005859375, min:630.6942749023438, std:62.49267578125
Iter:46, max:1441.6986083984375, mean:1019.0714721679688, min:767.43017578125, std:70.88227844238281
Iter:47, max:1339.3719482421875, mean:1019.2177124023438, min:772.829833984375, std:76.71879577636719
Iter:48, max:1471.8338623046875, mean:1023.202880859375, min:60.643150329589844, std:126.8782958984375
Iter:49, max:1424.0748291015625, mean:1037.9339599609375, min:715.92431640625, std:90.1612319946289
Iter:50, max:1398.635498046875, mean:1042.013916015625, min:627.2015991210938, std:100.89690399169922
Iter:51, max:1424.4818115234375, mean:1044.239013671875, min:52.506683349609375, std:113.32637786865234
Iter:52, max:1468.0321044921875, mean:1048.20263671875, min:601.6220092773438, std:121.06585693359375
Iter:53, max:1428.9224853515625, mean:1047.220703125, min:618.9634399414062, std:127.02433013916016
Iter:54, max:1491.5772705078125, mean:1036.98876953125, min:495.6876525878906, std:143.66748046875
Iter:55, max:1741.9832763671875, mean:1054.39013671875, min:110.5203628540039, std:157.44696044921875
Iter:56, max:1502.4554443359375, mean:1046.775390625, min:307.3112487792969, std:169.45465087890625
Iter:57, max:1540.8994140625, mean:1048.5521240234375, min:117.42327880859375, std:168.74545288085938
Iter:58, max:1569.21826171875, mean:1058.133544921875, min:44.088436126708984, std:177.33294677734375
Iter:59, max:1568.66064453125, mean:1066.261962890625, min:176.5287628173828, std:191.744384765625
Iter:60, max:1584.7177734375, mean:1077.13818359375, min:73.84983825683594, std:211.5390167236328
Iter:61, max:1557.1807861328125, mean:1103.203125, min:56.121315002441406, std:197.18373107910156
Iter:62, max:1700.6527099609375, mean:1097.543701171875, min:56.601322174072266, std:206.9517364501953
Iter:63, max:1718.572998046875, mean:1101.0296630859375, min:167.64166259765625, std:203.02651977539062
Iter:64, max:1835.34326171875, mean:1127.3948974609375, min:85.00439453125, std:202.9150848388672
Iter:65, max:1669.0196533203125, mean:1116.8358154296875, min:57.773162841796875, std:225.65403747558594
Iter:66, max:1690.714111328125, mean:1123.793212890625, min:53.768402099609375, std:222.1232147216797
Iter:67, max:1742.5828857421875, mean:1121.63623046875, min:136.9226837158203, std:219.99583435058594
Iter:68, max:1770.20751953125, mean:1125.135986328125, min:69.77684783935547, std:236.69442749023438
Iter:69, max:1651.608642578125, mean:1131.0211181640625, min:80.1736068725586, std:246.1284637451172
Iter:70, max:1688.265380859375, mean:1150.09912109375, min:90.49812316894531, std:244.39389038085938
Iter:71, max:1743.904052734375, mean:1171.80517578125, min:41.35300827026367, std:250.0535430908203
Iter:72, max:1726.9581298828125, mean:1191.62890625, min:75.301513671875, std:252.19728088378906
Iter:73, max:1762.4114990234375, mean:1193.6920166015625, min:49.545433044433594, std:257.4616394042969
Iter:74, max:1959.8619384765625, mean:1224.220703125, min:75.17091369628906, std:262.8569030761719
Iter:75, max:1818.2806396484375, mean:1217.5172119140625, min:43.56674575805664, std:277.5352783203125
Iter:76, max:1804.9249267578125, mean:1227.669189453125, min:108.39746856689453, std:275.9461364746094
Iter:77, max:1733.531982421875, mean:1233.057861328125, min:-101.19617462158203, std:269.9381408691406
Iter:78, max:1881.9217529296875, mean:1239.364990234375, min:100.54820251464844, std:289.38421630859375
Iter:79, max:1828.0264892578125, mean:1228.4400634765625, min:88.91166687011719, std:297.2438049316406
Iter:80, max:1958.1998291015625, mean:1244.177490234375, min:56.92234802246094, std:294.0674133300781
Iter:81, max:1963.8270263671875, mean:1255.3248291015625, min:146.13589477539062, std:281.2855529785156
Iter:82, max:1857.1925048828125, mean:1271.0357666015625, min:72.40170288085938, std:292.9931640625
Iter:83, max:1983.78955078125, mean:1287.5595703125, min:40.28480529785156, std:275.44561767578125
Iter:84, max:1924.5126953125, mean:1300.2041015625, min:126.81941223144531, std:280.552490234375
Iter:85, max:1854.5977783203125, mean:1293.5615234375, min:54.84444046020508, std:269.7782287597656
Iter:86, max:1844.562255859375, mean:1347.772216796875, min:78.62069702148438, std:254.4716796875
Iter:87, max:2194.75048828125, mean:1355.096923828125, min:89.79560089111328, std:263.1574401855469
Iter:88, max:2101.215576171875, mean:1384.123046875, min:46.820194244384766, std:267.98541259765625
Iter:89, max:1995.722412109375, mean:1376.77001953125, min:256.3049621582031, std:239.82962036132812
Iter:90, max:2000.5997314453125, mean:1399.65380859375, min:127.40992736816406, std:251.79783630371094
Iter:91, max:2074.51123046875, mean:1420.74853515625, min:63.635353088378906, std:240.9756622314453
Iter:92, max:2266.801513671875, mean:1421.478759765625, min:223.30606079101562, std:240.56834411621094
Iter:93, max:2106.29833984375, mean:1421.6768798828125, min:69.24359893798828, std:262.3507385253906
Iter:94, max:2084.945556640625, mean:1424.0478515625, min:92.72787475585938, std:260.81903076171875
Iter:95, max:2084.477294921875, mean:1436.5250244140625, min:77.7426986694336, std:262.6947021484375
Iter:96, max:2160.22216796875, mean:1466.438232421875, min:82.40516662597656, std:273.7023010253906
Iter:97, max:2071.18408203125, mean:1487.7862548828125, min:202.35498046875, std:265.1990051269531
Iter:98, max:2326.599853515625, mean:1490.703857421875, min:204.82736206054688, std:273.9793395996094
Iter:99, max:2168.67333984375, mean:1500.1580810546875, min:67.4959945678711, std:274.6314697265625
