Iter:0, max:1001.638916015625, mean:993.46875, min:981.5322875976562, std:4.409835338592529
Iter:1, max:999.0413818359375, mean:988.6318359375, min:971.5186157226562, std:4.589661598205566
Iter:2, max:1002.152587890625, mean:994.551513671875, min:982.2233276367188, std:3.9295830726623535
Iter:3, max:1004.0260620117188, mean:994.5465698242188, min:977.0604858398438, std:4.544465065002441
Iter:4, max:1001.400146484375, mean:992.7509155273438, min:979.06298828125, std:5.076354026794434
Iter:5, max:1004.5262451171875, mean:992.5787963867188, min:974.8857421875, std:5.5153069496154785
Iter:6, max:1002.7362670898438, mean:992.5669555664062, min:972.7681274414062, std:4.477851390838623
Iter:7, max:1004.2757568359375, mean:993.758056640625, min:975.354248046875, std:5.033661365509033
Iter:8, max:1000.5423583984375, mean:990.9381103515625, min:973.9374389648438, std:5.109490871429443
Iter:9, max:1002.3290405273438, mean:993.6497802734375, min:971.55712890625, std:5.376026630401611
Iter:10, max:1003.8137817382812, mean:991.9042358398438, min:973.4461669921875, std:5.327470779418945
Iter:11, max:1002.2796630859375, mean:992.0662231445312, min:976.0096435546875, std:5.461266040802002
Iter:12, max:1003.3715209960938, mean:992.1517333984375, min:975.668212890625, std:5.3290510177612305
Iter:13, max:999.525146484375, mean:990.8386840820312, min:962.7970581054688, std:5.556888580322266
Iter:14, max:1001.515869140625, mean:989.664306640625, min:963.74267578125, std:6.568167686462402
Iter:15, max:999.966552734375, mean:988.886474609375, min:966.2847290039062, std:6.300970077514648
Iter:16, max:1002.206787109375, mean:987.7710571289062, min:954.1049194335938, std:7.758029460906982
Iter:17, max:1002.3477783203125, mean:986.82470703125, min:969.5595703125, std:7.095318794250488
Iter:18, max:1000.0736083984375, mean:984.8297729492188, min:959.0523071289062, std:7.424039363861084
Iter:19, max:1002.3092041015625, mean:985.0621337890625, min:960.62890625, std:8.074129104614258
Iter:20, max:1003.096435546875, mean:984.54150390625, min:921.6076049804688, std:10.580199241638184
Iter:21, max:1003.0077514648438, mean:981.2767944335938, min:935.952392578125, std:11.050466537475586
Iter:22, max:1000.9253540039062, mean:982.9490966796875, min:952.149658203125, std:9.730785369873047
Iter:23, max:1013.8369140625, mean:979.340087890625, min:929.3455810546875, std:13.259208679199219
Iter:24, max:1015.9412841796875, mean:981.2071533203125, min:943.0184936523438, std:10.867705345153809
Iter:25, max:1003.3121948242188, mean:980.2630615234375, min:887.6453857421875, std:14.688735008239746
