Iter:0, max:1002.656494140625, mean:994.2620849609375, min:980.0880737304688, std:4.294322490692139
Iter:1, max:999.1921997070312, mean:988.9933471679688, min:976.6118774414062, std:4.524410724639893
Iter:2, max:1003.0883178710938, mean:993.7880249023438, min:977.45166015625, std:4.0789031982421875
Iter:3, max:1004.60986328125, mean:994.525390625, min:979.4658813476562, std:4.538301944732666
Iter:4, max:1001.9733276367188, mean:992.4534912109375, min:965.521484375, std:5.220346450805664
Iter:5, max:1002.9573974609375, mean:992.8759155273438, min:970.8433837890625, std:4.881040096282959
Iter:6, max:1004.3443603515625, mean:992.1593627929688, min:972.1248168945312, std:5.621391296386719
Iter:7, max:1004.1439819335938, mean:993.895263671875, min:976.3247680664062, std:5.503952503204346
Iter:8, max:1002.35009765625, mean:991.3165283203125, min:971.6156616210938, std:5.303555011749268
Iter:9, max:1004.7783813476562, mean:992.925537109375, min:972.2886962890625, std:5.324708938598633
Iter:10, max:1002.3687133789062, mean:991.9742431640625, min:976.812744140625, std:5.095550537109375
Iter:11, max:1002.4762573242188, mean:991.58837890625, min:970.9942626953125, std:5.5300211906433105
Iter:12, max:1012.3950805664062, mean:991.5288696289062, min:969.1949462890625, std:5.176358222961426
Iter:13, max:1002.32666015625, mean:989.6837768554688, min:970.3087158203125, std:6.299307823181152
Iter:14, max:1001.0371704101562, mean:990.5762939453125, min:960.94921875, std:6.568851470947266
Iter:15, max:1001.93310546875, mean:987.4743041992188, min:961.9666137695312, std:6.75313663482666
Iter:16, max:1013.5243530273438, mean:987.89697265625, min:939.1019287109375, std:7.141563892364502
Iter:17, max:1001.5331420898438, mean:986.021728515625, min:952.11572265625, std:6.873849391937256
Iter:18, max:998.1932983398438, mean:983.3968505859375, min:945.0944213867188, std:7.8317413330078125
Iter:19, max:1003.2838134765625, mean:985.499267578125, min:948.8825073242188, std:8.750039100646973
Iter:20, max:1006.1116943359375, mean:985.3770751953125, min:950.5914306640625, std:7.918224811553955
Iter:21, max:1020.7236328125, mean:981.7529296875, min:939.1921997070312, std:10.059282302856445
Iter:22, max:1013.7447509765625, mean:978.91796875, min:87.0951919555664, std:56.63509750366211
Iter:23, max:1012.4449462890625, mean:979.5966186523438, min:939.0265502929688, std:10.287304878234863
Iter:24, max:1025.4342041015625, mean:979.6627197265625, min:936.97119140625, std:11.817194938659668
Iter:25, max:1042.9793701171875, mean:980.740966796875, min:910.4813232421875, std:13.615385055541992
Iter:26, max:1016.9777221679688, mean:977.9812622070312, min:919.06982421875, std:13.687971115112305
Iter:27, max:1020.0858154296875, mean:975.6318359375, min:898.4227294921875, std:15.523168563842773
Iter:28, max:1014.94873046875, mean:974.6898803710938, min:895.7069702148438, std:14.747987747192383
Iter:29, max:1028.108642578125, mean:972.59912109375, min:894.9904174804688, std:17.64842987060547
Iter:30, max:1022.1581420898438, mean:975.8492431640625, min:906.22998046875, std:16.757585525512695
Iter:31, max:1041.41015625, mean:972.330078125, min:867.923095703125, std:20.383134841918945
Iter:32, max:1060.3453369140625, mean:972.10888671875, min:866.1890869140625, std:20.68264389038086
Iter:33, max:1058.1156005859375, mean:974.2373046875, min:898.7407836914062, std:21.88005828857422
Iter:34, max:1077.8668212890625, mean:973.7628784179688, min:905.1153564453125, std:23.832015991210938
Iter:35, max:1093.8265380859375, mean:972.1633911132812, min:857.065185546875, std:22.941743850708008
Iter:36, max:1084.8389892578125, mean:966.105224609375, min:61.050071716308594, std:63.2293701171875
Iter:37, max:1110.4534912109375, mean:971.9015502929688, min:870.9160766601562, std:29.66136360168457
Iter:38, max:1183.30615234375, mean:973.655517578125, min:837.0606079101562, std:35.86029815673828
Iter:39, max:1155.5147705078125, mean:971.2610473632812, min:345.8246154785156, std:53.49034881591797
