Iter:0, max:1002.7532958984375, mean:993.8927001953125, min:976.9515380859375, std:4.430755138397217
Iter:1, max:999.8485717773438, mean:988.8387451171875, min:971.177001953125, std:4.848465442657471
Iter:2, max:1003.6752319335938, mean:993.4830932617188, min:974.537109375, std:4.487648963928223
Iter:3, max:1005.7222900390625, mean:994.15283203125, min:976.3196411132812, std:4.521980285644531
Iter:4, max:1002.7682495117188, mean:992.2059326171875, min:968.422607421875, std:5.318139553070068
Iter:5, max:1003.5182495117188, mean:992.5363159179688, min:974.8436889648438, std:4.963734149932861
Iter:6, max:1003.7501831054688, mean:993.5589599609375, min:968.7344970703125, std:5.104514122009277
Iter:7, max:1005.1065673828125, mean:994.2249755859375, min:973.4673461914062, std:4.822544574737549
Iter:8, max:1002.3113403320312, mean:992.6024169921875, min:972.6076049804688, std:4.936546802520752
Iter:9, max:1003.619140625, mean:992.5734252929688, min:975.3429565429688, std:5.036055564880371
Iter:10, max:1002.507080078125, mean:991.5645751953125, min:965.122802734375, std:5.4013671875
Iter:11, max:1003.7858276367188, mean:992.5345458984375, min:966.6182861328125, std:5.018409729003906
Iter:12, max:1005.6849975585938, mean:992.0513916015625, min:972.2643432617188, std:5.347114562988281
Iter:13, max:1005.10693359375, mean:991.125, min:975.67041015625, std:5.543508052825928
Iter:14, max:1004.5665283203125, mean:991.7959594726562, min:962.1538696289062, std:5.7881317138671875
Iter:15, max:1007.6726684570312, mean:990.001708984375, min:961.983154296875, std:5.701487064361572
Iter:16, max:1007.9166259765625, mean:989.9386596679688, min:963.1876220703125, std:6.318852424621582
Iter:17, max:1001.8699951171875, mean:988.7989501953125, min:961.6990966796875, std:6.289334297180176
Iter:18, max:1007.558837890625, mean:987.135986328125, min:957.9390869140625, std:6.885565280914307
Iter:19, max:1003.0270385742188, mean:986.87890625, min:940.6905517578125, std:7.469005584716797
Iter:20, max:1012.3619384765625, mean:988.406494140625, min:940.6446533203125, std:7.759584903717041
Iter:21, max:1001.1900634765625, mean:984.2071533203125, min:943.9051513671875, std:8.379990577697754
Iter:22, max:1037.25341796875, mean:987.6015014648438, min:947.1580200195312, std:7.9914422035217285
Iter:23, max:1015.058837890625, mean:983.831298828125, min:959.2257690429688, std:8.106352806091309
Iter:24, max:1005.0004272460938, mean:983.7111206054688, min:930.4097900390625, std:9.256705284118652
Iter:25, max:1026.3963623046875, mean:985.936279296875, min:927.2780151367188, std:10.016725540161133
Iter:26, max:1017.835693359375, mean:982.5297241210938, min:941.7539672851562, std:10.100495338439941
Iter:27, max:1052.43359375, mean:982.5372314453125, min:920.2503662109375, std:11.258280754089355
Iter:28, max:1029.7745361328125, mean:980.0810546875, min:915.2735595703125, std:11.238229751586914
Iter:29, max:1011.0452880859375, mean:978.552734375, min:924.538330078125, std:11.74109172821045
Iter:30, max:1013.3943481445312, mean:981.3182983398438, min:923.6908569335938, std:12.336369514465332
Iter:31, max:1065.059326171875, mean:979.8901977539062, min:934.1034545898438, std:12.11925220489502
Iter:32, max:1028.2137451171875, mean:976.4152221679688, min:897.6029052734375, std:14.437715530395508
Iter:33, max:1033.39208984375, mean:982.1847534179688, min:938.0823364257812, std:11.692805290222168
Iter:34, max:1015.9507446289062, mean:977.3853759765625, min:896.9231567382812, std:14.253979682922363
Iter:35, max:1036.2774658203125, mean:975.0987548828125, min:906.8711547851562, std:15.285219192504883
Iter:36, max:1058.936279296875, mean:971.6580810546875, min:911.1747436523438, std:18.14892578125
Iter:37, max:1023.37255859375, mean:976.7982177734375, min:913.812744140625, std:16.19464111328125
Iter:38, max:1065.8922119140625, mean:973.9034423828125, min:879.1700439453125, std:17.180988311767578
Iter:39, max:1054.1077880859375, mean:974.341064453125, min:873.9913330078125, std:19.243144989013672
Iter:40, max:1083.0010986328125, mean:973.4189453125, min:870.0355834960938, std:20.614606857299805
Iter:41, max:1091.0594482421875, mean:972.3533935546875, min:867.4695434570312, std:20.23954200744629
Iter:42, max:1068.4222412109375, mean:972.807861328125, min:793.5366821289062, std:22.90213966369629
Iter:43, max:1082.6834716796875, mean:975.671142578125, min:876.8221435546875, std:22.03633689880371
Iter:44, max:1096.5673828125, mean:970.8091430664062, min:793.2435913085938, std:25.62010383605957
Iter:45, max:1179.62353515625, mean:973.6924438476562, min:887.0204467773438, std:24.89527702331543
Iter:46, max:1116.087890625, mean:973.8796997070312, min:846.9782104492188, std:26.973346710205078
Iter:47, max:1191.0103759765625, mean:971.0492553710938, min:860.1085815429688, std:28.718704223632812
Iter:48, max:1131.2047119140625, mean:980.4114990234375, min:738.2926635742188, std:34.282386779785156
Iter:49, max:1154.6558837890625, mean:978.2883911132812, min:815.46533203125, std:33.410430908203125
Iter:50, max:1099.3856201171875, mean:979.8837890625, min:863.7091674804688, std:31.544410705566406
Iter:51, max:1129.802978515625, mean:980.3740234375, min:848.0416870117188, std:35.050575256347656
