Iter:0, max:1005.4794311523438, mean:993.977294921875, min:973.9340209960938, std:4.440708637237549
Iter:1, max:1006.63818359375, mean:995.6826171875, min:975.2857055664062, std:4.543708801269531
Iter:2, max:1004.28857421875, mean:993.7218017578125, min:976.0687866210938, std:4.494077682495117
Iter:3, max:1002.3241577148438, mean:992.3763427734375, min:966.7662353515625, std:4.725843906402588
Iter:4, max:1004.0941772460938, mean:992.9065551757812, min:973.2280883789062, std:5.2897114753723145
Iter:5, max:1002.1121215820312, mean:990.8286743164062, min:968.17333984375, std:5.243941307067871
Iter:6, max:1004.6602783203125, mean:993.1240844726562, min:966.1983032226562, std:5.085089683532715
Iter:7, max:1001.7430419921875, mean:990.6433715820312, min:971.0821533203125, std:4.964580059051514
Iter:8, max:1004.9788818359375, mean:993.1236572265625, min:976.058837890625, std:5.247297763824463
Iter:9, max:1001.20947265625, mean:989.9808349609375, min:970.6026611328125, std:5.1542229652404785
Iter:10, max:1001.587646484375, mean:990.1561889648438, min:962.9500732421875, std:5.428554534912109
Iter:11, max:1004.9388427734375, mean:989.8541870117188, min:963.2249145507812, std:5.8065266609191895
Iter:12, max:1002.5458374023438, mean:990.248779296875, min:961.8982543945312, std:5.632083415985107
Iter:13, max:1006.897705078125, mean:989.8317260742188, min:964.32763671875, std:5.747801303863525
Iter:14, max:1005.9541625976562, mean:991.1143798828125, min:958.0652465820312, std:5.955633163452148
Iter:15, max:1011.196044921875, mean:990.4564819335938, min:958.6117553710938, std:5.897855758666992
Iter:16, max:1008.5150146484375, mean:991.1348266601562, min:964.2987060546875, std:6.49327278137207
Iter:17, max:1016.9319458007812, mean:990.392578125, min:955.673828125, std:7.100808143615723
Iter:18, max:1031.3404541015625, mean:989.4758911132812, min:952.880859375, std:7.6310906410217285
Iter:19, max:1056.232666015625, mean:988.78515625, min:945.46142578125, std:8.326467514038086
Iter:20, max:1021.6637573242188, mean:988.0117797851562, min:931.5982055664062, std:8.986433982849121
Iter:21, max:1012.2879638671875, mean:985.7144775390625, min:953.523681640625, std:8.795056343078613
Iter:22, max:1030.9027099609375, mean:987.5225830078125, min:941.705810546875, std:9.632899284362793
Iter:23, max:1050.4691162109375, mean:982.9573364257812, min:933.564453125, std:10.571701049804688
Iter:24, max:1022.9995727539062, mean:985.7076416015625, min:892.5623779296875, std:10.419746398925781
Iter:25, max:1040.6953125, mean:985.4131469726562, min:934.058349609375, std:10.961795806884766
Iter:26, max:1021.6288452148438, mean:982.9737548828125, min:917.2318725585938, std:11.073013305664062
Iter:27, max:1045.1007080078125, mean:982.2213134765625, min:929.1929931640625, std:12.051729202270508
Iter:28, max:1032.673583984375, mean:982.1651611328125, min:932.341796875, std:12.569037437438965
Iter:29, max:1034.29248046875, mean:983.22802734375, min:886.7925415039062, std:12.910165786743164
Iter:30, max:1064.6357421875, mean:980.3734130859375, min:897.57080078125, std:14.129027366638184
Iter:31, max:1041.9691162109375, mean:979.9713134765625, min:909.3457641601562, std:13.603659629821777
Iter:32, max:1050.29443359375, mean:979.3797607421875, min:87.77407836914062, std:32.37327194213867
Iter:33, max:1060.3509521484375, mean:980.5054931640625, min:858.3445434570312, std:16.05490493774414
Iter:34, max:1067.7552490234375, mean:980.649169921875, min:874.2299194335938, std:16.572105407714844
Iter:35, max:1102.5987548828125, mean:980.6441040039062, min:73.82866668701172, std:33.54460144042969
Iter:36, max:1165.8431396484375, mean:981.556884765625, min:871.2658081054688, std:19.25373649597168
Iter:37, max:1116.288818359375, mean:981.7156982421875, min:903.5523071289062, std:18.3477783203125
Iter:38, max:1109.381103515625, mean:984.0635986328125, min:62.110008239746094, std:35.19309616088867
Iter:39, max:1060.356201171875, mean:981.79443359375, min:897.3659057617188, std:19.532859802246094
Iter:40, max:1173.368896484375, mean:982.95263671875, min:61.414031982421875, std:54.94203567504883
Iter:41, max:1117.734130859375, mean:985.2095947265625, min:868.0504150390625, std:24.731626510620117
Iter:42, max:1094.7349853515625, mean:986.1573486328125, min:858.2855834960938, std:26.93505096435547
Iter:43, max:1165.3599853515625, mean:985.6036376953125, min:830.7061767578125, std:31.55889129638672
Iter:44, max:1111.3349609375, mean:990.324462890625, min:883.3690795898438, std:31.953861236572266
Iter:45, max:1178.302734375, mean:995.0093383789062, min:338.6816101074219, std:43.51575469970703
Iter:46, max:1254.6029052734375, mean:995.020263671875, min:822.3818359375, std:43.08045196533203
Iter:47, max:1203.2379150390625, mean:1004.256591796875, min:767.16064453125, std:50.367454528808594
Iter:48, max:1253.4283447265625, mean:1009.09228515625, min:606.324951171875, std:57.22401428222656
Iter:49, max:1287.9993896484375, mean:1013.1976928710938, min:59.292640686035156, std:70.1635971069336
Iter:50, max:1353.287353515625, mean:1020.847412109375, min:726.9590454101562, std:74.85874938964844
Iter:51, max:1279.2591552734375, mean:1018.3248901367188, min:742.496826171875, std:80.61436462402344
Iter:52, max:1350.5775146484375, mean:1029.6710205078125, min:131.64407348632812, std:96.93476104736328
Iter:53, max:1446.051513671875, mean:1030.5762939453125, min:58.47705078125, std:108.16778564453125
Iter:54, max:1491.86572265625, mean:1031.623046875, min:461.1065979003906, std:116.82937622070312
Iter:55, max:1420.2767333984375, mean:1037.28173828125, min:629.9996337890625, std:124.44403839111328
Iter:56, max:1598.9659423828125, mean:1043.117431640625, min:258.0758972167969, std:142.32489013671875
Iter:57, max:1579.77685546875, mean:1045.1107177734375, min:321.3421936035156, std:155.23204040527344
Iter:58, max:1461.527099609375, mean:1026.0849609375, min:560.4896850585938, std:153.59512329101562
Iter:59, max:1471.158447265625, mean:1035.115966796875, min:497.98577880859375, std:169.24560546875
Iter:60, max:1582.4439697265625, mean:1038.3211669921875, min:66.0548095703125, std:182.7274169921875
Iter:61, max:1492.14599609375, mean:1037.81591796875, min:370.5539855957031, std:185.8125457763672
Iter:62, max:1626.8880615234375, mean:1037.330322265625, min:435.6418762207031, std:196.14694213867188
Iter:63, max:1630.1463623046875, mean:1033.147216796875, min:318.82928466796875, std:204.32366943359375
Iter:64, max:1524.25390625, mean:1036.878662109375, min:62.04275131225586, std:213.59854125976562
Iter:65, max:1551.0516357421875, mean:1044.775146484375, min:324.2973327636719, std:213.95480346679688
Iter:66, max:1656.3037109375, mean:1023.241943359375, min:47.09183883666992, std:212.11903381347656
Iter:67, max:1600.3929443359375, mean:1036.933349609375, min:235.3990478515625, std:221.9231414794922
Iter:68, max:1673.7332763671875, mean:1040.51220703125, min:297.1889343261719, std:233.2356414794922
Iter:69, max:1683.11669921875, mean:1029.0888671875, min:154.87741088867188, std:229.3162384033203
Iter:70, max:1590.204833984375, mean:1053.062255859375, min:96.71989440917969, std:230.57337951660156
Iter:71, max:1688.9454345703125, mean:1073.041015625, min:281.4743347167969, std:232.99639892578125
Iter:72, max:1704.55615234375, mean:1070.1240234375, min:148.58935546875, std:234.44032287597656
Iter:73, max:1605.7276611328125, mean:1069.5657958984375, min:312.70758056640625, std:234.74215698242188
Iter:74, max:1737.4468994140625, mean:1073.492431640625, min:94.05762481689453, std:244.51119995117188
Iter:75, max:1760.8455810546875, mean:1100.080078125, min:165.63015747070312, std:237.7851104736328
Iter:76, max:1735.4554443359375, mean:1089.8037109375, min:86.00859832763672, std:240.2446746826172
Iter:77, max:1680.7294921875, mean:1131.50537109375, min:334.7733459472656, std:242.4434814453125
Iter:78, max:1721.547607421875, mean:1131.778076171875, min:66.62705993652344, std:247.04074096679688
Iter:79, max:1734.6705322265625, mean:1141.803466796875, min:105.40734100341797, std:237.5371856689453
Iter:80, max:1734.8367919921875, mean:1154.942626953125, min:310.692626953125, std:241.38221740722656
