Iter:0, max:1003.6309814453125, mean:993.8701171875, min:971.80712890625, std:4.5682854652404785
Iter:1, max:999.480224609375, mean:989.1011962890625, min:968.0272827148438, std:4.72755765914917
Iter:2, max:1004.4928588867188, mean:993.7247924804688, min:974.9243774414062, std:4.568310260772705
Iter:3, max:1006.1392211914062, mean:994.2255859375, min:968.0447387695312, std:4.942981719970703
Iter:4, max:1003.5804443359375, mean:992.6951904296875, min:967.5760498046875, std:5.03045129776001
Iter:5, max:1004.0722045898438, mean:992.801513671875, min:970.10400390625, std:5.207472324371338
Iter:6, max:1005.0895385742188, mean:992.9190673828125, min:972.1349487304688, std:5.157402515411377
Iter:7, max:1005.5634155273438, mean:994.0193481445312, min:970.0880126953125, std:5.012786865234375
Iter:8, max:1003.1015014648438, mean:991.8139038085938, min:965.7811889648438, std:5.272092819213867
Iter:9, max:1004.6118774414062, mean:992.5411376953125, min:974.6046752929688, std:5.377415180206299
Iter:10, max:1004.2918701171875, mean:991.1133422851562, min:962.6156616210938, std:5.801551342010498
Iter:11, max:1003.560791015625, mean:991.7574462890625, min:970.7777709960938, std:5.477873802185059
Iter:12, max:1007.55126953125, mean:992.0640258789062, min:967.4209594726562, std:5.532040596008301
Iter:13, max:1004.9207763671875, mean:991.1566772460938, min:955.0459594726562, std:5.846303939819336
Iter:14, max:1010.0216674804688, mean:991.1404418945312, min:960.8772583007812, std:6.012025833129883
Iter:15, max:1003.7777099609375, mean:989.3218383789062, min:955.5330200195312, std:6.312452793121338
Iter:16, max:1004.1911010742188, mean:989.7020874023438, min:964.2180786132812, std:6.474484443664551
Iter:17, max:1010.4708251953125, mean:988.8643798828125, min:953.4832763671875, std:6.938702583312988
Iter:18, max:1005.6078491210938, mean:987.0926513671875, min:953.7235107421875, std:6.610530853271484
Iter:19, max:1025.7291259765625, mean:987.872802734375, min:952.6743774414062, std:7.347557544708252
Iter:20, max:1028.1170654296875, mean:989.0009765625, min:934.1961059570312, std:8.207470893859863
Iter:21, max:1012.730224609375, mean:985.40478515625, min:950.6529541015625, std:7.70144510269165
Iter:22, max:1025.0604248046875, mean:988.4248046875, min:950.3217163085938, std:8.311031341552734
Iter:23, max:1008.109375, mean:985.0203857421875, min:922.5225830078125, std:8.209563255310059
Iter:24, max:1014.4937744140625, mean:986.0126342773438, min:941.4453125, std:8.698951721191406
Iter:25, max:1026.7945556640625, mean:988.3392333984375, min:934.3199462890625, std:8.97840690612793
Iter:26, max:1024.2127685546875, mean:984.5986328125, min:924.3374633789062, std:10.409562110900879
Iter:27, max:1021.7758178710938, mean:984.9369506835938, min:916.8424072265625, std:10.37659740447998
Iter:28, max:1064.5882568359375, mean:982.129638671875, min:914.013671875, std:11.431729316711426
Iter:29, max:1051.0985107421875, mean:981.233154296875, min:914.4086303710938, std:11.799928665161133
Iter:30, max:1056.817138671875, mean:986.49072265625, min:920.7439575195312, std:12.964027404785156
Iter:31, max:1041.94384765625, mean:984.85595703125, min:936.3452758789062, std:12.196247100830078
Iter:32, max:1050.181884765625, mean:983.1053466796875, min:923.54541015625, std:13.478180885314941
Iter:33, max:1104.94287109375, mean:986.9756469726562, min:91.4083023071289, std:32.47540283203125
Iter:34, max:1109.701416015625, mean:986.7929077148438, min:885.9810791015625, std:17.026554107666016
Iter:35, max:1099.599365234375, mean:984.9484252929688, min:894.2288818359375, std:17.592815399169922
Iter:36, max:1117.790771484375, mean:986.812255859375, min:888.3057861328125, std:19.736474990844727
Iter:37, max:1180.365966796875, mean:990.555419921875, min:901.311767578125, std:23.210620880126953
Iter:38, max:1156.9769287109375, mean:987.789306640625, min:865.7179565429688, std:25.354068756103516
Iter:39, max:1192.955322265625, mean:994.8544921875, min:890.2379150390625, std:27.964126586914062
Iter:40, max:1207.2864990234375, mean:994.1995849609375, min:875.6453247070312, std:31.272878646850586
Iter:41, max:1206.3682861328125, mean:995.7008056640625, min:120.43911743164062, std:46.781707763671875
