Iter:0, max:1003.6163940429688, mean:993.8662109375, min:971.80712890625, std:4.569772720336914
Iter:1, max:999.3330688476562, mean:989.098388671875, min:968.0385131835938, std:4.754203796386719
Iter:2, max:1003.70654296875, mean:993.762451171875, min:975.314697265625, std:4.564151763916016
Iter:3, max:1005.60791015625, mean:994.2548217773438, min:968.5341186523438, std:4.927730560302734
Iter:4, max:1003.2679443359375, mean:992.7537841796875, min:967.6261596679688, std:4.952117919921875
Iter:5, max:1004.7003173828125, mean:992.7337036132812, min:968.8941650390625, std:5.2410478591918945
Iter:6, max:1005.2696533203125, mean:992.8109130859375, min:971.1060791015625, std:5.200163841247559
Iter:7, max:1006.1923828125, mean:993.9852294921875, min:970.1949462890625, std:5.005715847015381
Iter:8, max:1003.56591796875, mean:991.79736328125, min:964.1807250976562, std:5.328952789306641
Iter:9, max:1004.7210083007812, mean:992.5, min:973.0982055664062, std:5.331773281097412
Iter:10, max:1004.4421997070312, mean:991.0327758789062, min:961.2530517578125, std:5.8059892654418945
Iter:11, max:1003.4520874023438, mean:991.617431640625, min:968.3790893554688, std:5.466117858886719
Iter:12, max:1006.611572265625, mean:992.0987548828125, min:966.829345703125, std:5.601860046386719
Iter:13, max:1003.9247436523438, mean:991.1137084960938, min:965.2255249023438, std:5.805491924285889
Iter:14, max:1007.6058349609375, mean:991.0234375, min:960.3313598632812, std:6.109582424163818
Iter:15, max:1009.9844360351562, mean:989.1923828125, min:961.273193359375, std:6.336368083953857
Iter:16, max:1011.6264038085938, mean:989.689453125, min:962.4735717773438, std:6.484314918518066
Iter:17, max:1008.35498046875, mean:988.6138916015625, min:958.580810546875, std:6.97683572769165
Iter:18, max:1008.3479614257812, mean:987.0156860351562, min:959.0530395507812, std:6.643990993499756
Iter:19, max:1006.1718139648438, mean:987.41650390625, min:920.1527099609375, std:7.448575019836426
Iter:20, max:1012.7615356445312, mean:988.57373046875, min:936.5916748046875, std:7.914895057678223
Iter:21, max:1007.512939453125, mean:984.7738037109375, min:939.7720947265625, std:7.827816486358643
Iter:22, max:1013.95068359375, mean:987.8218994140625, min:952.3837890625, std:7.804627895355225
Iter:23, max:1037.589111328125, mean:984.5888671875, min:941.763427734375, std:8.738368034362793
Iter:24, max:1040.86328125, mean:985.7862548828125, min:938.9546508789062, std:8.908950805664062
Iter:25, max:1030.759033203125, mean:988.1531982421875, min:944.6810302734375, std:8.958751678466797
Iter:26, max:1066.0843505859375, mean:985.831298828125, min:942.4169921875, std:9.983491897583008
Iter:27, max:1019.023681640625, mean:983.832275390625, min:919.4862060546875, std:10.467159271240234
